K01672	Dmel_CG11284:Dmel_CG11284
K00078	Dmel_CG3609:Dmel_CG3609
K10589	Dmel_CG3356:Dmel_CG3356
K02867	mRpL11:Dmel_CG3351
K09113	BigMax:Dmel_CG3350
K16669	ft:Dmel_CG3352
K01581	Odc1:Dmel_CG8721
K14299	Nup44a:Dmel_CG8722
K12178	Csn4:Dmel_CG8725
K12387	Dmel_CG14767:Dmel_CG14767
K02296	Cyc:Dmel_CG8727
K03469	Rnh1:Dmel_CG8729
K02892	mRpL23:Dmel_CG1320
K03251	Dmel_CG4810:Dmel_CG4810
K08471	Or94b:Dmel_CG6679
K06126	Dmel_CG7277:Dmel_CG7277
K03131	Taf6:Dmel_CG32211
K11593	Ago1:Dmel_CG6671
K03017	RpiI15:Dmel_CG3284
K00235	SdhB:Dmel_CG3283
K01066	Lip1:Dmel_CG7279
K12846	Ytr:Dmel_CG18426
K04382	Mts:Dmel_CG7109
K00799	GstT1:Dmel_CG30000
K08860	Gcn2:Dmel_CG1609
K12046	Up:Dmel_CG7107
K05765	Tsr:Dmel_CG4254
K11224	StaT92e:Dmel_CG4257
K12863	C12.1:Dmel_CG12135
K01044	Clt:Dmel_CG9858
K00517	Cyp317a1:Dmel_CG17453
K06640	Mei-41:Dmel_CG4252
K14376	hrg:Dmel_CG9854
K13443	Npc2a:Dmel_CG7291
K12591	Rrp6:Dmel_CG7292
K10394	Klp68d:Dmel_CG7293
K00710	PgaNt8:Dmel_CG7297
K08282	Ih:Dmel_CG8585
K00517	Cyp301a1:Dmel_CG8587
K09540	Sec63:Dmel_CG8583
K13516	frj:Dmel_CG9526
K00232	Dmel_CG9527:Dmel_CG9527
K00731	C1gAlta:Dmel_CG9520
K07976	Rab4:Dmel_CG4921
K00615	Dmel_CG8036:Dmel_CG8036
K05122	Ror:Dmel_CG4926
K05019	IclN:Dmel_CG4924
K10251	Dmel_CG1444:Dmel_CG1444
K02884	mRpL19:Dmel_CG8039
K08471	Or30a:Dmel_CG13106
K10364	Cpa:Dmel_CG10540
K02542	Mcm6:Dmel_CG4039
K11128	Dmel_CG4038:Dmel_CG4038
K01312	epsilonTry:Dmel_CG18681
K00968	Cct1:Dmel_CG1049
K09311	Zen2:Dmel_CG1048
K05110	Eph:Dmel_CG1511
K09311	Zen:Dmel_CG1046
K03002	Rpi135:Dmel_CG4033
K03870	Cul-2:Dmel_CG1512
K03259	Eif-4e:Dmel_CG4035
K02151	Vha14:Dmel_CG8210
K00624	Dmel_CG1041:Dmel_CG1041
K00287	DhfR:Dmel_CG14887
K12177	Csn3:Dmel_CG18332
K00968	Cct2:Dmel_CG18330
K02265	CoVb:Dmel_CG11015
K13758	PrbP:Dmel_CG9296
K00799	GstE2:Dmel_CG17523
K03097	CkiIalpha:Dmel_CG17520
K02866	Qm:Dmel_CG17521
K05286	Dmel_CG12006:Dmel_CG12006
K00799	GstE5:Dmel_CG17527
K00799	GstE3:Dmel_CG17524
K03872	EloNgin-c:Dmel_CG9291
K01876	AatS-asp:Dmel_CG3821
K14317	Nup214:Dmel_CG3820
K09067	Sc:Dmel_CG3827
K12741	Hrb98de:Dmel_CG9983
K04689	WntD:Dmel_CG8458
K00417	Dmel_CG17856:Dmel_CG17856
K00889	SktL:Dmel_CG9985
K00517	Cyp6g1:Dmel_CG8453
K11643	Mi-2:Dmel_CG8103
K03942	Dmel_CG8102:Dmel_CG8102
K00517	Cyp6t3:Dmel_CG8457
K08585	CalPb:Dmel_CG8107
K06225	Ptc:Dmel_CG2411
K04552	Ubc84d:Dmel_CG12799
K12385	Npc1a:Dmel_CG5722
K10773	Dmel_CG9272:Dmel_CG9272
K10739	Rpa2:Dmel_CG9273
K00699	Dmel_CG5724:Dmel_CG5724
K09680	Fbl:Dmel_CG5725
K04459	Puc:Dmel_CG7850
K08501	Syx8:Dmel_CG4109
K12197	ChmP1:Dmel_CG4108
K00517	Cyp4e3:Dmel_CG4105
K00697	Tps1:Dmel_CG4104
K08489	Syx16:Dmel_CG1467
K08964	Dmel_CG11134:Dmel_CG11134
K00815	Dmel_CG1461:Dmel_CG1461
K01077	Aph-4:Dmel_CG1462
K09648	Dmel_CG11110:Dmel_CG11110
K03142	Ssl1:Dmel_CG11115
K01080	LazA:Dmel_CG11440
K00710	PgaNt2:Dmel_CG3254
K11098	DebB:Dmel_CG16792
K05696	Ptp61f:Dmel_CG9181
K07817	Ia2:Dmel_CG31795
K10732	Psf1:Dmel_CG9187
K00728	Tw:Dmel_CG12311
K00264	Dmel_CG9674:Dmel_CG9674
K03250	Int6:Dmel_CG9677
K00272	Dmel_CG12338:Dmel_CG12338
K10394	Klp64d:Dmel_CG10642
K10704	Uev1a:Dmel_CG10640
K12488	Asap1:Dmel_CG30372
K01758	Eip55e:Dmel_CG5345
K00020	Dmel_CG4747:Dmel_CG4747
K10865	Mre11:Dmel_CG16928
K01669	Phr:Dmel_CG11205
K02927	Rpl40:Dmel_CG2960
K09302	Pb:Dmel_CG31481
K00873	Dmel_CG2964:Dmel_CG2964
K04712	Ifc:Dmel_CG9078
K00249	Dmel_CG12262:Dmel_CG12262
K02134	L(1)g0230:Dmel_CG2968
K03257	Eif-4a:Dmel_CG9075
K03023	Dmel_CG12267:Dmel_CG12267
K04487	Dmel_CG12264:Dmel_CG12264
K16686	sav:Dmel_CG33193
K02885	Rpl19:Dmel_CG2746
K01183	Cht6:Dmel_CG2989
K09317	Ems:Dmel_CG2988
K13174	ThoC5:Dmel_CG2980
K02971	Oho23b:Dmel_CG2986
K01090	Pp2C1:Dmel_CG2984
K02930	Rpl4:Dmel_CG5502
K09504	L(2)tid:Dmel_CG5504
K11855	Usp36:Dmel_CG5505
K00629	Dmel_CG5508:Dmel_CG5508
K04667	ActBeta:Dmel_CG11062
K00517	Cyp6a23:Dmel_CG10242
K00517	Cyp6a19:Dmel_CG10243
K00517	Cyp6a22:Dmel_CG10240
K00517	Cyp6a17:Dmel_CG10241
K00517	Cyp6a9:Dmel_CG10246
K00517	Cyp6a21:Dmel_CG10247
K08252	Cad96ca:Dmel_CG10244
K00517	Cyp6a20:Dmel_CG10245
K04377	dm:Dmel_CG10798
K00517	Cyp6a8:Dmel_CG10248
K09595	Spp:Dmel_CG11840
K00164	Nc73ef:Dmel_CG11661
K07178	Dmel_CG11660:Dmel_CG11660
K01968	Dmel_CG2118:Dmel_CG2118
K08471	Gr33a:Dmel_CG17213
K06268	Elm:Dmel_CG2185
K09304	Dfd:Dmel_CG2189
K10414	Btv:Dmel_CG15148
K01099	Dmel_CG10426:Dmel_CG10426
K04708	Dmel_CG10425:Dmel_CG10425
K02978	Rps27:Dmel_CG10423
K14001	Dmel_CG10420:Dmel_CG10420
K14721	Sin:Dmel_CG10582
K03249	Dmel_CG9769:Dmel_CG9769
K03691	O-fUt2:Dmel_CG14789
K14539	ns3:Dmel_CG14788
K11339	Mrg15:Dmel_CG6363
K08764	ScpX:Dmel_CG17320
K00699	Dmel_CG17323:Dmel_CG17323
K00008	SodH-1:Dmel_CG1982
K00670	Nat1:Dmel_CG12202
K03649	Thd1:Dmel_CG1981
K00615	Dmel_CG5103:Dmel_CG5103
K02949	Rps11:Dmel_CG8857
K00011	Dmel_CG6084:Dmel_CG6084
K08471	Or19b:Dmel_CG32825
K00011	Dmel_CG6083:Dmel_CG6083
K00517	Cyp28d2:Dmel_CG6081
K05093	Btl:Dmel_CG32134
K00517	Cyp6g2:Dmel_CG8859
K09381	Prd:Dmel_CG6716
K12302	VglUt:Dmel_CG9887
K13253	Nos:Dmel_CG6713
K03128	Taf2:Dmel_CG6711
K07573	Csl4:Dmel_CG6249
K01047	IplA2-via:Dmel_CG6718
K01698	PbgS:Dmel_CG10335
K06134	Coq7:Dmel_CG14437
K11585	Hp1B:Dmel_CG7041
K13444	Dmel_CG7049:Dmel_CG7049
K02145	Vha68-2:Dmel_CG3762
K00036	Dmel_CG7140:Dmel_CG7140
K00799	GstS1:Dmel_CG8938
K02992	mRpS7:Dmel_CG5108
K01939	Dmel_CG17273:Dmel_CG17273
K05756	ArpC3b:Dmel_CG8936
K03283	Hsc70-1:Dmel_CG8937
K01090	Ppy-55a:Dmel_CG10930
K00626	Dmel_CG10932:Dmel_CG10932
K09355	Exd:Dmel_CG8933
K01867	Dmel_CG7441:Dmel_CG7441
K11981	ElgI:Dmel_CG17033
K01047	GxiVspla2:Dmel_CG17035
K03347	Lin19:Dmel_CG1877
K08471	Gr28b:Dmel_CG13788
K03231	Ef1alpha100E:Dmel_CG1873
K10735	Sld5:Dmel_CG14549
K09090	HlhMbeta:Dmel_CG14548
K06258	Dmel_CG3168:Dmel_CG3168
K11313	Spt3:Dmel_CG3169
K01446	PgrP-la:Dmel_CG32042
K03386	JafRac2:Dmel_CG1274
K05294	Dmel_CG3160:Dmel_CG3160
K02155	Vha16:Dmel_CG3161
K03211	Aop:Dmel_CG3166
K00444	Wnt5:Dmel_CG6407
K03217	Dmel_CG6404:Dmel_CG6404
K12836	U2aF38:Dmel_CG3582
K01509	Dmel_CG31793:Dmel_CG31793
K04131	MacR-60c:Dmel_CG4356
K08471	Gr10a:Dmel_CG32664
K10359	Ck:Dmel_CG7595
K14573	Dmel_CG4806:Dmel_CG4806
K02132	Blw:Dmel_CG3612
K00517	Cyp9c1:Dmel_CG3616
K03842	Dmel_CG18012:Dmel_CG18012
K06051	Dl:Dmel_CG3619
K00026	Dmel_CG10748:Dmel_CG10748
K12504	qless:Dmel_CG31005
K10339	StoPs:Dmel_CG31006
K00734	beta3GalTII:Dmel_CG8734
K01897	L(2)44dea:Dmel_CG8732
K03685	DroSha:Dmel_CG8730
K00939	Adk1:Dmel_CG17146
K03940	Dmel_CG9172:Dmel_CG9172
K00772	Dmel_CG4802:Dmel_CG4802
K13176	ThoC7:Dmel_CG17143
K10693	Hiw:Dmel_CG32592
K08471	Gr64a:Dmel_CG32261
K00784	Jhi-1:Dmel_CG3298
K00236	SdhC:Dmel_CG6666
K09255	Dl:Dmel_CG6667
K01077	Dmel_CG3290:Dmel_CG3290
K12618	Pcm:Dmel_CG3291
K02333	DNApol-gamma35:Dmel_CG33650
K09031	Kay:Dmel_CG33956
K06639	Cdc14:Dmel_CG7134
K06965	pelo:Dmel_CG3959
K05633	Su(Dx):Dmel_CG4244
K11584	Pp2A-b':Dmel_CG7913
K11268	Eco:Dmel_CG8598
K14298	Rae1:Dmel_CG9862
K11278	Nlp:Dmel_CG7917
K00804	Qm:Dmel_CG8593
K10395	Klp3a:Dmel_CG8590
K12307	Dmel_CG8596:Dmel_CG8596
K04599	MthL5:Dmel_CG6965
K03662	VhaAC45:Dmel_CG8029
K00108	Dmel_CG9514:Dmel_CG9514
K08471	Gr93c:Dmel_CG31173
K01463	Gug:Dmel_CG6964
K03259	Eif4e-3:Dmel_CG8023
K12181	Csn8:Dmel_CG42522
K03258	Eif-4b:Dmel_CG10837
K07918	Ltd:Dmel_CG8024
K12587	Mtr3:Dmel_CG8025
K05749	Sra-1:Dmel_CG4931
K01379	Dmel_CG6508:Dmel_CG6508
K01793	Hsepi:Dmel_CG3194
K02175	Brn:Dmel_CG4934
K01834	PglYm78:Dmel_CG1721
K01875	AatS-ser:Dmel_CG4938
K02729	Prosalpha5:Dmel_CG10938
K02920	Rpl36:Dmel_CG7622
K02153	VhaM9.7-2:Dmel_CG7625
K10836	Tim8:Dmel_CG1728
K02090	Cdk5:Dmel_CG8203
K13989	Der-2:Dmel_CG14899
K05960	Par-1:Dmel_CG8201
K02218	GisH:Dmel_CG6963
K00911	Ip3K1:Dmel_CG4026
K05692	Act5c:Dmel_CG4027
K04157	5-hT2:Dmel_CG1056
K12353	Dmel_CG6962:Dmel_CG6962
K09448	Sd:Dmel_CG8544
K10847	XpaC:Dmel_CG6358
K01310	Jon99ciii:Dmel_CG31362
K08471	Gr59b:Dmel_CG30191
K00799	GstE9:Dmel_CG17534
K00799	GstE7:Dmel_CG17531
K00799	GstE6:Dmel_CG17530
K00432	PhgPx:Dmel_CG12013
K03843	Dmel_CG1291:Dmel_CG1291
K01613	Dmel_CG5991:Dmel_CG5991
K09067	L(1)sc:Dmel_CG3839
K06662	Rad17:Dmel_CG7825
K01488	AdgF-a:Dmel_CG5992
K01672	Cah1:Dmel_CG7820
K01488	AdgF-b:Dmel_CG5998
K00504	Phm:Dmel_CG3832
K04532	App-bp1:Dmel_CG7828
K09512	Mrj:Dmel_CG8448
K06027	ComT:Dmel_CG1618
K12311	Dmel_CG9466:Dmel_CG9466
K06061	Mam:Dmel_CG8118
K01062	Lis-1:Dmel_CG8440
K05313	Glu-ri:Dmel_CG8442
K05546	Dmel_CG14476:Dmel_CG14476
K02212	Dpa:Dmel_CG1616
K00505	ProPo-a1:Dmel_CG42639
K14544	Mat89Ba:Dmel_CG12785
K00591	Dmel_CG9249:Dmel_CG9249
K16860	Dmel_CG9248:Dmel_CG9248
K00999	Pis:Dmel_CG9245
K01681	AcoN:Dmel_CG9244
K02213	Cdc6:Dmel_CG5971
K14399	cbc:Dmel_CG5970
K13254	SpaS:Dmel_CG5977
K09647	Dmel_CG9240:Dmel_CG9240
K04984	TrpA1:Dmel_CG5751
K01951	Bur:Dmel_CG9242
K14007	Sec24:Dmel_CG1472
K12319	Gycbeta100B:Dmel_CG1470
K02918	Rpl35:Dmel_CG4111
K02872	Rpl13a:Dmel_CG1475
K01312	BetAtry:Dmel_CG18211
K03124	TfiIb:Dmel_CG5193
K04255	Rh6:Dmel_CG5192
K03283	Hsp70ab:Dmel_CG18743
K08810	TriO:Dmel_CG18214
K08471	Gr28a:Dmel_CG13787
K04453	Max:Dmel_CG9648
K01185	LysE:Dmel_CG1180
K01870	AatS-ile:Dmel_CG11471
K11462	Esc:Dmel_CG14941
K13207	Bru-2:Dmel_CG31761
K02177	AreT:Dmel_CG31762
K12491	CenG1a:Dmel_CG31811
K09200	Btd:Dmel_CG12653
K06631	PolO:Dmel_CG12306
K01908	Dmel_CG6432:Dmel_CG6432
K06269	Flw:Dmel_CG2096
K08585	CalPa:Dmel_CG7563
K11438	Art7:Dmel_CG9882
K05754	P16-arc:Dmel_CG9881
K08471	Or23a:Dmel_CG9880
K08516	Ykt6:Dmel_CG1515
K15788	Dmel_CG9886:Dmel_CG9886
K04662	Dpp:Dmel_CG9885
K05868	CycB3:Dmel_CG5814
K12200	AliX:Dmel_CG12876
K14323	Btz:Dmel_CG12878
K02908	Rpl30:Dmel_CG10652
K03037	Rpn7:Dmel_CG5378
K00733	beta4GalT7:Dmel_CG11780
K09493	T-cP1:Dmel_CG5374
K04611	Mtt:Dmel_CG30361
K08701	Hr96:Dmel_CG11783
K10807	RnrL:Dmel_CG5371
K04489	Dcp-1:Dmel_CG5370
K00914	Pi3K59f:Dmel_CG5373
K01476	Arg:Dmel_CG18104
K03958	Dmel_CG40002:Dmel_CG40002
K01255	LooPin-1:Dmel_CG4750
K01469	Dmel_CG4752:Dmel_CG4752
K01528	Shi:Dmel_CG18102
K02951	Rps12:Dmel_CG11271
K14575	Dmel_CG5776:Dmel_CG5776
K12275	Trp1:Dmel_CG4758
K02901	Rpl27:Dmel_CG4759
K02987	Rps4:Dmel_CG11276
K02947	Rps10a:Dmel_CG12275
K00517	Cyp4s3:Dmel_CG9081
K10684	Aos1:Dmel_CG12276
K11883	Dmel_CG2972:Dmel_CG2972
K11446	Lid:Dmel_CG9088
K01011	Dmel_CG12279:Dmel_CG12279
K09360	B-h1:Dmel_CG5529
K02926	mRpL4:Dmel_CG5818
K13352	Pex11:Dmel_CG8315
K02979	Rps28b:Dmel_CG2998
K12405	Mfe2:Dmel_CG3415
K10742	Dmel_CG2990:Dmel_CG2990
K11420	G9a:Dmel_CG2995
K03857	Dmel_CG6401:Dmel_CG6401
K10749	GemInin:Dmel_CG3183
K14309	Dmel_CG11092:Dmel_CG11092
K01768	Lap1:Dmel_CG10255
K10581	Dmel_CG10254:Dmel_CG10254
K08471	Or22c:Dmel_CG15377
K08471	Gr8A:Dmel_CG15371
K01087	Dmel_CG5171:Dmel_CG5171
K00803	Dmel_CG10253:Dmel_CG10253
K13802	NinAe:Dmel_CG4550
K00162	Dmel_CG11876:Dmel_CG11876
K11417	SirT7:Dmel_CG11305
K01230	alpha-Man-Ib:Dmel_CG11874
K14302	Dmel_CG11875:Dmel_CG11875
K06491	Fas2:Dmel_CG3665
K03506	Mes4:Dmel_CG11301
K14326	Upf1:Dmel_CG1559
K01251	AhcY13:Dmel_CG11654
K01090	Pp4-19c:Dmel_CG32505
K09270	Sox100b:Dmel_CG15552
K00699	Ugt86dg:Dmel_CG17200
K00207	Su(R):Dmel_CG2194
K00831	Dmel_CG11899:Dmel_CG11899
K04600	StaN:Dmel_CG11895
K08814	TrbL:Dmel_CG5408
K09073	Fer1:Dmel_CG33323
K11422	Set1:Dmel_CG40351
K12195	Vps20:Dmel_CG4071
K13280	twr:Dmel_CG2358
K11187	Prx5:Dmel_CG7217
K04700	SocS36e:Dmel_CG15154
K14007	gho:Dmel_CG10882
K08471	Or67c:Dmel_CG14156
K12624	Dmel_CG6610:Dmel_CG6610
K02730	Dmel_CG30382:Dmel_CG30382
K08660	Dmel_CG17337:Dmel_CG17337
K05270	LccH3:Dmel_CG17336
K01057	Dmel_CG17333:Dmel_CG17333
K02144	VhaSfd:Dmel_CG17332
K02734	Dmel_CG17331:Dmel_CG17331
K10718	JhaMt:Dmel_CG17330
K04507	Dmel_CG3226:Dmel_CG3226
K03966	PdsW:Dmel_CG8844
K08701	Hr46:Dmel_CG33183
K09311	AntP:Dmel_CG1028
K08471	Gr36b:Dmel_CG31744
K09231	Kr:Dmel_CG3340
K13238	Dmel_CG4598:Dmel_CG4598
K09311	Abd-a:Dmel_CG10325
K04368	DsoR1:Dmel_CG15793
K10352	Zip:Dmel_CG15792
K00670	Ard1:Dmel_CG11989
K02974	Rps24:Dmel_CG3751
K11430	E(z):Dmel_CG6502
K14537	ns2:Dmel_CG6501
K00128	AldH:Dmel_CG3752
K01431	Pyd3:Dmel_CG3027
K01623	Ald:Dmel_CG6058
K11308	Mof:Dmel_CG3025
K04986	Pkd2:Dmel_CG6504
K06229	Su(Fu):Dmel_CG6054
K12399	Or:Dmel_CG3029
K01107	Ipp:Dmel_CG3028
K09527	Tpr2:Dmel_CG4599
K02358	EftUm:Dmel_CG6050
K03283	Hsp70aa:Dmel_CG31366
K05643	Dmel_CG6052:Dmel_CG6052
K02964	Rps18:Dmel_CG8900
K03781	Cat:Dmel_CG6871
K08343	Aut1:Dmel_CG6877
K12844	Prp31:Dmel_CG6876
K01596	Dmel_CG10924:Dmel_CG10924
K10401	Klp67a:Dmel_CG10923
K02993	Rps7:Dmel_CG1883
K08471	Gr9A:Dmel_CG32693
K00699	Dmel_CG31002:Dmel_CG31002
K08491	Syx17:Dmel_CG7452
K01533	Atp7:Dmel_CG1886
K02331	L(1)1bi:Dmel_CG6189
K00552	Dmel_CG6188:Dmel_CG6188
K01718	RluA-2:Dmel_CG6187
K01092	Dmel_CG17029:Dmel_CG17029
K03871	Vhl:Dmel_CG13221
K12616	Ge-1:Dmel_CG6181
K05336	Dat:Dmel_CG8380
K03133	E(y)1:Dmel_CG6474
K02947	Rps10b:Dmel_CG14206
K00329	Dmel_CG6485:Dmel_CG6485
K09272	SsrP:Dmel_CG4817
K03066	ProS45:Dmel_CG1489
K07976	Rab9d:Dmel_CG32678
K07976	Rab9e:Dmel_CG32673
K08341	Atg8a:Dmel_CG32672
K07976	Rab9fa:Dmel_CG32671
K07976	Rab9fb:Dmel_CG32670
K00140	Dmel_CG17896:Dmel_CG17896
K11131	Nop60b:Dmel_CG3333
K05858	NorPa:Dmel_CG3620
K01044	Est-p:Dmel_CG17148
K09316	Dll:Dmel_CG3629
K01796	Dmel_CG9319:Dmel_CG9319
K12890	Sf2:Dmel_CG6987
K10365	Cpb:Dmel_CG17158
K09580	Pdi:Dmel_CG6988
K01365	Cp1:Dmel_CG6692
K03248	Dmel_CG8636:Dmel_CG8636
K06530	TepIi:Dmel_CG7052
K16185	RagA:Dmel_CG11968
K06210	NmnAt:Dmel_CG13645
K13207	Bru-3:Dmel_CG12478
K11826	Ap-50:Dmel_CG7057
K11651	DalAo:Dmel_CG7055
K02135	Sun:Dmel_CG9032
K06070	Pkd:Dmel_CG7125
K12492	Gap69c:Dmel_CG4237
K10752	Caf1:Dmel_CG4236
K14649	Taf8:Dmel_CG7128
K00813	Got2:Dmel_CG4233
K08471	Or22b:Dmel_CG4231
K06626	CycE:Dmel_CG3938
K03120	Tbp:Dmel_CG9874
K13597	Put:Dmel_CG7904
K02922	Rpl37b:Dmel_CG9873
K12882	Dmel_CG7907:Dmel_CG7907
K03679	Rrp4:Dmel_CG3931
K09215	Sob:Dmel_CG3242
K02830	Rad1:Dmel_CG3240
K09452	Al:Dmel_CG3935
K01090	Ppn58a:Dmel_CG3245
K02599	N:Dmel_CG3936
K00827	Dmel_CG11241:Dmel_CG11241
K00108	Eo:Dmel_CG9504
K07199	alc:Dmel_CG8057
K12194	ShrB:Dmel_CG8055
K03236	Eif-1a:Dmel_CG8053
K01077	Dmel_CG16771:Dmel_CG16771
K00108	Dmel_CG9509:Dmel_CG9509
K02725	ProS35:Dmel_CG4904
K01681	Irp-1a:Dmel_CG4900
K02886	mRpL2:Dmel_CG7636
K11130	Dmel_CG7637:Dmel_CG7637
K01187	Mal-A4:Dmel_CG8693
K16330	Dmel_CG2794:Dmel_CG2794
K01187	LvpL:Dmel_CG8695
K01187	LvpD:Dmel_CG8694
K01187	LvpH:Dmel_CG8696
K07509	ThiOlase:Dmel_CG4581
K02522	Itp-r83a:Dmel_CG1063
K09291	MtoR:Dmel_CG8274
K01899	ScsAlpha:Dmel_CG1065
K01520	DutPase:Dmel_CG4584
K00232	Dmel_CG4586:Dmel_CG4586
K13763	Pde6:Dmel_CG8279
K02938	Rpl8:Dmel_CG1263
K08471	Gr59c:Dmel_CG30186
K00963	Ugp:Dmel_CG4347
K09301	Lab:Dmel_CG1264
K12840	Spf45:Dmel_CG17540
K00522	Fer3hch:Dmel_CG4349
K00232	Dmel_CG17544:Dmel_CG17544
K04345	Pka-c2:Dmel_CG12066
K11097	SmE:Dmel_CG18591
K01312	gammaTry:Dmel_CG30028
K12669	Ostgamma:Dmel_CG7830
K01768	AcxC:Dmel_CG5983
K02607	Orc5:Dmel_CG7833
K03240	eIF2B-epsilon:Dmel_CG3806
K02178	BubR1:Dmel_CG7838
K08508	SnaP24:Dmel_CG9474
K03063	Rpt3r:Dmel_CG9475
K14284	Sbr:Dmel_CG1664
K13348	Dmel_CG1662:Dmel_CG1662
K02183	Cam:Dmel_CG8472
K01697	Cbs:Dmel_CG1753
K12593	Mpp6:Dmel_CG9250
K07374	alphaTub67C:Dmel_CG8308
K09418	Hsf:Dmel_CG5748
K00517	Cyp4aa1:Dmel_CG8302
K01540	Nrv1:Dmel_CG9258
K00451	Hgo:Dmel_CG4779
K01046	Dmel_CG5966:Dmel_CG5966
K11366	Not:Dmel_CG4166
K07936	Ran:Dmel_CG1404
K00517	Cyp303a1:Dmel_CG4163
K00654	LacE:Dmel_CG4162
K10612	Cul-5:Dmel_CG1401
K02130	Dmel_CG4692:Dmel_CG4692
K02948	mRpS11:Dmel_CG5184
K07424	Cyp9f2:Dmel_CG11466
K00415	Dmel_CG4169:Dmel_CG4169
K01930	Dmel_CG31773:Dmel_CG31773
K02359	Egh:Dmel_CG9659
K09182	Grn:Dmel_CG9656
K09336	Vsx2:Dmel_CG33980
K13515	Nes:Dmel_CG9655
K04148	DopR:Dmel_CG9652
K02537	Mad2:Dmel_CG17498
K16507	ds:Dmel_CG17941
K02963	mRpS18C:Dmel_CG9688
K10645	Mib2:Dmel_CG17492
K10425	L(2)06496:Dmel_CG9893
K09218	Esg:Dmel_CG3758
K10588	Dmel_CG5087:Dmel_CG5087
K03355	Cdc23:Dmel_CG2508
K01044	alpha-Est2:Dmel_CG2505
K12311	Dmel_CG9468:Dmel_CG9468
K02946	mRpS10:Dmel_CG4247
K00025	Mdh1:Dmel_CG5362
K02087	Cdc2:Dmel_CG5363
K00416	Dmel_CG30354:Dmel_CG30354
K12373	HexO1:Dmel_CG1318
K08706	KnrL:Dmel_CG4761
K10661	Dmel_CG1317:Dmel_CG1317
K00457	Dmel_CG11796:Dmel_CG11796
K02731	ProS28.1b:Dmel_CG4569
K02150	Vha26:Dmel_CG1088
K03030	Rpn11:Dmel_CG18174
K02934	Rpl6:Dmel_CG11522
K00868	Dmel_CG34455:Dmel_CG34455
K05673	Dmel_CG4562:Dmel_CG4562
K01866	AatS-tyr:Dmel_CG4561
K05756	ArpC3a:Dmel_CG4560
K07299	GluT1:Dmel_CG1086
K03514	Trf4-1:Dmel_CG11265
K02922	Rpl37a:Dmel_CG9091
K12309	Gal:Dmel_CG9092
K03937	Dmel_CG12203:Dmel_CG12203
K01196	Dmel_CG9485:Dmel_CG9485
K10151	CycD:Dmel_CG9096
K02133	ATPsyn-beta:Dmel_CG11154
K05284	Dmel_CG9865:Dmel_CG9865
K00939	Adk2:Dmel_CG3140
K01885	Dmel_CG4573:Dmel_CG4573
K11471	Asx:Dmel_CG8787
K11456	Ph-P:Dmel_CG18412
K14676	sws:Dmel_CG2212
K00940	Awd:Dmel_CG2210
K00522	Fer1hch:Dmel_CG2216
K02737	Prosbeta5R:Dmel_CG9868
K12179	Csn6:Dmel_CG6932
K00020	Dmel_CG15093:Dmel_CG15093
K03248	Dmel_CG10881:Dmel_CG10881
K04511	Pk:Dmel_CG11084
K03120	Trf2:Dmel_CG18009
K04663	Gbb:Dmel_CG5562
K11317	Ada1-2:Dmel_CG31866
K14026	Hrd3:Dmel_CG10221
K08471	Or9A:Dmel_CG15302
K03164	Top2:Dmel_CG10223
K10415	Sw:Dmel_CG18000
K02923	Rpl38:Dmel_CG18001
K00602	Dmel_CG11089:Dmel_CG11089
K01596	PepCk:Dmel_CG17725
K13443	Npc2h:Dmel_CG11315
K13443	Npc2g:Dmel_CG11314
K02649	Pi3K21b:Dmel_CG2699
K14010	TraM:Dmel_CG11642
K09300	Abd-b:Dmel_CG11648
K12872	Dmel_CG14641:Dmel_CG14641
K00517	Cyp12a4:Dmel_CG6042
K02979	Rps28a:Dmel_CG15527
K03032	Rpn2:Dmel_CG11888
K11374	StiP:Dmel_CG11887
K01081	Dmel_CG11883:Dmel_CG11883
K01312	LamBdatry:Dmel_CG12350
K01312	deltaTry:Dmel_CG12351
K09478	Dmel_CG3902:Dmel_CG3902
K07870	MirO:Dmel_CG5410
K01120	Pde8:Dmel_CG5411
K03104	Srp14:Dmel_CG5417
K17497	Dmel_CG10688:Dmel_CG10688
K12813	L(2)37cb:Dmel_CG10689
K09481	Sec61beta:Dmel_CG10130
K13247	Dmel_CG10131:Dmel_CG10131
K14538	ns1:Dmel_CG3983
K10583	Dmel_CG8188:Dmel_CG8188
K06688	Vih:Dmel_CG10682
K01090	Ppd5:Dmel_CG10138
K01893	AatS-asn:Dmel_CG10687
K03020	L(2)37cg:Dmel_CG10685
K12602	Dmel_CG3909:Dmel_CG3909
K06170	Pen-2:Dmel_CG33198
K10281	Jet:Dmel_CG8873
K12856	Prp8:Dmel_CG8877
K12180	Csn7:Dmel_CG2038
K02957	Rps15aa:Dmel_CG2033
K12878	Hpr1:Dmel_CG2031
K12076	dlg1:Dmel_CG1725
K12619	Rat1:Dmel_CG10354
K16683	ex:Dmel_CG4114
K02882	Rpl18a:Dmel_CG6510
K03364	Fzr2:Dmel_CG16783
K05289	Dmel_CG3033:Dmel_CG3033
K14324	Bin1:Dmel_CG6046
K01737	Pr:Dmel_CG16784
K02677	InaC:Dmel_CG6518
K14325	RnpS1:Dmel_CG16788
K03254	Eif3-s10:Dmel_CG9805
K03115	CkiIbeta2:Dmel_CG8914
