!!SBtab TableType='Proteomaps' Organism='eco'!ProteinIdentifier	!Abundance[original])	!Abundance[ppm]	!SizeWeightedAbundance[original]	!SizeWeightedAbundance[ppm]	!ProteinSize	!ProteinName	!Identifiers:kegg.orthology	!Pathway
b3963	703.0	67.2562253625	246050.0	86.1438236315	350			
b0180	12823.0	1226.7803383	2128618.0	745.244029957	166.0	FabZ	K02372	Lipid and steroid metabolism
b3845	15.0	1.43505459522	5805.0	2.03237104727	387.0	FadA	K00632	Lipid and steroid metabolism
b3846	0.0	0.0	0.0	0.0	729.0	FadB	K01825	Lipid and steroid metabolism
b1805	243.0	23.2478844425	138996.0	48.6634704714	572.0	FadD	K01897	Other enzymes
b0221	7.0	0.669692144435	5698.0	1.99490959989	814.0	FadE	K06445	Lipid and steroid metabolism
b3081	0.0	0.0	0.0	0.0	672.0	FadH	K00219	Other enzymes
b2342	7.0	0.669692144435	3052.0	1.06852651788	436.0	FadI	K00632	Lipid and steroid metabolism
b2341	2.0	0.191340612696	1428.0	0.499952774419	714.0	FadJ	K01782	Lipid and steroid metabolism
b1701	0.0	0.0	0.0	0.0	566.0	FadK	K12507	Lipid and steroid metabolism
b2344	1795.0	171.728199894	628250.0	219.954713255	350			
b0443	4.0	0.382681225391	1400.0	0.490149778842	350	FadM	K12500	Lipid and steroid metabolism
b1187	917.0	87.7296709209	219163.0	76.7304971288	239.0	FadR	K03603	Transcription factors
b2925	15477.0	1480.68933134	5556243.0	1945.27948403	359.0	FbaA	K01624	Glycolysis
b2097	55.0	5.26186684913	20570.0	7.20170067913	374.0	FbaB	K01623	Glycolysis
b4232	3390.0	324.322338519	1125480.0	394.038409351	332.0	Fbp	K03841	Glycolysis
b2052	0.0	0.0	0.0	0.0	334.0	Fcl	K02377	Carbohydrate metabolism
b3895	411.0	39.3204959089	143850.0	50.362889776	350			
b3891	1346.0	128.772232344	471100.0	164.93540058	350			
b4079	0.0	0.0	0.0	0.0	715.0	FdhF	K00123	TCA cycle and anaplerotic enzymes
b1474	0.0	0.0	0.0	0.0	1015.0	FdnG	K08348	Two-component system
b1475	0.0	0.0	0.0	0.0	294.0	FdnH	K08349	Two-component system
b1476	0.0	0.0	0.0	0.0	217.0	FdnI	K08350	Two-component system
b3894	37.0	3.53980133487	37592.0	13.1612217759	1016.0	FdoG	K00123	TCA cycle and anaplerotic enzymes
b3893	29.0	2.77443888409	8700.0	3.04593076852	300.0	FdoH	K00124	TCA cycle and anaplerotic enzymes
b3892	13.0	1.24371398252	2743.0	0.960343459546	211.0	FdoI	K00127	TCA cycle and anaplerotic enzymes
b0518	0.0	0.0	0.0	0.0	350			
b2525	7392.0	707.194904523	2587200.0	905.7967913	350			
b1385	7.0	0.669692144435	2450.0	0.857762112974	350	FeaB	K00146	Amino acid metabolism
b1384	0.0	0.0	0.0	0.0	350	FeaR	K14063	Transcription factors
b4291	6.0	0.574021838087	2100.0	0.735224668263	350			
b4290	29.0	2.77443888409	5249.0	1.83771156367	181.0	FecB	K02016	Transport
b4289	4.0	0.382681225391	1400.0	0.490149778842	350	FecC	K02015	Transport
b4288	0.0	0.0	0.0	0.0	350	FecD	K02015	Transport
b4287	46.0	4.400834092	16100.0	5.63672245668	350	FecE	K02013	Transport
b4293	34.0	3.25279041583	5882.0	2.05932928511	173.0	FecI	K03088	RNA polymerase
b4292	24.0	2.29608735235	8400.0	2.94089867305	350			
b3408	190.0	18.1773582061	66500.0	23.282114495	350			
b3409	180.0	17.2206551426	63000.0	22.0567400479	350			
b3410	47.0	4.49650439835	16450.0	5.75925990139	350			
b0584	71.0	6.79259175069	24850.0	8.70015857445	350			
b0592	67.0	6.4099105253	21306.0	7.45937942001	318.0	FepB	K02016	Transport
b0588	48.0	4.59217470469	15264.0	5.34403301732	318.0	FepC	K02013	Transport
b0590	12.0	1.14804367617	4056.0	1.4200339307	338.0	FepD	K02015	Transport
b0587	0.0	0.0	0.0	0.0	350			
b0589	7.0	0.669692144435	2310.0	0.808747135089	330.0	FepG	K02015	Transport
b0585	0.0	0.0	0.0	0.0	350			
b2610	2338.0	223.677176241	1059114.0	370.803209192	453.0	Ffh	K03106	Protein export
b2731	0.0	0.0	0.0	0.0	350			
b0150	301.0	28.7967622107	105350.0	36.8837708579	350			
b0153	18.0	1.72206551426	11880.0	4.15927098046	660.0	FhuB	K02015	Transport
b0151	67.0	6.4099105253	17755.0	6.21614951667	265.0	FhuC	K02013	Transport
b0152	42.0	4.01815286661	12432.0	4.35253003612	296.0	FhuD	K02016	Transport
b1102	2.0	0.191340612696	700.0	0.245074889421	350			
b4367	138.0	13.202502276	48300.0	16.9101673701	350			
b3361	0.0	0.0	0.0	0.0	200.0	Fic	K04095	Chromosome-related
b3915	156.0	14.9245677903	54600.0	19.1158413748	350			
b4314	1218.0	116.526433132	224112.0	78.463176597	184.0	FimA	K07345	Bacterial motility proteins
b4312	407.0	38.9378146836	142450.0	49.8727399972	350			
b4316	5.0	0.478351531739	1205.0	0.421878916789	241.0	FimC	K07346	Chaperones and folding catalysts
b4317	0.0	0.0	0.0	0.0	878.0	FimD	K07347	Bacterial motility proteins
b4313	32.0	3.06144980313	11200.0	3.92119823074	350			
b4318	0.0	0.0	0.0	0.0	176.0	FimF	K07348	Bacterial motility proteins
b4319	6.0	0.574021838087	1014.0	0.355008482676	169.0	FimG	K07349	Bacterial motility proteins
b4320	0.0	0.0	0.0	0.0	303.0	FimH	K07350	Bacterial motility proteins
b4315	0.0	0.0	0.0	0.0	215.0	FimI	K07351	Bacterial motility proteins
b0535	0.0	0.0	0.0	0.0	350	FimZ	K07688	Two-component system
b3261	17805.0	1703.40980452	1744890.0	610.89817686	98.0	Fis	K03557	Transcription factors
b0805	88.0	8.41898695861	30800.0	10.7832951345	350			
b0041	1.0	0.0956703063478	350.0	0.122537444711	350			
b0042	0.0	0.0	0.0	0.0	350			
b0043	0.0	0.0	0.0	0.0	350			
b0044	0.0	0.0	0.0	0.0	350			
b4207	5110.0	488.875265437	1052660.0	368.543618711	206.0	FklB	K03773	Chaperones and folding catalysts
b3347	7345.0	702.698400125	1983150.0	694.314667079	270.0	FkpA	K03772	Chaperones and folding catalysts
b0028	553.0	52.9056794103	82397.0	28.8477652338	149.0	FkpB	K03774	Chaperones and folding catalysts
b0684	9071.0	867.825348881	3174850.0	1111.53716097	350	FldA	K03839	
b2895	680.0	65.0558083165	238000.0	83.3254624032	350			
b1072	0.0	0.0	0.0	0.0	219.0	FlgA	K02386	Bacterial motility proteins
b1073	8.0	0.765362450782	1104.0	0.386518111315	138.0	FlgB	K02387	Bacterial motility proteins
b1074	0.0	0.0	0.0	0.0	134.0	FlgC	K02388	Bacterial motility proteins
b1075	0.0	0.0	0.0	0.0	231.0	FlgD	K02389	Bacterial motility proteins
b1076	5.0	0.478351531739	2005.0	0.701964504699	401.0	FlgE	K02390	Bacterial motility proteins
b1077	0.0	0.0	0.0	0.0	251.0	FlgF	K02391	Bacterial motility proteins
b1078	0.0	0.0	0.0	0.0	260.0	FlgG	K02392	Bacterial motility proteins
b1079	0.0	0.0	0.0	0.0	232.0	FlgH	K02393	Bacterial motility proteins
b1080	0.0	0.0	0.0	0.0	365.0	FlgI	K02394	Bacterial motility proteins
b1081	0.0	0.0	0.0	0.0	313.0	FlgJ	K02395	Bacterial motility proteins
b1082	2.0	0.191340612696	1094.0	0.383017041467	547.0	FlgK	K02396	Bacterial motility proteins
b1083	11.0	1.05237336983	3487.0	1.2208230563	317.0	FlgL	K02397	Bacterial motility proteins
b1071	85.0	8.13197603956	8245.0	2.88663209039	97.0	FlgM	K02398	Bacterial motility proteins
b1070	9.0	0.86103275713	1242.0	0.43483287523	138.0	FlgN	K02399	Bacterial motility proteins
b1879	0.0	0.0	0.0	0.0	692.0	FlhA	K02400	Bacterial motility proteins
b1880	0.0	0.0	0.0	0.0	382.0	FlhB	K02401	Bacterial motility proteins
b1891	93.0	8.89733849035	17856.0	6.25151032215	192.0	FlhC	K02402	Two-component system
b1892	126.0	12.0544585998	14994.0	5.2495041314	119.0	FlhD	K02403	Two-component system
b1878	0.0	0.0	0.0	0.0	130.0	FlhE	K03516	Bacterial motility proteins
b1922	0.0	0.0	0.0	0.0	239.0	FliA	K02405	RNA polymerase
b1923	9.0	0.86103275713	6030.0	2.11114511887	670.0	FliC	K02406	Bacterial motility proteins
b1924	0.0	0.0	0.0	0.0	470.0	FliD	K02407	Bacterial motility proteins
b1937	6.0	0.574021838087	624.0	0.21846675857	104.0	FliE	K02408	Bacterial motility proteins
b1938	0.0	0.0	0.0	0.0	552.0	FliF	K02409	Bacterial motility proteins
b1939	0.0	0.0	0.0	0.0	331.0	FliG	K02410	Bacterial chemotaxis
b1940	0.0	0.0	0.0	0.0	228.0	FliH	K02411	Bacterial motility proteins
b1941	0.0	0.0	0.0	0.0	457.0	FliI	K02412	Bacterial motility proteins
b1942	0.0	0.0	0.0	0.0	147.0	FliJ	K02413	Bacterial motility proteins
b1943	0.0	0.0	0.0	0.0	375.0	FliK	K02414	Bacterial motility proteins
b1944	0.0	0.0	0.0	0.0	154.0	FliL	K02415	Bacterial motility proteins
b1945	0.0	0.0	0.0	0.0	334.0	FliM	K02416	Bacterial chemotaxis
b1946	4.0	0.382681225391	548.0	0.191858627718	137.0	FliN	K02417	Bacterial chemotaxis
b1947	0.0	0.0	0.0	0.0	121.0	FliO	K02418	Bacterial motility proteins
b1948	0.0	0.0	0.0	0.0	245.0	FliP	K02419	Bacterial motility proteins
b1949	0.0	0.0	0.0	0.0	89.0	FliQ	K02420	Bacterial motility proteins
b1950	0.0	0.0	0.0	0.0	261.0	FliR	K02421	Bacterial motility proteins
b1925	3.0	0.287010919043	408.0	0.142843649834	136.0	FliS	K02422	Bacterial motility proteins
b1926	0.0	0.0	0.0	0.0	121.0	FliT	K02423	Bacterial motility proteins
b1920	26760.0	2560.13739787	7118160.0	2492.11753554	266.0	FliY	K02424	Transport
b1921	0.0	0.0	0.0	0.0	183.0	FliZ	K02425	Bacterial motility proteins
b2321	175.0	16.7423036109	61250.0	21.4440528243	350			
b2000	165.0	15.7856005474	180015.0	63.0245088845	1091.0	Flu	K12687	Secretion system
b1566	4.0	0.382681225391	1400.0	0.490149778842	350			
b3288	1010.0	96.6270094113	318150.0	111.386537242	315.0	Fmt	K00604	tRNA loading
b1334	2504.0	239.558447095	626000.0	219.166972539	250.0	Fnr	K01420	Transcription factors
b0904	275.0	26.3093342456	96250.0	33.6977972954	350			
b2492	0.0	0.0	0.0	0.0	350			
b0048	1094.0	104.663315144	173946.0	60.8997095932	159.0	FolA	K00287	Other central metabolism enzymes
b3058	507.0	48.5048453183	61854.0	21.6555174432	122.0	FolB	K01633	Cofactor biosynthesis
b2315	745.0	71.2743782291	314390.0	110.070134979	422.0	FolC	K11754	Cofactor biosynthesis
b0529	1579.0	151.063413723	454752.0	159.211851591	288.0	FolD	K01491	Other central metabolism enzymes
b2153	8104.0	775.312162643	1799088.0	629.873275227	222.0	FolE	K01495	Cofactor biosynthesis
b0142	233.0	22.291181379	37047.0	12.9704134691	159.0	FolK	K00950	Cofactor biosynthesis
b1606	86.0	8.22764634591	20640.0	7.22620816807	240.0	FolM	K13938	Other central metabolism enzymes
b3177	720.0	68.8826205704	203040.0	71.0857222115	282.0	FolP	K00796	Cofactor biosynthesis
b2303	2779.0	265.867781341	333480.0	116.75367732	120.0	FolX	K07589	Other enzymes
b3924	688.0	65.8211707673	170624.0	59.7366541894	248.0	Fpr	K00528	Other enzymes
b2374	13.0	1.24371398252	5408.0	1.89337857427	416.0	Frc	K07749	Other enzymes
b4154	285.0	27.2660373091	171570.0	60.0678553971	602.0	FrdA	K00244	Two-component system
b4153	318.0	30.4231574186	77592.0	27.1655011714	244.0	FrdB	K00245	Two-component system
b4152	123.0	11.7674476808	16113.0	5.64127384749	131.0	FrdC	K00246	Two-component system
b4151	249.0	23.8219062806	29631.0	10.3740200692	119.0	FrdD	K00247	Two-component system
b3844	993.0	95.0006142034	231369.0	81.0039029864	233.0	Fre	K05368	Cofactor biosynthesis
b3370	0.0	0.0	0.0	0.0	350			
b3371	18.0	1.72206551426	6300.0	2.20567400479	350	FrlB	K10708	Other enzymes
b4474	6.0	0.574021838087	2100.0	0.735224668263	350			
b3374	0.0	0.0	0.0	0.0	350	FrlD	K10710	Other enzymes
b3375	217.0	20.7604564775	75950.0	26.5906255022	350	FrlR	K10711	Transcription factors
b0356	1558.0	149.05433729	574902.0	201.277205826	369.0	FrmA	K00121	Glycolysis
b0355	278.0	26.5963451647	77006.0	26.9603384782	277.0	FrmB	K01070	Other enzymes
b0357	472.0	45.1563845962	165200.0	57.8376739034	350			
b0172	10122.0	968.374840852	1872570.0	655.59983669	185.0	Frr	K02838	Translation factors
b0239	439.0	41.9992644867	153650.0	53.7939382279	350			
b2167	154.0	14.7332271776	86702.0	30.3549758037	563.0	FruA	K02769	Transport
b2169	259.0	24.7786093441	97384.0	34.0948186163	376.0	FruB	K02768	Transport
b2168	205.0	19.6124128013	63960.0	22.3928427534	312.0	FruK	K00882	Carbohydrate metabolism
b0080	683.0	65.3428192355	228122.0	79.8671056064	334.0	FruR	K03435	Transcription factors
b3900	0.0	0.0	0.0	0.0	350	FrvA	K11201	Transport
b3899	0.0	0.0	0.0	0.0	350	FrvB	K11202	Transport
b3897	0.0	0.0	0.0	0.0	350			
b3898	1.0	0.0956703063478	350.0	0.122537444711	350			
b3950	20.0	1.91340612696	2120.0	0.742226807961	106.0	FrwB	K11202	Transport
b3949	0.0	0.0	0.0	0.0	359.0	FrwC	K11203	Transport
b3953	3.0	0.287010919043	339.0	0.118686267877	113.0	FrwD	K11202	Transport
b2383	0.0	0.0	0.0	0.0	831.0	FryA	K08483	Transport
b2387	0.0	0.0	0.0	0.0	108.0	FryB	K11202	Transport
b2386	0.0	0.0	0.0	0.0	415.0	FryC	K11203	Transport
b0825	107.0	10.2367227792	23540.0	8.24151842424	220.0	FsaA	K08313	Other enzymes
b3946	19.0	1.81773582061	4180.0	1.46344719683	220.0	FsaB	K08314	Other enzymes
b0479	89.0	8.51465726495	36134.0	12.6507657919	406.0	Fsr	K08223	Transport
b1905	3876.0	370.818107404	639540.0	223.907421115	165.0	FtnA	K02217	Cofactor biosynthesis
b1902	239.0	22.8652032171	83650.0	29.2864492858	350			
b0094	1013.0	96.9140203303	425460.0	148.95651779	420.0	FtsA	K03590	Chromosome-related
b2748	173.0	16.5509629982	17819.0	6.2385563637	103.0	FtsB	K05589	Chromosome-related
b3463	649.0	62.0900288197	144078.0	50.4427141686	222.0	FtsE	K09812	Chromosome-related
b3178	2091.0	200.046610573	731850.0	256.22579689	350	FtsH	K03798	Chaperones and folding catalysts
b0084	226.0	21.6214892346	132888.0	46.5250170077	588.0	FtsI	K03587	Chromosome-related
b0890	376.0	35.9720351868	507600.0	177.714305529	1350.0	FtsK	K03466	Chromosome-related
b0083	423.0	40.4685395851	51183.0	17.9195258075	121.0	FtsL	K03586	Chromosome-related
b3933	405.0	38.7464740709	129195.0	45.2320719125	319.0	FtsN	K03591	Chromosome-related
b3017	410.0	39.2248256026	143500.0	50.2403523313	350			
b0093	172.0	16.4552926918	47472.0	16.6202787866	276.0	FtsQ	K03589	Chromosome-related
b0089	169.0	16.1682817728	69966.0	24.4955853046	414.0	FtsW	K03588	Chromosome-related
b3462	436.0	41.7122535676	153472.0	53.7316191846	352.0	FtsX	K09811	Chromosome-related
b3464	1246.0	119.205201709	620508.0	217.244184978	498.0	FtsY	K03110	Protein export
b0095	5290.0	506.09592058	2026070.0	709.34125887	383.0	FtsZ	K03531	Cytoskeleton proteins
b2800	3.0	0.287010919043	645.0	0.225819005252	215.0	FucA	K01628	Carbohydrate metabolism
b2802	27.0	2.58309827139	15957.0	5.58665715784	591.0	FucI	K01818	Carbohydrate metabolism
b2803	0.0	0.0	0.0	0.0	482.0	FucK	K00879	Carbohydrate metabolism
b2799	10.0	0.956703063478	3830.0	1.34090975212	383.0	FucO	K00048	Glycolysis
b2801	0.0	0.0	0.0	0.0	438.0	FucP	K02429	Transport
b2805	113.0	10.8107446173	27459.0	9.61358769802	243.0	FucR	K02430	Transcription factors
b2804	392.0	37.5027600883	54880.0	19.2138713306	140.0	FucU	K02431	Other enzymes
b1612	1365.0	130.589968165	748020.0	261.887026835	548.0	FumA	K01676	TCA cycle and anaplerotic enzymes
b4122	86.0	8.22764634591	47128.0	16.4998419838	548.0	FumB	K01676	TCA cycle and anaplerotic enzymes
b1611	326.0	31.1885198694	152242.0	53.3009875932	467.0	FumC	K01679	TCA cycle and anaplerotic enzymes
b0683	4625.0	442.475166859	684500.0	239.648231155	148.0	Fur	K03711	Transcription factors
b3340	55700.0	5328.83606357	39212800.0	13728.675177	704.0	FusA	K02355	Translation factors
b4140	332.0	31.7625417075	116200.0	40.6824316439	350			
b2661	36.0	3.44413102852	17352.0	6.07505640176	482.0	GabD	K00135	Other central metabolism enzymes
b2663	0.0	0.0	0.0	0.0	350			
b2662	16.0	1.53072490156	6816.0	2.38632920899	426.0	GabT	K07250	Other central metabolism enzymes
b3517	11.0	1.05237336983	5126.0	1.79464840453	466.0	GadA	K01580	Amino acid metabolism
b1492	0.0	0.0	0.0	0.0	350			
b3512	0.0	0.0	0.0	0.0	350			
b3515	93.0	8.89733849035	32550.0	11.3959823581	350			
b3516	30.0	2.87010919043	10500.0	3.67612334132	350			
b0759	773.0	73.9531468069	264366.0	92.5563831667	342.0	GalE	K01784	Carbohydrate metabolism
b2042	3761.0	359.816022174	1135822.0	397.659215789	302.0	GalF	K00963	Carbohydrate metabolism
b0757	163.0	15.5942599347	62266.0	21.799761521	382.0	GalK	K00849	Carbohydrate metabolism
b0756	921.0	88.1123521463	318666.0	111.567192446	346.0	GalM	K01785	Glycolysis
b2943	151.0	14.4462162585	70064.0	24.5298957891	464.0	GalP	K08137	Transport
b2837	226.0	21.6214892346	77518.0	27.1395932545	343.0	GalR	K02529	Transcription factors
b2151	0.0	0.0	0.0	0.0	346.0	GalS	K02529	Transcription factors
b0758	163.0	15.5942599347	56724.0	19.8594686107	348.0	GalT	K00965	Carbohydrate metabolism
b1236	7134.0	682.511965485	2154468.0	754.294295516	302.0	GalU	K00963	Carbohydrate metabolism
b1779	79411.0	7597.27469739	26285041.0	9202.57645215	331.0	GapA	K00134	Glycolysis
b3128	8.0	0.765362450782	4184.0	1.46484762477	523.0	GarD	K01708	Carbohydrate metabolism
b3124	20.0	1.91340612696	7620.0	2.66781522484	381.0	GarK	K00865	TCA cycle and anaplerotic enzymes
b3126	2.0	0.191340612696	512.0	0.179254776262	256.0	GarL	K01630	Carbohydrate metabolism
b3127	0.0	0.0	0.0	0.0	444.0	GarP	K12299	Transport
b3125	68.0	6.50558083165	19992.0	6.99933884186	294.0	GarR	K00042	TCA cycle and anaplerotic enzymes
b2094	1479.0	141.496383088	221850.0	77.6712345972	150.0	GatA	K02773	Transport
b2093	770.0	73.6661358878	72380.0	25.3407435661	94.0	GatB	K02774	Transport
b2092	926.0	88.5907036781	417626.0	146.213779671	451.0	GatC	K02775	Transport
b2091	465.0	44.4866924517	160890.0	56.3287127985	346.0	GatD	K00094	Carbohydrate metabolism
b2096	7752.0	741.636214808	2201568.0	770.784334504	284.0	GatY	K08302	Carbohydrate metabolism
b2095	2717.0	259.936222347	1141140.0	399.521084734	420.0	GatZ	K00917	Carbohydrate metabolism
b0124	457.0	43.7213300009	363772.0	127.359118106	796.0	Gcd	K00117	Pentose phosphate metabolism
b0507	12.0	1.14804367617	7116.0	2.49136130446	593.0	Gcl	K01608	TCA cycle and anaplerotic enzymes
b3064	974.0	93.1828783828	340900.0	119.351471148	350	Gcp	K01409	Peptidases
b2808	174.0	16.6466333045	53070.0	18.580177688	305.0	GcvA	K03566	Transcription factors
b2904	4785.0	457.782415874	1674750.0	586.34167294	350	GcvH	K02437	Other central metabolism enzymes
b2903	780.0	74.6228389513	746460.0	261.340859939	957.0	GcvP	K00281	Amino acid metabolism
b2479	358.0	34.2499696725	68020.0	23.814277112	190.0	GcvR	K03567	Transcription factors
b2905	1018.0	97.3923718621	370552.0	129.732843464	364.0	GcvT	K00605	Other central metabolism enzymes
b1761	645.0	61.7073475943	288315.0	100.941095348	447.0	GdhA	K00262	Amino acid metabolism
b0987	26.0	2.48742796504	9100.0	3.18597356247	350			
b0986	0.0	0.0	0.0	0.0	350			
b0985	0.0	0.0	0.0	0.0	350			
b0984	0.0	0.0	0.0	0.0	350			
b0983	41.0	3.92248256026	14350.0	5.02403523313	350			
b3447	6.0	0.574021838087	3462.0	1.21207038168	577.0	Ggt	K00681	Peptidases
b1033	600.0	57.4021838087	187200.0	65.5400275709	312.0	GhrA	K12972	Glycolysis
b3553	1774.0	169.719123461	574776.0	201.233092346	324.0	GhrB	K00090	Other central metabolism enzymes
b2975	0.0	0.0	0.0	0.0	350			
b2976	142.0	13.5851835014	102666.0	35.9440837104	723.0	GlcB	K01638	Glycolysis
b2980	49.0	4.68784501104	13426.0	4.7005363791	274.0	GlcC	K11474	Transcription factors
b2979	0.0	0.0	0.0	0.0	499.0	GlcD	K00104	TCA cycle and anaplerotic enzymes
b4468	0.0	0.0	0.0	0.0	350.0	GlcE	K11472	TCA cycle and anaplerotic enzymes
b4467	0.0	0.0	0.0	0.0	407.0	GlcF	K11473	TCA cycle and anaplerotic enzymes
b2977	126.0	12.0544585998	44100.0	15.4397180335	350			
b3945	51.0	4.87918562374	18717.0	6.55295243613	367.0	GldA	K00005	Lipid and steroid metabolism
b2036	2460.0	235.348953616	937260.0	328.141272655	381.0	Glf	K01854	Other enzymes
B3429	224.0	21.4301486219	78400.0	27.4483876152	350			
b3432	239.0	22.8652032171	173992.0	60.9158145145	728.0	GlgB	K00700	Carbohydrate metabolism
b3430	514.0	49.1745374628	225132.0	78.8202857216	438.0	GlgC	K00975	Carbohydrate metabolism
b3428	177.0	16.9336442236	144255.0	50.5046831049	815.0	GlgP	K00688	Carbohydrate metabolism
b3049	286.0	27.3617076155	100100.0	35.0457091872	350			
b3431	85.0	8.13197603956	55845.0	19.551724571	657.0	GlgX	K02438	Other enzymes
b2388	500.0	47.8351531739	160500.0	56.1921710744	321.0	Glk	K00845	Glycolysis
b3176	3253.0	311.215506549	1447585.0	506.809619718	445.0	GlmM	K03431	Other central metabolism enzymes
b3729	3766.0	360.294373706	2293494.0	802.968269197	609.0	GlmS	K00820	Peptidases
b3730	2575.0	246.351038846	1174200.0	411.095621655	456.0	GlmU	K04042	Other central metabolism enzymes
b3870	1186.0	113.464983328	556234.0	194.741408632	469.0	GlnA	K01915	Amino acid metabolism
b2553	2872.0	274.765119831	321664.0	112.616813187	112.0	GlnB	K04751	Two-component system
b0167	100.0	9.56703063478	89000.0	31.159521655	890.0	GlnD	K00990	Two-component system
b3053	180.0	17.2206551426	170280.0	59.6162173866	946.0	GlnE	K00982	Other enzymes
b3868	80.0	7.65362450782	37520.0	13.136014073	469.0	GlnG	K07712	Two-component system
b0811	564.0	53.9580527802	139872.0	48.9701641901	248.0	GlnH	K10036	Transport
b0450	0.0	0.0	0.0	0.0	350			
b3869	24.0	2.29608735235	8376.0	2.93249610542	349.0	GlnL	K07708	Two-component system
b0810	61.0	5.83588868722	13359.0	4.67707921111	219.0	GlnP	K10037	Transport
b0809	166.0	15.8812708537	39840.0	13.9482622779	240.0	GlnQ	K10038	Transport
b0680	4927.0	471.367599376	2729558.0	955.637321455	554.0	GlnS	K01886	tRNA loading
b1651	2597.0	248.455785585	350595.0	122.745758367	135.0	GloA	K01759	Glycolysis
b0212	347.0	33.1975963027	87097.0	30.4932680627	251.0	GloB	K01069	Glycolysis
b2241	0.0	0.0	0.0	0.0	542.0	GlpA	K00111	Lipid and steroid metabolism
b2242	0.0	0.0	0.0	0.0	419.0	GlpB	K00112	Lipid and steroid metabolism
b2243	0.0	0.0	0.0	0.0	396.0	GlpC	K00113	Lipid and steroid metabolism
b3426	79.0	7.55795420148	39579.0	13.8568843549	501.0	GlpD	K00111	Lipid and steroid metabolism
b3425	604.0	57.7848650341	65232.0	22.8381788382	108.0	GlpE	K02439	Other enzymes
b3927	6.0	0.574021838087	1686.0	0.59028037652	281.0	GlpF	K02440	Ion channels
b3424	225.0	21.5258189283	78750.0	27.5709250599	350			
b3926	172.0	16.4552926918	86344.0	30.2296375031	502.0	GlpK	K00864	Lipid and steroid metabolism
b2239	24.0	2.29608735235	8592.0	3.00811921415	358.0	GlpQ	K01126	Lipid and steroid metabolism
b3423	705.0	67.4475659752	210795.0	73.8008018793	299.0	GlpR	K02444	Transcription factors
b2240	14.0	1.33938428887	6328.0	2.21547700037	452.0	GlpT	K02445	Transport
B3925	463.0	44.295351839	162050.0	56.734836901	350			
b2556	32.0	3.06144980313	11200.0	3.92119823074	350	GlrK	K07711	Two-component system
b2554	66.0	6.31424021895	23100.0	8.08747135089	350	GlrR	K07715	Two-component system
b0720	1644.0	157.281983636	701988.0	245.770902107	427.0	GltA	K01647	TCA cycle and anaplerotic enzymes
b3212	1004.0	96.0529875732	1528088.0	534.994282322	1522.0	GltB	K00265	Amino acid metabolism
b3213	969.0	92.704526851	457368.0	160.127731464	472.0	GltD	K00266	Amino acid metabolism
b3214	229.0	21.9085001536	80150.0	28.0610748387	350			
b0655	1111.0	106.289710352	335522.0	117.468595783	302.0	GltI	K10001	Transport
b0654	80.0	7.65362450782	19680.0	6.89010546258	246.0	GltJ	K10003	Transport
b0653	76.0	7.27094328243	17024.0	5.96022131072	224.0	GltK	K10002	Transport
b0652	492.0	47.0697907231	118572.0	41.512885412	241.0	GltL	K10004	Transport
b4077	662.0	63.3337428022	231700.0	81.1197883984	350			
b3653	846.0	80.9370791702	296100.0	103.666678225	350			
b2400	5822.0	556.992523557	2742162.0	960.050069892	471.0	GltX	K01885	tRNA loading
b0514	12.0	1.14804367617	4572.0	1.6006891349	381.0	GlxK	K00865	TCA cycle and anaplerotic enzymes
b0509	10.0	0.956703063478	2920.0	1.02231239587	292.0	GlxR	K00042	TCA cycle and anaplerotic enzymes
b2551	12632.0	1208.50730979	5267544.0	1844.2039476	417.0	GlyA	K00600	Other central metabolism enzymes
b3560	4884.0	467.253776203	1479852.0	518.106521799	303.0	GlyQ	K01878	tRNA loading
b3559	6020.0	575.935244214	4147780.0	1452.16674978	689.0	GlyS	K01879	tRNA loading
b2053	9.0	0.86103275713	3366.0	1.17846011113	374.0	Gmd	K01711	Carbohydrate metabolism
b0200	1216.0	116.335092519	231040.0	80.8887177883	190.0	GmhB	K03273	Glycan metabolism
b3648	1537.0	147.045260857	318159.0	111.389688205	207.0	Gmk	K00942	Purine metabolism
b2051	0.0	0.0	0.0	0.0	167.0	Gmm	K03207	Other enzymes
b1285	29.0	2.77443888409	19169.0	6.7112007933	661.0	Gmr	K14051	Other enzymes
b2029	18390.0	1759.37693374	8606520.0	3013.20276757	468.0	Gnd	K00033	Pentose phosphate metabolism
b4517	4082.0	390.526190512	1428700.0	500.197849308	350			
b1550	3647.0	348.90960725	1276450.0	446.894060859	350			
b3437	40.0	3.82681225391	6480.0	2.26869326207	162.0	GntK	K00851	Pentose phosphate metabolism
b4321	5.0	0.478351531739	1750.0	0.612687223553	350			
b3438	425.0	40.6598801978	140675.0	49.251300099	331.0	GntR	K06145	Transcription factors
b3415	11.0	1.05237336983	3850.0	1.34791189182	350			
b4476	3.0	0.287010919043	1050.0	0.367612334132	350			
b3413	0.0	0.0	0.0	0.0	350			
b3500	1664.0	159.195389763	748800.0	262.160110284	450.0	Gor	K00383	Amino acid metabolism
b3385	762.0	72.900773437	192024.0	67.228943666	252.0	Gph	K01091	TCA cycle and anaplerotic enzymes
b0755	21706.0	2076.61966959	5426500.0	1899.85555349	250.0	GpmA	K01834	Glycolysis
