SPBC106.09	cut4	K03348	anaphase-promoting complex subunit Apc1
SPBC29A10.04	psm1	K06636	mitotic cohesin complex subunit Psm1
SPBC29A10.01	ccr1	K00327	NADPH-cytochrome p450 reductase 
SPBC8D2.07c	sfc9	K11310	transcription factor TFIIIC complex subunit Sfc9 (predicted)
SPBC1289.11	spf38	K12857	splicing factor Spf38
SPACUNK4.07c	cta4	K14950	P-type ATPase, calcium transporting Cta4
SPBC16C6.09	ogm4	K00728	protein O-mannosyltransferase Ogm4 
SPAC24C9.03	mvd1	K01597	diphosphomevalonate decarboxylase (predicted) 
SPBC8D2.10c	rmt3	K11436	type I ribosomal protein arginine N-methyltransferase Rmt3 
SPAC22F3.05c	alp41	K07943	ADP-ribosylation factor Alp41
SPBC1D7.04	mlo3	K12881	RNA binding protein Mlo3
SPBC1D7.05	byr2	K11228	MAP kinase kinase kinase Byr2
SPAC17C9.13c	cut8	K11888	tethering factor for nuclear proteasome Cut8
SPAPB18E9.02c	ppk18	K12767	serine/threonine protein kinase Ppk18 (predicted)
SPAC19D5.03	cid1	K13291	poly(A) polymerase Cid1 
SPCC306.09c	cap1	K17261	adenylyl cyclase-associated protein Cap1
SPAC19D5.01	pyp2	K01104	tyrosine phosphatase Pyp2 
SPAC19D5.07	uga1	K13524	4-aminobutyrate aminotransferase (GABA transaminase) 
SPAC19D5.04	ptr1	K10592	E3 ubiquitin-protein ligase
SPBC23G7.15c	rpp202	K02943	60S acidic ribosomal protein P2B
SPAC13D6.05	alp11	K17262	tubulin specific chaperone cofactor B
SPBP4H10.03	oxa102	K03217	mitochondrial inner membrane translocase Oxa102
SPBP4H10.04	ppb1	K04348	calcium-dependent serine/threonine protein phosphatase calcineurin, catalytic subunit Ppb1 
SPCC4B3.20	cmc2	K18171	cytochrome c oxidase biogenesis protein cmc2
SPBC28F2.07	sfr1	K10992	Swi five-dependent recombination repair protein Sfr1
SPBC16A3.04	rsm25	K17402	mitochondrial ribosomal protein subunit Rsm25 (predicted)
SPBC21C3.16c	spt4	K15171	transcription elongation factor complex subunit Spt4
SPBC28F2.03	ppi1	K01802	cyclophilin family peptidyl-prolyl cis-trans isomerase Cyp2 
SPAC821.10c	sod1	K04565	superoxide dismutase Sod1 
SPAC25B8.01	dap1	K17278	cytochrome P450 regulator Dap1
SPAC25B8.03	psd2	K01613	phosphatidylserine decarboxylase Psd2 
SPAC1687.11	spb1	K14857	rRNA methyltransferase Spb1 (predicted) 
SPAPB1E7.03	rpc82	K03023	DNA-directed RNA polymerase III complex subunit Rpc82 (predicted)
SPCC10H11.01	prp11	K12811	ATP-dependent RNA helicase Prp11
SPAC3A12.05c	taf2	K03128	TATA-binding protein associated factor Taf2 (predicted)
SPBC146.13c	myo1	K10356	myosin type I
SPCC1235.02	bio2	K01012	biotin synthase 
SPAC1296.03c	sxa2	K01289	serine carboxypeptidase Sxa2 
SPAPB1E7.05	gde1	K18696	glycerophosphoryl diester phosphodiesterase Gde1 (predicted)
SPAPB2B4.02	grx5	K07390	monothiol glutaredoxin Grx5
SPAC222.07c	hri2	K16194	eIF2 alpha kinase Hri2
SPCC777.10c	ubc12	K10579	NEDD8-conjugating enzyme Ubc12
SPAC13G6.02c	rps101	K02984	40S ribosomal protein S1
SPAC806.03c	rps2601	K02976	40S ribosomal protein S26
SPAC19A8.08	upf2	K14327	nonsense-mediated decay protein Upf2
SPBC1734.11	mas5	K09503	DNAJ domain protein Mas5 (predicted)
SPAC19A8.04	erg5	K09831	C-22 sterol desaturase Erg5
SPCC1259.10	pgp1	K01409	mitochondrial metallopeptidase involved in genome maintenance Pgp1
SPBC1734.15	rsc4	K11759	RSC complex subunit Rsc4
SPAC26A3.12c	dhp1	K12619	5'-3' exoribonuclease Dhp1 
SPAC4A8.13c	pts1	K02737	20S proteasome component beta 5 
SPBC337.15c	coq7	K06134	ubiquinone biosynthesis protein Coq7
SPAC23C4.19	spt5	K15172	transcription elongation factor Spt5
SPAPB8E5.09	rvb1	K04499	AAA family ATPase Rvb1
SPAC23C4.11	atp18	K02142	F0-ATPase subunit J (predicted) 
SPAC23C4.13	bet1	K08504	SNARE Bet1 (predicted)
SPAC23C4.12	hhp2	K02218	serine/threonine protein kinase Hhp2
SPAC23C4.15	rpb5	K03013	DNA-directed RNA polymerase I, II and III subunit Rpb5
SPAC23C4.14	alg1	K03842	mannosyltransferase complex subunit Alg1 (predicted) 
SPAC688.10	rev3	K02350	DNA polymerase zeta catalytic subunit Rev3 (predicted)
SPBC800.04c	rpl4301	K02921	60S ribosomal protein L43
SPBC23E6.09	ssn6	K06665	transcriptional corepressor Ssn6
SPAC3G9.07c	hos2	K11483	histone deacetylase (class I) Hos2
SPBC428.02c	eca39	K00826	branched chain amino acid aminotransferase Eca39 
SPAC9G1.11c	spn4	K16948	septin Spn4
SPCC1393.02c	spt2	K15193	non-specific DNA binding protein Spt2 (predicted)
SPAC1782.01	ecm29	K11886	proteasome component Ecm29
SPAC1782.03	saf3	K13110	splicing associated factor Saf3
SPAC1782.07	qcr8	K00418	ubiquinol-cytochrome-c reductase complex subunit 7 
SPBC691.03c	apl3	K11824	AP-2 adaptor complex subunit Alp3 (predicted)
SPAC1006.05c	och1	K05528	alpha-1,6-mannosyltransferase Och1 
SPAC13D6.03c	trm9	K15444	tRNA (uridine) methyltransferase trm9 
SPAC56F8.06c	alg10	K03850	dolichyl-phosphate-glucose-glycolipid alpha-glucosyltransferase Alg10 (predicted)
SPBC1604.20c	tea2	K11498	kinesin-like protein Tea2
SPAC10F6.12c	mam4	K00587	protein-S isoprenylcysteine O-methyltransferase Mam4 
SPAC57A10.05c	pof1	K10259	F-box/WD repeat protein protein Pof1
SPAC869.07c	mel1	K07407	alpha-galactosidase, melibiase 
SPAC343.11c	msc1	K11446	multi-copy suppressor of Chk1
SPAC19G12.10c	cpy1	K13289	vacuolar carboxypeptidase Y 
SPAC9.12c	atp12	K07556	F1-ATPase chaperone Atp12 (predicted)
SPAC1786.03	cut11	K14315	spindle pole body docking protein Cut11
SPCC24B10.22	pog1	K02332	mitochondrial DNA polymerase 
SPBC19G7.05c	bgs1	K00706	1,3-beta-glucan synthase catalytic subunit Bgs1 
SPCC24B10.21	tpi1	K01803	triosephosphate isomerase 
SPBC2G5.06c	hmt2	K17218	sulfide-quinone oxidoreductase
SPAC3G9.09c	tif211	K03237	translation initiation factor eIF2 alpha subunit
SPBC1289.16c	cao2	K00276	copper amine oxidase-like protein Cao2
SPCC13B11.01	adh1	K13953	alcohol dehydrogenase Adh1 
SPAC630.08c	erg25	K07750	C-4 methylsterol oxidase (predicted) 
SPAC20G8.07c	erg2	K09829	C-8 sterol isomerase Erg2 
SPCC1753.01c	ssb2	K10739	single-stranded DNA binding protein Ssb2
SPCC663.05c	cia1	K10753	histone chaperone Cia1
SPBC713.12	erg1	K00511	squalene monooxygenase Erg1 (predicted) 
SPBC713.10	tim16	K17805	TIM23 translocase complex subunit Tim16 (predicted)
SPBC3H7.06c	pof9	K15072	F-box protein Pof9
SPBC17D11.01	nep1	K08597	NEDD8 protease Nep1
SPBC1709.06	dus2	K05543	tRNA dihydrouridine synthase Dus2 (predicted)
SPBC1709.07	erg27	K09827	3-keto sterol reductase (predicted)
SPBC1347.10	cdc23	K10736	MCM-associated protein Mcm10
SPBC1709.08	cft1	K14401	cleavage factor one Cft1 (predicted)
SPBC16E9.18	psd1	K01613	phosphatidylserine decarboxylase Psd1 
SPCC126.04c	sgf73	K11365	SAGA complex subunit Sgf73
SPBC13G1.08c	ash2	K14967	Ash2-trithorax family protein
SPAC20H4.07	rhp57	K10958	RecA family ATPase Rhp57
SPAC20H4.01	utp5	K14546	U3 snoRNP-associated protein Utp5 (predicted)
SPAC19B12.10	sst2	K11866	AMSH-like protease
SPCC1753.04	tol1	K01082	3'(2'),5'-bisphosphate nucleotidase/inositol-1,4-bisphosphate 1-phosphatase 
SPBC337.05c	cct8	K09500	chaperonin-containing T-complex theta subunit Cct8
SPBC1683.08	ght4	K08139	hexose transporter Ght4
SPBC32F12.05c	cwf12	K12870	complexed with Cdc5 protein Cwf12
SPAC17H9.05	ebp2	K14823	rRNA processing protein Ebp2 (predicted)
SPBC21H7.07c	his5	K01693	imidazoleglycerol-phosphate dehydratase His5 
SPBC14F5.04c	pgk1	K00927	phosphoglycerate kinase Pgk1 (predicted) 
SPAC10F6.05c	ubc6	K04554	ubiquitin conjugating enzyme Ubc6 (predicted) 
SPBC25H2.12c	cct7	K09499	chaperonin-containing T-complex eta subunit Cct7
SPBC530.13	lsc1	K15564	Lsk1 associated cyclin
SPBC3F6.03	trr1	K00384	thioredoxin reductase Trr1 
SPAC823.05c	tlg2	K08489	SNARE Tlg2 (predicted)
SPAC23C4.18c	rad4	K03507	BRCT domain protein Rad4
SPAC23H3.13c	gpa2	K04640	heterotrimeric G protein alpha-2 subunit Gpa2
SPBC32H8.07	git5	K04536	heterotrimeric G protein beta subunit Git5
SPAC56E4.04c	cut6	K11262	acetyl-CoA/biotin carboxylase 
SPBC1861.08c	lea1	K11092	U2 snRNP-associated protein Lea1 (predicted)
SPBC31F10.11c	cwf4	K12869	complexed with Cdc5 protein Cwf4
SPCC1682.02c	mcm3	K02541	MCM complex subunit Mcm3
SPBC31E1.06	bms1	K14569	GTP binding protein Bms1 (predicted)
SPBC31E1.05	gle1	K18723	RNA export factor, cytoplasmic nucleoporin Gle1
SPBC1711.17	prp16	K12815	ATP-dependent RNA helicase Prp16 (predicted)
SPBC31E1.03	hub1	K13113	ubiquitin-like protein modifier Hub1
SPAC8F11.03	msh3	K08736	DNA mismatch repair protein
SPBC1711.13	his2	K00013	histidinol dehydrogenase His2 (predicted) 
SPBC18H10.13	rps1402	K02955	40S ribosomal protein S14
SPBC839.11c	hut1	K15275	uridine diphosphate-N-acetylglucosamine transporter Hut1
SPAC513.05	ams1	K01191	alpha-mannosidase (predicted)
SPAC22F8.08	sec24	K14007	COPII cargo receptor Sec24/Sfb2 subunit
SPBC18H10.16	can1	K14429	arginine transporter Can1
SPBC18H10.15	ppk23	K08818	serine/threonine protein kinase Ppk23
SPBC18H10.14	rps1601	K02960	40S ribosomal protein S16
SPAC22F8.06	pam1	K02732	20S proteasome component beta 6 
SPAC1565.06c	spg1	K06682	GTPase Spg1
SPAC8C9.08	rps5	K02989	40S ribosomal protein S5
SPAC3C7.11c	cnx1	K08054	calnexin Cnx1
SPAC3F10.10c	map3	K04627	pheromone M-factor receptor Map3
SPAC23H4.17c	srb10	K02208	cyclin-dependent protein Srb mediator subunit kinase Srb10
SPBC14C8.03	fma2	K01265	methionine aminopeptidase Fma2 (predicted) 
SPBC14C8.02	tim44	K17804	TIM23 translocase complex subunit Tim44 (predicted)
SPBC14C8.06	arc1	K05757	ARP2/3 actin-organizing complex subunit Sop2
SPAC644.12	cdc5	K12860	cell division control protein, splicing factor Cdc5
SPAC644.15	rpp101	K02942	60S acidic ribosomal protein P1
SPBC16C6.11	rpl3201	K02912	60S ribosomal protein L32
SPAC22E12.07	rna1	K14319	Ran GAP Rna1
SPAC7D4.10	vma13	K02144	V-type ATPase V1 subunit H (predicted) 
SPAC694.05c	rps2502	K02975	40S ribosomal protein S25
SPBC83.08	rvb2	K11338	AAA family ATPase Rvb2
SPCC1620.14c	snf22	K11786	ATP-dependent DNA helicase Snf22
SPAC4A8.12c	sds22	K17550	protein phosphatase regulatory subunit Sds22
SPCC11E10.02c	gpi8	K05290	pig-K 
SPBC17G9.11c	pyr1	K01958	pyruvate carboxylase Pyr1 
SPBP4H10.13	rps2302	K02973	40S ribosomal protein S23
SPAC1805.03c	trm13	K15446	tRNA 2'-O-methyltransferase Trm13 (predicted)
SPBC28F2.12	rpb1	K03006	RNA polymerase II large subunit Rpb1 
SPAC144.04c	spe1	K01581	ornithine decarboxylase Spe1 (predicted) 
SPBC29A3.12	rps902	K02997	40S ribosomal protein S9
SPAC25B8.14	mal2	K11552	kinetochore protein mal2
SPBC29A3.16	rrs1	K14852	ribosome biogenesis protein Rrs1 (predicted)
SPBC405.01	ade1	K11788	phosphoribosylamine-glycine ligase 
SPAC9E9.07c	ypt2	K07901	GTPase Ypt2
SPCC622.16c	epe1	K10276	Jmjc domain chromatin associated protein Epe1
SPBC29A3.18	cyt1	K00413	cytochrome c1 Cyt1 (predicted)
SPAC1D4.08	pis1	K00999	CDP-diacylglycerol--inositol 3-phosphatidyltransferase Pis1 (predicted) 
SPAC1002.04c	taf11	K03135	transcription factor TFIID complex subunit Taf11 (predicted)
SPAC144.13c	srw1	K03364	CDK inhibitor Srw1
SPAC6G9.11	syb1	K08513	SNAP receptor, synaptobrevin family
SPCC1223.11	ptc2	K14803	protein phosphatase 2C Ptc2 
SPBC3D6.13c	pdi2	K13996	ER associated protein disulfide isomerase Pdi2 (predicted)
SPBC16E9.03c	coa1	K18173	cytochrome oxidase complex assembly protein coa1
SPACUNK4.06c	rpb7	K03015	DNA-directed RNA polymerase complex II subunit Rpb7
SPCC18B5.07c	nup61	K18722	nucleoporin Nup61
SPAC16E8.15	tif45	K03259	translation initiation factor eIF4E, 4F complex subunit
SPBC28F2.09	toa1	K03122	transcription factor TFIIA complex large subunit Toa1 (predicted)
SPCC188.04c	spc25	K11558	kinetochore protein Spc25
SPAC4A8.05c	myp2	K10352	myosin II heavy chain Myo3
SPAC694.06c	mrc1	K11272	mediator of replication checkpoint 1
SPCC18.14c	rpp0	K02941	60S acidic ribosomal protein P0
SPBP4H10.08	qcr10	K00420	Reiske ISP-associated protein, ubiquinol-cytochrome-c reductase complex subunit Qcr10 (predicted)
SPBC16H5.06	rip1	K00411	ubiquinol-cytochrome-c reductase complex subunit 5 
SPBC16H5.02	pfk1	K00850	6-phosphofructokinase (predicted) 
SPAC19A8.12	dcp2	K12613	mRNA decapping complex catalytic subunit Dcp2 
SPAC19A8.13	usp101	K11093	U1 snRNP-associated protein Usp101 (predicted)
SPAC7D4.07c	trx1	K03671	cytosolic thioredoxin Trx1
SPBC1685.09	rps29	K02980	40S ribosomal protein S29
SPCC553.09c	spb70	K02321	DNA polymerase alpha B-subunit
SPBC1734.08	hse1	K04705	STAM like protein Hse1
SPAC19A8.15	trp2	K01694	tryptophan synthase (predicted) 
SPBC1734.06	rhp18	K10627	postreplication repair E3 ubiquitin-protein ligase
SPBC1734.04	anp1	K05533	mannosyltransferase complex subunit, Anp family (predicted)
SPBC1685.06	cid11	K13291	poly(A) polymerase Cid11 (predicted)
SPBC1685.01	pmp1	K11240	dual-specificity MAP kinase phosphatase Pmp1 
SPBC1685.03	sec11	K13280	signal peptidase subunit Sec11 (predicted)
SPBC2G5.07c	rpc25	K03022	DNA-directed RNA polymerase III complex subunit Rpc25 
SPBC12C2.08	dnm1	K17065	dynamin Dnm1
SPAC1F7.02c	has1	K13179	ATP-dependent RNA helicase Has1 (predicted)
SPAC1071.02	mms19	K15075	TFIIH regulator Mms19
SPAC1071.06	arp9	K11768	SWI/SNF and RSC complex subunit Arp9
SPAC23C4.08	rho3	K07975	Rho family GTPase Rho3
SPAC31A2.02	trm112	K15448	protein and tRNA methyltransferase regulatory subunit Trm112 (predicted)
SPAC1071.08	rpp203	K02943	60S acidic ribosomal protein P2C
SPAC23C4.02	crn1	K13886	actin binding protein, coronin Crn1
SPAC630.09c	mug58	K15918	glycerate kinase (predicted)
SPCC16C4.08c	skb15	K14830	p21 activated protein kinase inhibitor Skb15
SPBC530.14c	dsk1	K08832	SR protein-specific kinase Dsk1
SPAC4F8.12c	spp42	K12856	U5 snRNP complex subunit Spp42
SPCC550.06c	hsp10	K04078	mitochondrial heat shock protein Hsp10 (predicted)
SPAC688.08	srb8	K15163	mediator complex subunit Srb8
SPAC1556.07	pmm1	K17497	phosphomannomutase Pmm1 
SPAPYUG7.04c	rpb9	K03017	DNA-directed RNA polymerase II complex subunit Rpb9 
SPBC13A2.02	nup82	K18719	nucleoporin Nup82
SPBC336.09c	rrn7	K15219	RNA polymerase I upstream activation factor complex subunit Rrn7
SPCC188.13c	dcr1	K11592	dicer
SPBC1778.01c	zuo1	K09522	zuotin (predicted)
SPCC1020.02	spc7	K11563	kinetochore protein Spc7
SPAC1486.07c	mrpl19	K02867	mitochondrial ribosomal protein subunit L19 (predicted)
SPBP4H10.21c	sld5	K10735	GINS complex subunit Sld5
SPBC1683.09c	frp1	K00521	ferric-chelate reductase Frp1 
SPAC664.07c	rad9	K10994	checkpoint clamp complex protein Rad9
SPBC6B1.06c	ubp14	K11836	ubiquitin C-terminal hydrolase Ubp14
SPBC14F5.05c	sam1	K00789	S-adenosylmethionine synthetase 
SPAC1250.01	snf21	K11786	ATP-dependent DNA helicase Snf21
SPBC2F12.02c	mrpl7	K02931	mitochondrial ribosomal protein subunit L7 (predicted)
SPAC1250.03	ubc14	K06689	ubiquitin conjugating enzyme Ubc14 (predicted)
SPBC25H2.13c	cdc20	K02324	DNA polymerase epsilon catalytic subunit Pol2 
SPAC1250.05	rpl3002	K02908	60S ribosomal protein L30
SPBC365.05c	slu7	K12819	splicing factor Slu7
SPCC553.07c	kpa1	K03511	DinB translesion DNA repair polymerase, pol kappa 
SPBC3E7.13c	syf2	K12868	splicing factor, SYF2 family (predicted)
SPCC1393.03	rps1501	K02958	40S ribosomal protein S15
SPBC418.01c	his4	K01663	imidazoleglycerol-phosphate synthase (predicted) 
SPBC428.03c	pho4	K01078	thiamine-repressible acid phosphatase Pho4 
SPBC19C2.13c	ctu2	K14169	cytosolic thiouridylase subunit Ctu2
SPAC323.02c	pup2	K02729	20S proteasome component alpha 5, Pup2 (predicted) 
SPBC776.02c	dis2	K06269	serine/threonine protein phosphatase PP1 
SPBC800.05c	atb2	K07374	tubulin alpha 2
SPCC1919.15	brl1	K10696	ubiquitin-protein ligase E3 Brl1
SPBC713.06	adl1	K10747	DNA ligase (predicted)
SPBC1347.04	tim54	K17792	TIM22 inner membrane protein import complex subunit Tim54 (predicted)
SPBC1347.07	rex2	K13288	RNA exonuclease (predicted) 
SPBC16E9.05	erg6	K00559	sterol 24-C-methyltransferase Erg6 
SPBC1347.02	fkbp39	K14826	FKBP-type peptidyl-prolyl cis-trans isomerase (predicted) 
SPAC13D6.02c	byr3	K09250	zinc finger protein Byr3
SPAC23D3.06c	nup146	K18715	nucleoporin Nup146
SPBC651.05c	dot2	K12188	ESCRT II complex subunit Dot2
SPCPB16A4.03c	ade10	K00602	IMP cyclohydrolase/phosphoribosylaminoimidazolecarboxamideform yltransferase 
SPAC12G12.08	mrpl6	K02933	mitochondrial ribosomal protein subunit L16 (predicted)
SPBC359.02	alr2	K01775	alanine racemase Alr2 (predicted)
SPAC12G12.04	mcp60	K04077	mitochondrial heat shock protein Hsp60/Mcp60
SPAC29A4.04c	cbf5	K11131	pseudouridylate synthase Cbf5 (predicted)
SPBC20F10.06	mad2	K02537	spindle checkpoint protein Mad2
SPAC1071.07c	rps1502	K02958	40S ribosomal protein S15
SPBC20F10.01	gar1	K11128	snoRNP pseudouridylase box H/ACA snoRNP complex protein Gar1
SPBC24C6.13	new16	K18179	cytochrome c oxidase subunit VIb related protein (predicted)
SPBC20F10.09	lsm5	K12624	U6 snRNP-associated protein Lsm5 (predicted)
SPBC36.09	sap61	K12827	U2 snRNP-associated protein sap61
SPBC543.06c	dbp8	K14778	ATP-dependent RNA helicase Dbp8 (predicted)
SPBC36.07	iki3	K11373	elongator subunit Iki3 (predicted)
SPBC36.04	cys11	K01738	cysteine synthase 
SPAC26A3.16	dph1	K04523	UBA domain protein Dph1
SPAC110.03	cdc42	K04393	Rho family GTPase Cdc42
SPAC110.02	pds5	K11267	cohesin-associated protein Pds5
SPCC132.02	hst2	K11121	Sir2 family histone deacetylase Hst2
SPAC589.02c	med13	K15165	mediator complex subunit Srb9
SPCC126.05c	mrpl17	K17427	mitochondrial ribosomal protein subunit L17 (predicted)
SPBC16G5.18	erg24	K00222	C-14 sterol reductase Erg24 (predicted) 
SPBC1826.01c	mot1	K15192	TATA-binding protein associated factor Mot1 (predicted)
SPBC19C7.12c	omh1	K10967	alpha-1,2-mannosyltransferase Omh1 
SPBC3H7.07c	ser2	K01079	phosphoserine phosphatase Ser2 (predicted) 
SPAC13G7.02c	ssa1	K03283	heat shock protein Ssa1 (predicted)
SPAC27F1.08	pdt1	K12346	Nramp family manganese ion transporter
SPBC16D10.06	zrt1	K14709	ZIP zinc transporter Zrt1
SPAC27F1.07	ost1	K12666	dolichyl-diphospho-oligosaccharide-protein glycosyltransferase Ost1 (predicted) 
SPAC24B11.11c	sid2	K08286	NDR kinase Sid2
SPBC215.08c	arg4	K01955	arginine specific carbamoyl-phosphate synthase Arg4 (predicted) 
SPBC646.12c	gap1	K05767	GTPase activating protein Gap1
SPBC685.07c	rpl2701	K02901	60S ribosomal protein L27
SPBC6B1.12c	sus1	K11368	SAGA complex subunit Sus1
SPCC622.08c	hta1	K11251	histone H2A alpha
SPBP8B7.07c	set6	K11426	histone lysine methyltransferase Set6 (predicted)
SPBC14C8.10	mrpl24	K02902	mitochondrial ribosomal protein subunit L28 (predicted)
SPBC14C8.12	rpb8	K03016	DNA-directed RNA polymerase I, II and III subunit Rpb8
SPCPB1C11.01	amt1	K03320	ammonium transporter Amt1
SPBC1347.06c	cki1	K02218	serine/threonine protein kinase Cki1 
SPAC644.04	pct1	K01098	RNA 5'-triphosphatase 
SPAC8F11.02c	dph3	K15455	diphthamide biosynthesis protein Dph3 (predicted)
SPBC3D6.03c	trz2	K00784	mitochondrial 3'-tRNA processing endonuclease Trz2
SPAC22F3.03c	rdh54	K10877	ATP-dependent DNA helicase Rdh54
SPAC9G1.04	oxa101	K03217	mitochondrial inner membrane translocase Oxa101
SPBC146.03c	cut3	K06675	condensin complex subunit Cut3
SPAC15A10.11	ubr11	K10625	N-end-recognizing protein (predicted)
SPBC337.08c	ubi4	K08770	ubiquitin
SPCC31H12.04c	rpl1202	K02870	60S ribosomal protein L12
SPCC126.03	pus1	K06173	tRNA pseudouridine synthase Lsp1 
SPAC4F10.02	aap1	K01267	aspartyl aminopeptidase Aap1 
SPBC839.13c	rpl1601	K02872	60S ribosomal protein L16
SPCC4B3.08	lsg1	K15565	Lsk1 complex gamma subunit (predicted)
SPCC663.03	pmd1	K05658	leptomycin efflux transporter Pmd1
SPBC1677.02	dpm3	K09659	dolichol-phosphate mannosyltransferase subunit 3
SPBC3B9.08c	mnh1	K12877	protein mago nashi
SPAC57A10.14	sgf11	K11363	SAGA complex subunit Sgf11
SPBC428.18	cdt1	K10727	replication licensing factor Cdt1
SPAC1D4.14	tho2	K12879	THO complex subunit Tho2 (predicted)
SPAC16C9.06c	upf1	K14326	ATP-dependent RNA helicase Upf1
SPBC29A3.04	rpl8	K02936	60S ribosomal protein L8
SPBC29A3.05	vps71	K11663	Swr1 complex subunit Vps71
SPAC1D4.13	byr1	K11226	MAP kinase kinase Byr1 
SPAC1D4.12	rad15	K10844	transcription factor TFIIH complex subunit Rad15 
SPBC119.10	asn1	K01953	asparagine synthetase 
SPBC119.14	rti1	K10873	DNA repair and recombination protein
SPBC2G2.12	hrs1	K01892	mitochondrial and cytoplasmic histidine-tRNA ligase Hrs1 (predicted) 
SPAC1F5.09c	shk2	K08286	PAK-related kinase Shk2
SPAC890.06	nup155	K14312	nucleoporin Nup155
SPAC4F8.13c	rng2	K05767	IQ motif containing GTPase activating protein
SPAC890.08	rpl31	K02910	60S ribosomal protein L31
SPAC6G9.08	ubp6	K11843	ubiquitin C-terminal hydrolase Ubp6 
SPAC644.06c	cdr1	K18680	NIM1 family serine/threonine protein kinase Cdr1/Nim1
SPCC1223.02	nmt1	K18278	no message in thiamine Nmt1
SPAC8C9.14	prr1	K15859	transcription factor Prr1
SPAC2E1P5.04c	cwg2	K11713	geranylgeranyltransferase I beta subunit Cwg2 
SPBC336.06c	rnh1	K03469	ribonuclease H Rnh1 (predicted) 
SPAC21E11.08	lcb2	K00654	serine palmitoyltransferase Lcb2 (predicted) 
SPAC1B9.02c	sck1	K08286	serine/threonine protein kinase Sck1 
SPAC15E1.08	naa10	K00670	NatA N-acetyltransferase complex catalytic subunit Naa10 (predicted)
SPAC15E1.09	grx2	K03676	glutaredoxin Grx2
SPAC15E1.03	rpl42	K02929	60S ribosomal protein L42
SPBC3B9.06c	atg3	K08343	autophagy associated protein Atg3
SPBC27.02c	ask1	K11566	DASH complex subunit Ask1
SPAC4G8.02c	sss1	K07342	translocon gamma subunit Sss1 (predicted)
SPCC1259.13	chk1	K02216	Chk1 protein kinase
SPBC14C8.05c	meu17	K01178	glucan-alpha-1,4-glucosidase 
SPAC11E3.01c	swr1	K11681	SNF2 family helicase Swr1
SPBC1734.13	atp3	K02136	F1-ATPase gamma subunit (predicted)
SPBC1921.05	ape2	K13721	aminopeptidase Ape2 (predicted) 
SPBC1685.10	rps27	K02978	40S ribosomal protein S27
SPCC1739.07	cti1	K12592	Cut3 interacting protein Cti1, predicted exosome subunit
SPCC1795.08c	vid21	K11397	NuA4 histone acetyltransferase complex subunit Vid21
SPAC4A8.15c	cdc3	K05759	profilin
SPBC16C6.07c	rpt1	K03061	19S proteasome regulatory subunit Rpt1 (predicted)
SPAC6B12.11	drc1	K10729	DNA replication checkpoint protein Drc1
SPBC23E6.05	arx1	K14813	ribosomal export complex protein Arx1, peptidase family (predicted)
SPBC106.11c	plg7	K01062	1-alkyl-2-acetylglycerophosphocholine esterase 
SPAC1B3.03c	wis2	K05864	cyclophilin family peptidyl-prolyl cis-trans isomerase Wis2 
SPAC31A2.14	bun107	K15361	WD repeat-containing protein
SPAC27D7.04	omt2	K01724	4-alpha-hydroxytetrahydrobiopterin dehydratase (predicted) 
SPBC17D11.05	tif32	K03254	translation initiation factor eIF3a
SPBC17D11.06	spp2	K02685	DNA primase large subunit Spp2
SPAC458.03	tel2	K11137	Tel2/Rad-5/Clk-2 family protein Tel2
SPAC458.05	pik3	K00914	phosphatidylinositol 3-kinase Pik3 
SPAC22E12.13c	rlp24	K02896	ribosome biogenesis protein rlp24
SPBC25D12.04	suc22	K10808	ribonucleotide reductase small subunit Suc22 
SPBC25D12.05	trm1	K00555	N2,N2-dimethylguanosine tRNA methyltransferase 
SPCC16C4.18c	taf6	K03131	histone H4-like TAF Taf6, SAGA complex subunit
SPAC1F7.01c	spt6	K11292	transcription elongation factor Spt6 (predicted)
SPAC227.16c	psf3	K10734	GINS complex subunit Psf3
SPBC19C2.14	smd3	K11088	Sm snRNP core protein Smd3
SPBC19C2.12	mrpl51	K17424	mitochondrial ribosomal protein subunit L51 (predicted)
SPBC1734.02c	cdc27	K03504	DNA polymerase delta subunit Cdc27
SPAC607.05	rpn9	K03039	19S proteasome regulatory subunit Rpn9
SPCC576.11	rpl15	K02877	60S ribosomal protein L15
SPCC576.14	dph5	K00586	diphthine synthase Dph5 (predicted) 
SPAC22A12.04c	rps2201	K02957	40S ribosomal protein S22
SPAC26A3.07c	rpl1101	K02868	60S ribosomal protein L11
SPCC61.02	spt3	K11313	SAGA complex subunit Spt3
SPAC18G6.07c	mra1	K14568	ribosome biogenesis protein Mra1
SPBC582.03	cdc13	K02220	G2/M B-type cyclin Cdc13
SPAC56F8.08	mud1	K11885	UBA domain protein Mud1
SPAC1952.14c	mrpl25	K17438	mitochondrial ribosomal protein subunit L25 (predicted)
SPCC1259.05c	cox9	K02269	cytochrome c oxidase subunit VIIa (predicted) 
SPBC2D10.20	ubc1	K04649	ubiquitin conjugating enzyme Ubc1 (predicted) 
SPCC126.02c	pku70	K10884	Ku domain protein Pku70
SPCC1919.09	tif6	K03264	translation initiation factor eIF6
SPBC839.05c	rps1701	K02962	40S ribosomal protein S17
SPCC5E4.04	cut1	K02365	separase/separin
SPCC5E4.07	rpl2802	K02900	60S ribosomal protein L28
SPBC14C8.14c	pol5	K02331	DNA polymerase phi
