Dmel_CG43398	scrib	K16175	scribbled
Dmel_CG5247	Irbp	K10884	Inverted repeat-binding protein 
Dmel_CG9022	Ost48	K12670	Oligosaccharyltransferase 48kD subunit 
8457	Cyp6t3	K14999	CG8457 gene product from transcript CG8457-RA 
8453	Cyp6g1	K14999	CG8453 gene product from transcript CG8453-RB 
Dmel_CG1666	Hlc	K14810	Helicase 
Dmel_CG3350	bigmax	K09113	CG3350 gene product from transcript CG3350-RA
Dmel_CG4602	Srp54	K13165	CG4602 gene product from transcript CG4602-RA
Dmel_CG4600	yip2	K07508	yippee interacting protein 2 
Dmel_CG4606	alpha-Man-IIb	K01191	CG4606 gene product from transcript CG4606-RA 
Dmel_CG31501	nxf4	K14284	nuclear export factor 4
Dmel_CG2713	ttm50	K17496	tiny tim 50 
4290	Sik2	K16311	Salt-inducible kinase 2 
Dmel_CG18271	slx1	K15078	nuclease slx1
Dmel_CG11143	Inos	K01858	CG11143 gene product from transcript CG11143-RA 
31362	Jon99Ciii	K01310	Jonah 99Ciii 
Dmel_CG11144	mGluR	K04605	metabotropic Glutamate Receptor
Dmel_CG31873	Mulk	K09881	Multi-substrate lipid kinase 
Dmel_CG9151	acj6	K09366	abnormal chemosensory jump 6
Dmel_CG12366	O-fut1	K03691	O-fucosyltransferase 1 
Dmel_CG9621	Adgf-D	K01488	Adenosine deaminase-related growth factor D 
Dmel_CG2867	Prat	K00764	Phosphoribosylamidotransferase 
Dmel_CG9155	Myo61F	K10356	Myosin 61F 
Dmel_CG9156	Pp1-13C	K06269	Protein phosphatase 1 at 13C
Dmel_CG15396	Gr23a	K08471	Gustatory receptor 23a
Dmel_CG1115	Vps37B	K12185	Vacuolar protein sorting 37B
Dmel_CG9250	Mpp6	K12593	M-phase phosphoprotein 6
Dmel_CG7471	Rpd3	K06067	CG7471 gene product from transcript CG7471-RA 
18617	Vha100-2	K02154	Vacuolar H[+] ATPase 100kD subunit 2 
Dmel_CG5486	Ubp64E	K11857	Ubiquitin-specific protease 64E
11654	Ahcy13	K01251	Adenosylhomocysteinase at 13 
Dmel_CG5489	Atg7	K08337	Autophagy-specific gene 7
12048	ppk21	K03440	pickpocket 21
Dmel_CG10637	Nak	K08853	Numb-associated kinase 
Dmel_CG2595	RacGAP84C	K16733	Rac GTPase activating protein at 84C
Dmel_CG10143	Adgf-E	K01488	Adenosine deaminase-related growth factor E 
Dmel_CG10142	Ance-5	K01283	CG10142 gene product from transcript CG10142-RA 
Dmel_CG5649	kin17	K13102	CG5649 gene product from transcript CG5649-RA
Dmel_CG5648	Prosalpha6T	K02725	Proteasome alpha6 subunit, Testis-specific 
Dmel_CG10149	Rpn6	K03036	Regulatory particle non-ATPase 6
33838	His2A:CG33838	K11251	CG33838 gene product from transcript CG33838-RA
Dmel_CG8722	Nup44A	K14299	Nucleoporin at 44A
10992	CtsB1	K01363	Cathepsin B1 
Dmel_CG5640	Utx	K11447	CG5640 gene product from transcript CG5640-RB
Dmel_CG5643	wdb	K11584	widerborst
Dmel_CG1901	mav	K04384	maverick
Dmel_CG5788	UbcD10	K04552	Ubiquitin conjugating enzyme 10 
Dmel_CG5064	Srp68	K03107	Signal recognition particle protein 68
Dmel_CG17437	wds	K14963	will die slowly 
4006	Akt1	K04456	CG4006 gene product from transcript CG4006-RE 
Dmel_CG33138	AGBE	K00700	1,4-Alpha-Glucan Branching Enzyme 
17603	Taf1	K03125	TBP-associated factor 1
Dmel_CG15481	Ski6	K11600	CG15481 gene product from transcript CG15481-RB 
Dmel_CG11921	fd96Ca	K09411	forkhead domain 96Ca
Dmel_CG11922	fd96Cb	K09411	forkhead domain 96Cb
13626	Syx18	K08492	Syntaxin 18
Dmel_CG11924	Cf2	K02215	Chorion factor 2
Dmel_CG2048	dco	K08960	discs overgrown 
Dmel_CG2049	Pkn	K06071	Protein kinase related to protein kinase N 
Dmel_CG2047	ftz	K09311	fushi tarazu
12028	dib	K10721	disembodied 
32064	S-Lap4	K01255	Sperm-Leucylaminopeptidase 4 
Dmel_CG33238	Ste:CG33238	K03115	CG33238 gene product from transcript CG33238-RB
Dmel_CG33239	Ste:CG33239	K03115	CG33239 gene product from transcript CG33239-RB
Dmel_CG41624	spok	K14939	spookier 
Dmel_CG33820	His2A:CG33820	K11251	CG33820 gene product from transcript CG33820-RA
4007	Nrk	K05129	Neurospecific receptor kinase 
Dmel_CG4634	Nurf-38	K11726	Nucleosome remodeling factor - 38kD 
Dmel_CG4166	not	K11366	non-stop
Dmel_CG10037	vvl	K09365	ventral veins lacking
4713	l(2)gd1	K18260	lethal (2) giant discs 1
Dmel_CG4043	Rrp46	K12590	CG4043 gene product from transcript CG4043-RA 
Dmel_CG33236	Ste:CG33236	K03115	CG33236 gene product from transcript CG33236-RB
Dmel_CG14029	vri	K12114	vrille
Dmel_CG10523	park	K04556	parkin 
Dmel_CG10522	sti	K16308	sticky 
31613	His3:CG31613	K11253	CG31613 gene product from transcript CG31613-RA
43029	mir-125	K16994	mir-125 stem loop
9499	ppk7	K03440	pickpocket 7
6692	Cp1	K01365	Cysteine proteinase-1 
6691	ttm3	K17496	tiny tim 3 
6697	Ublcp1	K17618	Ubiquitin-like domain-containing C-terminal domain phosphatase 1 
43027	mir-1	K16972	mir-1 stem loop
Dmel_CG4162	lace	K00654	CG4162 gene product from transcript CG4162-RA 
Dmel_CG6297	JIL-1	K04445	CG6297 gene product from transcript CG6297-RC 
Dmel_CG3593	r-l	K13421	rudimentary-like 
Dmel_CG45017	IP3K2	K00911	Inositol 1,4,5-triphosphate kinase 2 
Dmel_CG15736	Chrac-16	K11656	Chromatin accessibility complex 16kD protein
Dmel_CG6292	CycT	K15188	Cyclin T 
Dmel_CG6291	ApepP	K01262	Aminopeptidase P 
Dmel_CG6742	CenB1A	K12489	Centaurin beta 1A
Dmel_CG45019	Pde8	K18437	Phosphodiesterase 8 
Dmel_CG15738	sicily	K18163	severe impairment of CI with lengthened youth 
Dmel_CG6298	Jon74E	K01310	Jonah 74E 
7838	BubR1	K02178	Bub1-related kinase 
8523	Mdr50	K05658	Multi drug resistance 50 
Dmel_CG3178	Rrp1	K10771	Recombination repair protein 1 
Dmel_CG12202	Nat1	K00670	NAT1 ortholog (S. cerevisiae) 
Dmel_CG7012	nct	K06171	nicastrin
12019	Cdc37	K09554	CG12019 gene product from transcript CG12019-RA
7831	ncd	K10405	non-claret disjunctional 
30092	jbug	K04437	jitterbug
Dmel_CG13956	kat80	K18643	katanin 80
17515	Rab21	K07890	CG17515 gene product from transcript CG17515-RD
6341	Ef1beta	K03232	Elongation factor 1 beta
Dmel_CG14283	mRpL55	K17436	mitochondrial ribosomal protein L55
Dmel_CG6343	ND42	K03954	NADH:ubiquinone reductase 42kD subunit precursor 
Dmel_CG6342	Irp-1B	K01681	Iron regulatory protein 1B 
Dmel_CG3595	sqh	K12757	spaghetti squash
12117	Sptr	K00072	Sepiapterin reductase 
Dmel_CG6349	DNApol-alpha180	K02320	DNA polymerase alpha 180kD 
Dmel_CG6348	ro	K09362	rough
33354	5SrRNA:CR33354	K01981	5S ribosomal RNA
Dmel_CG13425	bl	K12886	bancal
1721	Pglym78	K01834	Phosphoglyceromutase
Dmel_CG33344	CCAP-R	K08376	Crustacean cardioactive peptide receptor
Dmel_CG40448	Pp1-Y2	K01090	CG40448 gene product from transcript CG40448-RC 
12298	sub	K10402	subito
Dmel_CG7978	Ac76E	K08042	Adenylyl cyclase 76E 
Dmel_CG8815	Sin3A	K11644	CG8815 gene product from transcript CG8815-RC
42317	Csk	K05728	C-terminal Src kinase 
Dmel_CG15437	morgue	K06689	modifier of rpr and grim, ubiquitously expressed 
Dmel_CG33122	cutlet	K11269	CG33122 gene product from transcript CG33122-RA 
33358	5SrRNA:CR33358	K01981	5S ribosomal RNA
Dmel_CG3428	pall	K10306	pallbearer
Dmel_CG10610	ECSIT	K04405	CG10610 gene product from transcript CG10610-RA
Dmel_CG14513	yem	K17492	yemanuclein
Dmel_CG6905	Cdc5	K12860	Cell division cycle 5 ortholog
Dmel_CG6904	GlyS	K00693	Glycogen synthase 
3319	Cdk7	K02202	Cyclin-dependent kinase 7 
Dmel_CG3422	Prosalpha4	K02731	Proteasome alpha4 subunit 
Dmel_CG14514	Brd8	K11321	CG14514 gene product from transcript CG14514-RA
18817	Tsp42Ea	K06497	Tetraspanin 42Ea
Dmel_CG7955	ABCB7	K05662	CG7955 gene product from transcript CG7955-RA 
Dmel_CG10851	B52	K12893	CG10851 gene product from transcript CG10851-RN
Dmel_CG10850	ida	K03352	imaginal discs arrested
Dmel_CG7753	mei-W68	K10878	meiotic W68 
5047	mTerf3	K15032	CG5047 gene product from transcript CG5047-RA
Dmel_CG3035	cm	K12398	carmine
Dmel_CG15438	MFS18	K12303	Major Facilitator Superfamily Transporter 18
2637	Fs(2)Ket	K14293	Female sterile (2) Ketel
8291	bdg	K05336	bedraggled
Dmel_CG13391	Aats-ala	K01872	Alanyl-tRNA synthetase 
Dmel_CG13393	l(2)k12914	K12668	lethal (2) k12914 
Dmel_CG7508	ato	K09083	atonal
Dmel_CG4651	RpL13	K02873	Ribosomal protein L13
Dmel_CG13399	Chrac-14	K02326	Chromatin accessibility complex 14kD protein 
Dmel_CG32742	l(1)G0148	K02214	lethal (1) G0148 
Dmel_CG7507	Dhc64C	K10413	Dynein heavy chain 64C 
8996	wal	K03522	walrus
Dmel_CG1954	Pkc98E	K18050	Protein C kinase 98E 
Dmel_CG6046	Bin1	K14324	Bicoid interacting protein 1
Dmel_CG1956	R	K04353	Roughened
10772	Fur1	K01349	Furin 1 
4994	Mpcp	K15102	Mitochondrial phosphate carrier protein
42955	mir-92a	K17008	mir-92a stem loop
12178	Nhe1	K14724	Na[+]/H[+] hydrogen exchanger 1
Dmel_CG33694	cana	K11498	CENP-ana 
Dmel_CG32180	Eip74EF	K09428	Ecdysone-induced protein 74EF
Dmel_CG13888	Gr61a	K08471	Gustatory receptor 61a
Dmel_CG4412	ATPsyn-Cf6	K02131	ATPase coupling factor 6 
Dmel_CG17081	Cep135	K16461	CG17081 gene product from transcript CG17081-RB
Dmel_CG5884	par-6	K06093	CG5884 gene product from transcript CG5884-RA
33087	LRP1	K04550	LDL receptor protein 1
44128	Src42A	K08892	Src oncogene at 42A 
Dmel_CG6637	lsn	K12188	larsen
5436	Hsp68	K03283	Heat shock protein 68
11821	Cyp12a5	K15004	CG11821 gene product from transcript CG11821-RA 
Dmel_CG6633	Ugt86Dd	K00699	CG6633 gene product from transcript CG6633-RB 
Dmel_CG12700	skpD	K03094	CG12700 gene product from transcript CG12700-RA
Dmel_CG3733	Chd1	K11367	Chromodomain-helicase-DNA-binding protein 1 
9553	chic	K05759	chickadee
Dmel_CG3730	csul	K02516	capsuleen 
9779	Vps24	K12193	Vacuolar protein sorting 24
Dmel_CG3736	okr	K10875	okra 
Dmel_CG31017	PH4alphaNE3	K00472	prolyl-4-hydroxylase-alpha NE3 
9774	Rok	K04514	Rho kinase 
Dmel_CG3086	MAPk-Ak2	K04443	MAP kinase activated protein-kinase-2 
Dmel_CG31014	PH4alphaSG1	K00472	prolyl-4-hydroxylase-alpha SG1 
Dmel_CG3083	Prx6005	K11188	Peroxiredoxin 6005 
Dmel_CG8610	Cdc27	K03350	Cell division cycle 27 ortholog
Dmel_CG31015	PH4alphaPV	K00472	prolyl-4-hydroxylase-alpha PV 
Dmel_CG8967	otk	K05127	off-track 
8863	Droj2	K09502	DnaJ-like-2
Dmel_CG17645	Pglym87	K01834	CG17645 gene product from transcript CG17645-RA
9285	Dip-B	K01255	Dipeptidase B 
7005	Esp	K14708	Epidermal stripes and patches
3252	NAAT1	K05038	Nutrient Amino Acid Transporter 1
3254	pgant2	K00710	polypeptide GalNAc transferase 2 
1944	Cyp4p2	K15001	CG1944 gene product from transcript CG1944-RA 
1945	faf	K11840	fat facets
33421	5SrRNA:CR33421	K01981	5S ribosomal RNA
33420	5SrRNA:CR33420	K01981	5S ribosomal RNA
33423	5SrRNA:CR33423	K01981	5S ribosomal RNA
33422	5SrRNA:CR33422	K01981	5S ribosomal RNA
33425	5SrRNA:CR33425	K01981	5S ribosomal RNA
33424	5SrRNA:CR33424	K01981	5S ribosomal RNA
33427	5SrRNA:CR33427	K01981	5S ribosomal RNA
33426	5SrRNA:CR33426	K01981	5S ribosomal RNA
33429	5SrRNA:CR33429	K01981	5S ribosomal RNA
33428	5SrRNA:CR33428	K01981	5S ribosomal RNA
Dmel_CG13779	Sem1	K10881	Sem1 ortholog (S. cerevisiae) 
Dmel_CG1826	BTBD9	K10481	BTB (POZ) domain containing 9 ortholog
Dmel_CG1821	RpL31	K02910	Ribosomal protein L31
Dmel_CG6127	Ser	K06052	Serrate
Dmel_CG33836	His3:CG33836	K11253	CG33836 gene product from transcript CG33836-RA
Dmel_CG33837	His1:CG33837	K11275	CG33837 gene product from transcript CG33837-RA
Dmel_CG33834	His1:CG33834	K11275	CG33834 gene product from transcript CG33834-RA
Dmel_CG33835	His2A:CG33835	K11251	CG33835 gene product from transcript CG33835-RA
Dmel_CG33832	His2A:CG33832	K11251	CG33832 gene product from transcript CG33832-RA
Dmel_CG1770	HDAC4	K11406	CG1770 gene product from transcript CG1770-RG 
Dmel_CG33830	His3:CG33830	K11253	CG33830 gene product from transcript CG33830-RA
Dmel_CG32418	vito	K14851	viriato
Dmel_CG32417	Myt1	K06633	CG32417 gene product from transcript CG32417-RA 
Dmel_CG10367	Hmgcr	K00021	HMG Coenzyme A reductase 
33880	His2B:CG33880	K11252	CG33880 gene product from transcript CG33880-RA
Dmel_CG7654	Tom20	K17770	Translocase of outer membrane 20
Dmel_CG8648	Fen1	K04799	Flap endonuclease 1 
Dmel_CG33838	His2A:CG33838	K11251	CG33838 gene product from transcript CG33838-RA
Dmel_CG33839	His3:CG33839	K11253	CG33839 gene product from transcript CG33839-RA
1490	Usp7	K11838	Ubiquitin-specific protease 7
Dmel_CG17704	Nipped-B	K06672	CG17704 gene product from transcript CG17704-RG
Dmel_CG8649	Fim	K17336	Fimbrin
Dmel_CG3881	GlcAT-S	K10812	CG3881 gene product from transcript CG3881-RA 
Dmel_CG9969	Or63a	K08471	Odorant receptor 63a
Dmel_CG31692	fbp	K03841	fructose-1,6-bisphosphatase 
Dmel_CG11228	hpo	K04412	hippo 
Dmel_CG9964	Cyp309a1	K15006	CG9964 gene product from transcript CG9964-RC 
Dmel_CG32754	vanin-like	K01435	CG32754 gene product from transcript CG32754-RA 
Dmel_CG3889	CSN1b	K12175	COP9 complex homolog subunit 1 b
14214	Sec61gamma	K07342	Sec61 gamma subunit
14217	Tao	K04429	CG14217 gene product from transcript CG14217-RF 
5266	Prosalpha2	K02726	Proteasome alpha2 subunit 
Dmel_CG31059	Gr98b	K08471	Gustatory receptor 98b
3201	Mlc-c	K12751	Myosin light chain cytoplasmic
14181	Use1	K08507	USE1 ortholog (S. cerevisiae)
1528	gammaCOP	K17267	Coat Protein (coatomer) gamma
10198	Nup98-96	K14297	Nucleoporin 98-96kD
Dmel_CG17949	His2B:CG17949	K11252	CG17949 gene product from transcript CG17949-RA
Dmel_CG4817	Ssrp	K09272	Structure specific recognition protein
Dmel_CG7238	sip1	K13103	septin interacting protein 1
Dmel_CG8766	Taz	K13511	Tafazzin 
6817	foi	K14716	fear-of-intimacy
7735	Arl6	K07951	ADP ribosylation factor-like 6
Dmel_CG3140	Adk2	K00939	Adenylate kinase-2 
Dmel_CG4195	l(3)73Ah	K11488	lethal (3) 73Ah
Dmel_CG1692	mal	K15631	maroon-like
Dmel_CG7235	Hsp60C	K04077	CG7235 gene product from transcript CG7235-RA
Dmel_CG9494	Tsp29Fa	K06497	Tetraspanin 29Fa
Dmel_CG9495	Scm	K11461	Sex comb on midleg
Dmel_CG5105	Plap	K14018	Phospholipase A2 activator protein
18174	Rpn11	K03030	Regulatory particle non-ATPase 11 
Dmel_CG13977	Cyp6a18	K14999	CG13977 gene product from transcript CG13977-RB 
Dmel_CG1179	LysB	K01185	Lysozyme B 
Dmel_CG9493	Pez	K18025	CG9493 gene product from transcript CG9493-RB 
Dmel_CG4457	Srp19	K03105	Signal recognition particle protein 19
33820	His2A:CG33820	K11251	CG33820 gene product from transcript CG33820-RA
Dmel_CG8146	Socs16D	K04700	Suppressor of Cytokine Signaling at 16D
Dmel_CG3843	RpL10Aa	K02865	Ribosomal protein L10Aa
Dmel_CG7070	PyK	K00873	Pyruvate kinase 
Dmel_CG5109	Pcl	K11485	Polycomblike
Dmel_CG5977	spas	K13254	spastin 
18377	Cyp49a1	K17960	CG18377 gene product from transcript CG18377-RA 
Dmel_CG33900	His2B:CG33900	K11252	CG33900 gene product from transcript CG33900-RA
Dmel_CG33901	His4:CG33901	K11254	CG33901 gene product from transcript CG33901-RA
Dmel_CG18466	Nmdmc	K13403	NAD-dependent methylenetetrahydrofolate dehydrogenase 
Dmel_CG33907	His4:CG33907	K11254	CG33907 gene product from transcript CG33907-RA
Dmel_CG33904	His2B:CG33904	K11252	CG33904 gene product from transcript CG33904-RA
Dmel_CG33905	His4:CG33905	K11254	CG33905 gene product from transcript CG33905-RA
Dmel_CG4290	Sik2	K16311	Salt-inducible kinase 2 
15104	Topors	K10631	Topoisomerase I-interacting protein 
Dmel_CG33909	His4:CG33909	K11254	CG33909 gene product from transcript CG33909-RA
Dmel_CG9364	Treh	K01194	Trehalase 
Dmel_CG9362	GstZ1	K01800	Glutathione S transferase Z1 
Dmel_CG9363	GstZ2	K01800	Glutathione S transferase Z2 
17988	Ance-3	K01283	CG17988 gene product from transcript CG17988-RC 
Dmel_CG9819	CanA-14F	K04348	Calcineurin A at 14F
10090	Tim17a1	K17795	CG10090 gene product from transcript CG10090-RA 
Dmel_CG3957	wmd	K13137	wing morphogenesis defect
Dmel_CG3956	sna	K09218	snail
Dmel_CG3954	csw	K07293	corkscrew 
Dmel_CG5241	Taspase1	K08657	Taspase 1 
Dmel_CG5121	MED28	K15141	Mediator complex subunit 28
Dmel_CG4414	Ugt58Fa	K00699	CG4414 gene product from transcript CG4414-RB 
Dmel_CG9565	Nep3	K01415	Neprilysin 3 
Dmel_CG2919	asl	K16716	asterless
8734	beta3GalTII	K00734	Galactosyltransferase II 
8732	Acsl	K01897	Acyl-CoA synthetase long-chain 
8730	drosha	K03685	CG8730 gene product from transcript CG8730-RA 
Dmel_CG5814	CycB3	K05868	Cyclin B3 
Dmel_CG7018	Ets65A	K09436	Ets at 65A
Dmel_CG1391	sol	K08582	small optic lobes
Dmel_CG5811	RYa-R	K14072	RYamide receptor
Dmel_CG1395	stg	K16723	string 
Dmel_CG14690	tomboy20	K17770	CG14690 gene product from transcript CG14690-RA
Dmel_CG5072	Cdk4	K02089	Cyclin-dependent kinase 4 
8049	Btk29A	K07364	Btk family kinase at 29A 
Dmel_CG9383	asf1	K10753	anti-silencing factor 1
4192	kek3	K07523	kekkon-3
34058	ppk11	K03440	pickpocket 11
31003	gskt	K03083	gasket 
Dmel_CG5075	Vha68-3	K02145	Vacuolar H[+] ATPase 68kD subunit 3 
Dmel_CG11551	ind	K09310	intermediate neuroblasts defective
8287	Rab8	K07901	CG8287 gene product from transcript CG8287-RA
8284	UbcD4	K04649	Ubiquitin conjugating enzyme 4 
Dmel_CG11552	Rpn12R	K03031	Regulatory particle non-ATPase 12-related
Dmel_CG1007	emc	K17696	extra macrochaetae
Dmel_CG9023	Drip	K09884	CG9023 gene product from transcript CG9023-RG
8280	Ef1alpha48D	K03231	Elongation factor 1alpha48D
Dmel_CG1004	rho	K02857	rhomboid 
Dmel_CG1555	cn	K00486	cinnabar 
Dmel_CG1554	RpII215	K03006	RNA polymerase II 215kD subunit 
Dmel_CG1009	Psa	K08776	Puromycin sensitive aminopeptidase 
4357	Ncc69	K10951	sodium chloride cotransporter 69
Dmel_CG12284	th	K04725	thread 
Dmel_CG7375	Ubc12	K10579	Ubiquitin conjugating enzyme 12 
Dmel_CG12286	kar	K08187	karmoisin
Dmel_CG12287	pdm2	K09364	POU domain protein 2
Dmel_CG12770	Vps28	K12184	Vacuolar protein sorting 28
4551	Dyrk2	K18669	Dual-specificity tyrosine phosphorylation-regulated kinase 2 
Dmel_CG7354	mRpS26	K17405	mitochondrial ribosomal protein S26
Dmel_CG12775	RpL21	K02889	Ribosomal protein L21
Dmel_CG32351	S-Lap2	K11142	Sperm-Leucylaminopeptidase 2 
Dmel_CG8383	Pnn	K13114	Pinin
Dmel_CG9707	Acox57D-p	K00232	acyl-Coenzyme A oxidase at 57D proximal 
Dmel_CG8385	Arf79F	K07937	ADP ribosylation factor at 79F
Dmel_CG6205	por	K00181	porcupine 
Dmel_CG1487	krz	K04439	kurtz
Dmel_CG9709	Acox57D-d	K00232	acyl-Coenzyme A oxidase at 57D distal 
Dmel_CG2925	noi	K12827	noisette
Dmel_CG7108	DNApol-alpha50	K02684	DNA polymerase alpha 50kD 
Dmel_CG31991	mdy	K11155	midway 
42273	mnb	K08825	minibrain 
Dmel_CG5258	NHP2	K11129	CG5258 gene product from transcript CG5258-RB
Dmel_CG9035	Tapdelta	K04571	Translocon-associated protein delta
Dmel_CG12919	egr	K16678	eiger
Dmel_CG2929	Pi4KIIalpha	K13711	CG2929 gene product from transcript CG2929-RC 
Dmel_CG9374	lkb1	K07298	CG9374 gene product from transcript CG9374-RE 
Dmel_CG30028	gammaTry	K01312	gammaTrypsin 
Dmel_CG11793	Sod	K04565	Superoxide dismutase 
17158	cpb	K10365	capping protein beta
33853	His2A:CG33853	K11251	CG33853 gene product from transcript CG33853-RA
Dmel_CG10370	Rpt5	K03065	Regulatory particle triple-A ATPase 5 
8464	HtrA2	K08669	CG8464 gene product from transcript CG8464-RB 
8351	Tcp-1eta	K09499	CG8351 gene product from transcript CG8351-RA 
33854	His3:CG33854	K11253	CG33854 gene product from transcript CG33854-RA
Dmel_CG30023	sprt	K17725	sprite
11348	nAChRbeta1	K05312	nicotinic Acetylcholine Receptor beta1
Dmel_CG18548	GstD10	K00799	Glutathione S transferase D10 
Dmel_CG4677	lmd	K09232	lame duck
8196	Ance-4	K01283	CG8196 gene product from transcript CG8196-RA 
32878	snRNA:U2:38ABb	K14277	small nuclear RNA U2 at 38ABb
Dmel_CG33902	His2B:CG33902	K11252	CG33902 gene product from transcript CG33902-RA
Dmel_CG11156	mus101	K10728	mutagen-sensitive 101
Dmel_CG18247	shark	K17512	SH2 ankyrin repeat kinase 
Dmel_CG31519	Or82a	K08471	Odorant receptor 82a
12449	Gfat1	K00820	Glutamine:fructose-6-phosphate aminotransferase 1 
Dmel_CG2851	Gsc	K09324	Goosecoid
Dmel_CG31866	Ada1-2	K11317	transcriptional Adaptor 1-2
Dmel_CG31865	Ada1-1	K11317	transcriptional Adaptor 1-1
Dmel_CG12359	Ulp1	K08592	CG12359 gene product from transcript CG12359-RA 
Dmel_CG2855	aph-1	K06172	anterior pharynx defective 1
Dmel_CR33415	5SrRNA:CR33415	K01981	5S ribosomal RNA
Dmel_CG12602	Vha100-5	K02154	Vacuolar H[+] ATPase 100kD subunit 5 
33859	His2A:CG33859	K11251	CG33859 gene product from transcript CG33859-RA
Dmel_CG2859	Taf10	K03134	TBP-associated factor 10
Dmel_CG9144	Fbw5	K10263	CG9144 gene product from transcript CG9144-RA
Dmel_CG9633	RpA-70	K07466	Replication Protein A 70
Dmel_CG12357	Cbp20	K12883	cap binding protein 20
3821	Aats-asp	K01876	Aspartyl-tRNA synthetase 
Dmel_CG33866	His3:CG33866	K11253	CG33866 gene product from transcript CG33866-RA
Dmel_CG12092	Npc1b	K12385	Niemann-Pick type C-1b
Dmel_CG15113	5-HT1B	K04153	5-hydroxytryptamine (serotonin) receptor 1B
Dmel_CG11801	Elo68beta	K10249	Elongase 68beta
Dmel_CG4913	ear	K15187	ENL/AF9-related
Dmel_CG12821	Atg10	K17888	Autophagy-specific gene 10
Dmel_CG2637	Fs(2)Ket	K14293	Female sterile (2) Ketel
Dmel_CG33860	His3:CG33860	K11253	CG33860 gene product from transcript CG33860-RA
Dmel_CG5491	IntS12	K13149	Integrator 12
Dmel_CG1088	Vha26	K02150	Vacuolar H[+]-ATPase 26kD subunit 
4772	Ugt86Dh	K00699	CG4772 gene product from transcript CG4772-RB 
33508	ppk13	K03440	pickpocket 13
Dmel_CG5497	mRpS28	K17407	mitochondrial ribosomal protein S28
Dmel_CG5499	His2Av	K11251	Histone H2A variant
Dmel_CG33862	His2A:CG33862	K11251	CG33862 gene product from transcript CG33862-RA
33829	His2A:CG33829	K11251	CG33829 gene product from transcript CG33829-RA
Dmel_CG11738	l(1)G0004	K11884	lethal (1) G0004
Dmel_CG5650	Pp1-87B	K06269	Protein phosphatase 1 at 87B 
Dmel_CG30330	Gr59d	K08471	Gustatory receptor 59d
Dmel_CG5654	yps	K09276	ypsilon schachtel
4173	Sep2	K16939	Septin 2
Dmel_CG4703	Arc42	K00248	CG4703 gene product from transcript CG4703-RA
Dmel_CG5658	Klp98A	K17916	Kinesin-like protein at 98A
Dmel_CG5659	ari-1	K11968	ariadne 
Dmel_CG11735	Or85b	K08471	Odorant receptor 85b
Dmel_CG11734	HERC2	K10595	HECT and RLD domain containing protein 2 ortholog (H. sapiens) 
Dmel_CG3351	mRpL11	K02867	mitochondrial ribosomal protein L11
Dmel_CG40050	nvd	K14938	neverland 
Dmel_CG15257	Tim17b2	K17795	Translocase inner membrane 17 
4071	Vps20	K12195	Vacuolar protein sorting 20
Dmel_CG4561	Aats-tyr	K01866	Tyrosyl-tRNA synthetase 
Dmel_CG10198	Nup98-96	K14297	Nucleoporin 98-96kD
Dmel_CG12936	mms4	K10882	Methyl methanesulfonate sensitivity 4 ortholog (S. cerevisiae) 
17348	drl	K05128	derailed 
Dmel_CG3400	Pfrx	K01103	6-phosphofructo-2-kinase 
Dmel_CG4252	mei-41	K06640	meiotic 41 
17342	Lk6	K04372	CG17342 gene product from transcript CG17342-RA 
Dmel_CG10197	kn	K09103	knot
12051	Act42A	K05692	Actin 42A
2947	HIP-R	K09560	Hsc/Hsp70-interacting protein related
12055	Gapdh1	K00134	Glyceraldehyde 3 phosphate dehydrogenase 1 
Dmel_CG10901	osk	K18742	oskar 
Dmel_CG7291	Npc2a	K13443	Niemann-Pick type C-2a
Dmel_CG2937	mRpS2	K02967	mitochondrial ribosomal protein S2
Dmel_CG6437	GlcT-1	K00720	Ceramide glucosyltransferase 
42783	aPKC	K06069	atypical protein kinase C 
Dmel_CG7292	Rrp6	K12591	CG7292 gene product from transcript CG7292-RC
Dmel_CG14031	Cyp4ac3	K15001	CG14031 gene product from transcript CG14031-RA 
Dmel_CG14030	Bub1	K02178	Bub1 homologue 
Dmel_CG33906	His2B:CG33906	K11252	CG33906 gene product from transcript CG33906-RA
Dmel_CG14032	Cyp4ac1	K15001	CG14032 gene product from transcript CG14032-RA 
43012	mir-137	K17369	mir-137 stem loop
43011	mir-133	K16970	mir-133 stem loop
Dmel_CG11491	br	K02174	broad
Dmel_CG10042	MBD-R2	K18402	CG10042 gene product from transcript CG10042-RB
9277	betaTub56D	K07375	beta-Tubulin at 56D
Dmel_CG11140	Aldh-III	K00129	Aldehyde dehydrogenase type III 
17949	His2B:CG17949	K11252	CG17949 gene product from transcript CG17949-RA
Dmel_CG11025	isopeptidase-T-3	K12174	CG11025 gene product from transcript CG11025-RC
5925	Desat2	K00507	Desaturase 2 
Dmel_CG11027	Arf102F	K07977	ADP ribosylation factor at 102F 
7671	Nup43	K14305	Nucleoporin 43kD
Dmel_CG31256	Brf	K15196	CG31256 gene product from transcript CG31256-RA
Dmel_CG31212	Ino80	K11665	CG31212 gene product from transcript CG31212-RA
Dmel_CG10281	TfIIFalpha	K03138	Transcription factor IIFalpha
Dmel_CG6284	Sirt6	K11416	CG6284 gene product from transcript CG6284-RB
