sll0289	minD	K03609	septum site-determining protein MinD
slr0710	gdhA	K00262	glutamate dehydrogenase
sll1817	rps11	K02948	30S ribosomal protein S11
sll0794	merR	K06042	mercuric resistance operon regulatory protein precorrin isomerase
sll1811	rplR	K02881	50S ribosomal protein L18
slr1784	bvdR	K00214	biliverdin reductase
sll1813	rplO	K02876	50S ribosomal protein L15
sll1709	gdh	K00034	glucose dehydrogenase
slr0493	rfbM	K01809	phosphomannose isomerase
slr0492	menE	K01911	O-succinylbenzoic acid--CoA ligase 
slr1665	dapF	K01778	diaminopimelate epimerase 
sll1819	rplQ	K02879	50S ribosomal protein L17
sll1868	dnaG	K02316	DNA primase
slr0983	rfbF	K00978	alpha-D-glucose-1-phosphate cytidylyltransferase
slr0982	rfbB	K09691	ABC transporter
sll0262	desD(des6)	K00508	delta-6 desaturase
slr0985	rfbC	K01790	dTDP-6-deoxy-L-mannose-dehydrogenase
slr0984	rfbG	K01709	CDP-glucose-4,6-dehydratase
sll0716	lepB	K03100	leader peptidase I
slr1986	apcB	K02093	allophycocyanin b chain
sll1683	cad	K01582	lysine decarboxylase
sll1520	recN	K03631	DNA repair protein RecN
sll1688	thrC	K01733	threonine synthase 
sll1522	pgsA	K00995	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
sll1525	prk	K00855	phosphoribulokinase 
slr0357	hisS	K01892	histidyl-tRNA synthetase 
sll0819	psaF	K02694	photosystem I subunit III
sll0817	miaA	K00791	tRNA delta(2)-isopentenylpyrophosphate transferase 
slr0608	hisI	K11755	bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP 
sll0813	ctaC	K02275	cytochrome C oxidase subunit II
slr1248	pstC	K02037	phosphate ABC transporter permease
sll0537	amt3	K03320	ammonium/methylammonium permease
slr0213	guaA	K01951	GMP synthase 
slr0212	metH	K00548	5-methyltetrahydrofolate--homocysteine methyltransferase
slr0216	cobU	K02231	adenosylcobinamide kinase 
slr1697	pknA	K08884	eukariotic protein kinase
sll1223	hoxU	K05588	bidirectional hydrogenase complex protein HoxU
sll1221	hoxF	K05587	hydrogenase subunit
sll0726	pgm	K01835	phosphoglucomutase 
sll1226	hoxH	K00436	hydrogenase large subunit
sll1224	hoxY	K18007	hydrogenase small subunit
slr0406	pyrC	K01465	dihydroorotase 
sll1635	thyX	K03465	FAD-dependent thymidylate synthase 
sll0080	argC	K00145	N-acetyl-gamma-glutamyl-phosphate reductase 
sll0728	accA	K01962	acetyl-CoA carboxylase carboxyltransferase subunit alpha 
slr0400	ppnK	K00858	inorganic polyphosphate/ATP-NAD kinase 
sll0083	gmhA	K03271	phosphoheptose isomerase
sll1454	narB	K00367	nitrate reductase
sll1450	nrtA	K15576	nitrate transporter
slr0343	petD	K02637	cytochrome B6-f complex subunit IV
sll1452	nrtC	K15578	nitrate transport protein NrtC
sll1453	nrtD	K15579	nitrate transport protein NrtD
sll1356	glgP	K00688	glycogen phosphorylase
sll1354	recJ	K07462	ssDNA-specific exonuclease RecJ
sll0757	purF	K00764	amidophosphoribosyltransferase 
slr1531	ffh	K03106	signal recognition particle protein
ssr0482	rpsP	K02959	30S ribosomal protein S16
slr1925	cobD	K02227	cobalamin biosynthesis protein
slr1538	cbiD	K02188	cobalt-precorrin-6A synthase
sll0751	ycf22	K02067	hypothetical protein
slr0327	hitB	K02011	iron utilization protein
sll0928	apcD	K02095	allophycocyanin-B
slr0323	ams1	K01191	alpha-mannosidase
slr1289	icd	K00031	isocitrate dehydrogenase 
slr0796	nreB	K07785	nickel resistance
sll0920	ppc	K01595	phosphoenolpyruvate carboxylase 
sll0927	metX	K00789	S-adenosylmethionine synthetase 
sll1104	glnH	K02030	glutamine-binding protein
slr0329	xylR	K00845	xylose repressor
slr1280	ndhK	K05582	NADH dehydrogenase subunit B 
slr1368	cbiT	K02191	precorrin-6B methylase
slr1369	cdsA	K00981	phosphatidate cytidylyltransferase
sll1035	upp	K00761	uracil phosphoribosyltransferase 
slr1044	mcpA	K02660	methyl-accepting chemotaxis protein
sll1110	prfA	K02835	peptide chain release factor 1
slr0525	chlM	K03428	Mg-protoporphyrin IX methyl transferase 
slr1705	aspA	K01437	aspartoacylase 
slr1364	bioB	K01012	biotin synthetase
slr1365	bioY	K03523	BioY protein
slr1366	lspA	K03101	lipoprotein signal peptidase 
slr1367	glgP	K00688	glycogen phosphorylase
sll1112	aroQ	K03786	3-dehydroquinate dehydratase 
sll1101	rpsJ	K02946	30S ribosomal protein S10
slr0528	murE	K01928	UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase 
slr0662	speA	K01585	arginine decarboxylase 
slr0661	proC	K00286	pyrroline-5-carboxylate reductase 
slr0090	ppd	K00457	4-hydroxyphenylpyruvic acid dioxgenase
slr0093	dnaJ	K05516	DnaJ protein
sll0838	pyrF	K01591	orotidine 5'-phosphate decarboxylase 
ST6803r03	rrn16Sa	K01977	16S ribosomal RNA
ST6803r02	rrn23Sa	K01980	23S ribosomal RNA
sll0420	ureB	K01429	urease subunit beta 
sll0421	purB	K01756	adenylosuccinate lyase 
sll0427	psbO	K02716	photosystem II manganese-stabilizing polypeptide
ST6803r05	rrn23Sb	K01980	23S ribosomal RNA
ST6803r04	rrn16Sb	K01977	16S ribosomal RNA
slr1216	mgtE	K06213	Mg2+ transporter
slr1211	cobN	K02230	cobaltochelatase 
slr1881	livF	K11958	high-affinity branched-chain amino acid transport ATP-binding protein BraG
slr0817	entC	K02552	menaquinone-specific isochorismate synthase
sll0194	ycf43	K03118	hypothetical protein
slr2035	proB	K00931	gamma-glutamyl kinase 
sll0210	uppP	K06153	UDP pyrophosphate phosphatase 
sll0199	petE	K02638	plastocyanin
slr0819	lnt	K03820	apolipoprotein N-acyltransferase
sll1799	rplC	K02906	50S ribosomal protein L3
slr1746	murI	K01776	glutamate racemase 
slr1744	amiA	K01448	N-acetylmuramoyl-L-alanine amidase
slr1743	ndh	K03885	NADH dehydrogenase
sll0830	fus	K02355	elongation factor G
sll0844	mnmA	K00566	tRNA-specific 2-thiouridylase MnmA 
slr1622	ppa	K01507	inorganic pyrophosphatase
sll1910	zam	K12573	protein conferring resistance to acetazolamide
sll0698	dfr	K07769	drug sensory protein A
sll1917	hemN	K02495	coproporphyrinogen III oxidase
sll1916	nadD	K00969	nicotinic acid mononucleotide adenylyltransferase 
ssr1398	rpmG	K02913	50S ribosomal protein L33
ssr1399	rpsR	K02963	30S ribosomal protein S18
sll1852	ndkR	K00940	nucleoside diphosphate kinase
sll1854	xthA	K01142	exodeoxyribonuclease III
slr0611	sds	K05356	solanesyl diphosphate synthase
sll0519	ndhA	K05572	NADH dehydrogenase subunit H 
sll0848	dnaA	K02313	chromosome replication initiator DnaA
sll0109	aroH	K06208	chorismate mutase
sll0108	amt1	K03320	ammonium/methylammonium permease
sll0459	uvrB	K03702	excinuclease ABC subunit B
sll0107	eda	K01625	keto-hydroxyglutarate-aldolase/keto-deoxy-phosphogluconate aldolase 
sll0454	pheS	K01889	phenylalanyl-tRNA synthetase subunit alpha 
slr0194	rpiA	K01807	ribose-5-phosphate isomerase A 
sll0450	norB	K04561	cytochrome B subunit of nitric oxide reductase
slr1423	murC	K01924	UDP-N-acetylmuramate--L-alanine ligase 
sll0851	psbC	K02705	photosystem II CP43 protein
sll0099	cbiE	K00595	precorrin-6y methylase
slr2051	cpcG	K02290	phycobilisome rod-core linker polypeptide
sll0776	pknA	K08884	protein kinase
sll1275	pykF	K00873	pyruvate kinase 
sll1277	recF	K03629	recombination protein F
sll1270	glnH_glnP	K17062	glutamine ABC transporter
sll0679	sphX	K02040	SphX protein
smr0004	psaI	K02696	photosystem I reaction center subunit VIII
sll2010	murD	K01925	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase 
slr0963	sir	K00392	sulfite reductase subunit beta
sll2012	rpoD	K03087	RNA polymerase sigma factor SigD
slr0965	dnaN	K02338	DNA polymerase III subunit beta 
sll0288	minC	K03610	septum formation inhibitor
slr0966	trpA	K01695	tryptophan synthase subunit alpha 
slr1867	trpD	K00766	anthranilate phosphoribosyltransferase 
sll1599	mntA	K11603	Mn transporter MntA
sll0704	nifS	K04487	NifS protein
slr2107	kpsM	K09690	polysialic acid transport protein KpsM
sll1598	mntC	K11601	Mn transporter MntC
sll1670	hrcA	K03705	heat-inducible transcription repressor
slr1138	ctaE	K02276	cytochrome C oxidase subunit III
slr0446	dnaX	K02341	DNA polymerase III subunit delta' 
slr0447	amiC	K11959	negative aliphatic amidase regulator
sll1676	malQ	K00705	4-alpha-glucanotransferase
ssr1604	rpmB	K02902	50S ribosomal protein L28
slr1130	rhnB	K03470	ribonuclease HII
slr1133	argH	K01755	argininosuccinate lyase 
slr0875	mscL	K03282	large-conductance mechanosensitive channel
slr1137	ctaD	K02274	cytochrome C oxidase subunit I
slr1136	ctaC	K02275	cytochrome C oxidase subunit II
sll0603	menD	K02551	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase 
slr0682	hisD	K00013	histidinol dehydrogenase
slr1416	morR	K03924	MorR protein
slr0721	me	K00027	malic enzyme
sll1772	mutS	K07456	recombination and DNA strand exchange inhibitor protein
slr0585	argG	K01940	argininosuccinate synthase 
sll1776	deoC	K01619	deoxyribose-phosphate aldolase 
slr0293	gcvP	K00281	glycine dehydrogenase 
sll1553	pheT	K01890	phenylalanyl-tRNA synthetase subunit beta 
sll1557	sucD	K01902	succinyl-CoA synthase subunit beta
slr1822	nth	K10773	endonuclease III
sll1005	mazG	K02428	nucleoside triphosphate pyrophosphohydrolase 
slr1300	ubiH	K03185	2-octaprenyl-6-methoxyphenyl hydroxylase
sll1415	ppnK	K00858	inorganic polyphosphate/ATP-NAD kinase 
ST6803r06	rrn5Sb	K01985	5S ribosomal RNA
slr2057	apqZ	K06188	aquaporin Z
slr1224	malK	K10112	cytoplasmic membrane protein for maltose uptake
slr0063	gspE	K02652	general secretion pathway protein E
slr0974	infC	K02520	translation initiation factor IF-3
ssl0707	glnB	K04751	nitrogen regulatory protein P-II
sll2005	gyrB	K02470	DNA gyrase B subunit
slr0946	arsC	K03741	arsenate reductase
slr0242	bcp	K03564	bacterioferritin comigratory protein
sll1484	ndh	K03885	NADH dehydrogenase
ssl1784	rpsO	K02956	30S ribosomal protein S15
sll1172	thrC	K01733	threonine synthase 
slr0435	accB	K02160	biotin carboxyl carrier protein of acetyl-CoA carboxylase
slr0434	efp	K02356	elongation factor P
sll0070	purU	K01433	formyltetrahydrofolate deformylase 
slr0536	hemE	K01599	uroporphyrinogen decarboxylase 
sll1070	tktA	K00615	transketolase 
slr1129	rne	K08300	ribonuclease E
sll0078	thrS	K01868	threonyl-tRNA synthetase 
sll1074	leuS	K01869	leucyl-tRNA synthetase 
slr0744	infB	K02519	translation initiation factor IF-2
sll1300	trmB	K03439	tRNA (guanine-N(7)-)-methyltransferase 
slr0746	stpA	K05978	glucosylglycerolphosphate phosphatase
slr1516	sodB	K04564	superoxide dismutase
slr0020	recG	K03655	ATP-dependent DNA helicase RecG
slr0021	sppA	K04773	endopeptidase IV
sll1096	rpsL	K02950	30S ribosomal protein S12
sll1097	rps7	K02992	30S ribosomal protein S7
slr1443	pknA	K08884	protein kinase
slr1910	amiA	K01448	N-acetylmuramoyl-L-alanine amidase
sll1098	fus	K02355	elongation factor G
slr1448	cscK	K00847	fructokinase
slr1564	rpoF	K03090	RNA polymerase sigma factor SigF
slr1562	grxC	K03676	glutaredoxin
slr0008	ctpA	K03797	carboxyl-terminal processing protease
slr1560	hisZ	K02502	ATP phosphoribosyltransferase
ssl2615	atpH	K02110	ATP synthase F0F1 subunit C 
slr1311	psbA2	K02703	photosystem II D1 protein
slr1312	speA	K01585	arginine decarboxylase 
slr1317	fecD	K02015	iron(III) dicitrate ABC transporter permease
sll1398	psb13	K08903	photosystem II reaction center protein Psb28
slr1250	pstB	K02036	phosphate ABC transporter ATP-binding protein
slr1318	fecE	K02013	iron(III) dicitrate ABC transporter permease
sll1395	rfbD	K00067	dTDP-6-deoxy-L-mannose-dehydrogenase
slr0467	natA	K11957	neutral amino acids ABC transporter protein
sll1393	glgA	K00703	glycogen synthase 
slr1255	pys	K02291	phytoene synthase
slr1256	ureA	K01430	urease subunit gamma 
slr1673	spoU	K03437	rRNA methylase
sll1695	hofG	K02650	general secretion pathway protein G
sll1641	gad	K01580	glutamate decarboxylase
ssr2799	rpmA	K02899	50S ribosomal protein L27
slr0653	rpoDI	K03086	RNA polymerase sigma factor RpoD
slr0652	hisA	K01814	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase 
sll1957	arsA	K03892	arsenical resistance operon repressor
slr0657	lysC	K00928	aspartate kinase 
sll1899	ctaB	K02301	protoheme IX farnesyltransferase
sll1894	ribA	K14652	bifunctional 3,4-dihydroxy-2-butanone 4-phosphate synthase/GTP cyclohydrolase II 
slr1703	serS	K01875	seryl-tRNA synthetase 
slr0790	umuC	K03502	UmuC protein
sll1890	cobN	K02230	CobN protein
sll1958	hisC	K00817	histidinol phosphate aminotransferase
sll1893	hisF	K02500	imidazole glycerol phosphate synthase subunit HisF
slr0901	moaA	K03639	molybdenum cofactor biosynthesis protein A
sll0416	groEL-2	K04077	chaperonin 2
slr0417	gyrA	K02469	DNA gyrase subunit A
slr1325	spoT	K01139	(p)ppGpp 3'-pyrophosphohydrolase
slr0156	clpB	K03695	ClpB protein
slr1491	fecB	K02016	iron(III) dicitrate-binding periplasmic protein
slr0150	petF	K02639	ferredoxin
slr1249	pstA	K02038	phosphate ABC transporter permease
sll0555	map	K01265	methionine aminopeptidase 
sll1471	cpcG	K02290	phycobilisome rod-core linker polypeptide
slr1678	rplU	K02888	50S ribosomal protein L21
sll1533	pilT	K02669	twitching motility protein
slr0925	ssb	K03111	single-stranded DNA-binding protein
ssl3441	infA	K02518	translation initiation factor IF-1
ssr3383	apcC	K02094	phycobilisome LC linker polypeptide
ssl0563	psaC	K02691	photosystem I subunit VII
sll0329	gnd	K00033	6-phosphogluconate dehydrogenase 
slr2067	apcA	K02092	allophycocyanin a chain
slr0927	psbD2	K02706	photosystem II D2 protein
slr0926	ubiA	K03179	4-hydroxybenzoate polyprenyltransferase
ssr2142	ycf19	K02221	hypothetical protein
slr0922	pth	K01056	peptidyl-tRNA hydrolase 
sll0320	rnd	K03684	ribonuclease D
sll0631	nadB	K00278	L-aspartate oxidase 
slr1828	petF	K02639	ferredoxin
ssl0601	rpsU	K02970	30S ribosomal protein S21
sll0635	thiE	K00788	thiamine-phosphate pyrophosphorylase 
slr1271	rffM	K02852	UDP-N-acetyl-D-mannosaminuronic acid transferase
slr1672	glpK	K00864	glycerol kinase
sll1579	cpcC	K02286	phycocyanin associated linker protein
ssl3445	rpmE	K02909	50S ribosomal protein L31
slr0847	coaD	K00954	phosphopantetheine adenylyltransferase 
slr0844	ndhF	K05577	NAD(P)H-quinone oxidoreductase subunit F
slr1176	glgC	K00975	glucose-1-phosphate adenylyltransferase 
slr0488	hypothetical	K03980	
slr1277	gspD	K02666	general secretion pathway protein D
sll1821	rplM	K02871	50S ribosomal protein L13
sll1820	truA	K06173	tRNA pseudouridine synthase A 
sll1823	purA	K01939	adenylosuccinate synthetase 
sll1822	rpsI	K02996	30S ribosomal protein S9
slr1274	pilM	K02662	hypothetical protein
slr1779	pdxJ	K03474	pyridoxine 5'-phosphate synthase
slr1777	chlD	K03404	Mg chelatase subunit ChlD
sll1629	phr	K01669	DNA photolyase
sll1733	ndhD3	K05575	NAD(P)H-quinone oxidoreductase subunit M
sll1732	ndhF	K05577	NAD(P)H-quinone oxidoreductase subunit F
slr0994	lipB	K03801	lipoyltransferase
sll0258	psbV	K02720	cytochrome C-550
sll0362	alaS	K01872	alanyl-tRNA synthetase 
sll0522	ndhE	K05576	NADH dehydrogenase subunit K 
sll0158	glgB	K00700	glycogen branching protein 
sll0520	ndhI	K05580	NADH dehydrogenase subunit I 
sll1285	cofG	K11780	FO synthase subunit 1
sll0745	pfkA	K00850	6-phosphofructokinase
sll1281	psbZ	K02724	photosystem II reaction center protein Z
sll0741	nifJ	K03737	pyruvate oxidoreductase
sll1282	ribH	K00794	6,7-dimethyl-8-ribityllumazine synthase
sll0026	ndhF	K05577	NAD(P)H-quinone oxidoreductase subunit F
sll0027	ndhD	K05575	NAD(P)H-quinone oxidoreductase subunit D4 
sll1694	hofG	K02650	general secretion pathway protein G
sll0902	argF	K00611	ornithine carbamoyltransferase 
sll0020	clpC	K03696	ATP-dependent Clp protease regulatory subunit
sll1165	mutS	K03555	DNA mismatch repair protein MutS
slr0066	ribG	K11752	riboflavin biosynthesis protein
sll0807	cfxE	K01783	ribulose-phosphate 3-epimerase 
slr1943	dpm1	K00721	dolichol phosphate mannose synthase
slr0201	hdrB	K00241	heterodisulfide reductase subunit B
slr1379	cydA	K00425	cytochrome oxidase d subunit I
slr2094	glpX	K11532	fructose 1,6-bisphosphatase II 
slr0774	secD	K03072	preprotein translocase subunit SecD
slr0775	secF	K03074	preprotein translocase subunit SecF
slr0776	lpxD	K02536	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase
sll1234	ahcY	K01251	S-adenosyl-L-homocysteine hydrolase 
slr0772	chlB	K04039	light-independent protochlorophyllide reductase subunit B
sll1237	hemK	K02493	protoporphyrinogen oxidase
slr0473	phy	K11354	phytochrome
sll1600	mntB	K11602	Mn transporter MntB
sll0738	modA	K02020	molybdate-binding periplasmic protein
sll1605	fabZ	K02372	(3R)-hydroxymyristoyl-ACP dehydratase
sll0337	sphS	K07636	regulation of the phosphate regulon
sll1349	cbbZp	K01091	phosphoglycolate phosphatase
sll1463	ftsH	K03798	cell division protein FtsH
sll1545	gst1	K00799	glutathione S-transferase
sml0001	psbI	K02710	photosystem II reaction center I protein I
sll1341	bfr	K03594	bacterioferritin
sll1342	gap2	K00150	glyceraldehyde-3-phosphate dehydrogenase 
sll1343	ape2	K01256	aminopeptidase
sll1194	psbU	K02719	photosystem II complex extrinsic protein U
sll1196	pfkA	K00850	6-phosphofructokinase
sll1198	trmD	K00554	tRNA (guanine-N(1)-)-methyltransferase 
slr2102	ftsY	K03110	cell division protein FtsY
slr1390	ftsH	K03798	cell division protein FtsH
slr0335	apcE	K02096	phycobilisome LCM core-membrane linker polypeptide
slr1356	rps1	K02945	30S ribosomal protein S1
slr1351	murF	K01929	UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diamino-pimelate-D-alanyl-D-alanine ligase 
slr1350	desA	K10255	fatty acid desaturase
slr1377	lepB	K03100	leader peptidase I
slr0618	cbiP	K02232	cobyric acid synthase
sll0934	ccmA	K03856	3-deoxy-7-phosphoheptulonate synthase
slr1291	ndhD2	K05575	NAD(P)H-quinone oxidoreductase subunit 4
sll0250	dfp	K13038	bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate synthase 
sll1043	pnp	K00962	polynucleotide phosphorylase
slr0506	pcr	K00218	protochlorophyllide oxidoreductase 
sll0521	ndhG	K05578	NADH dehydrogenase subunit J 
sll1045	mutT	K03574	mutator MutT protein
slr0500	hisB	K01693	imidazoleglycerol-phosphate dehydratase 
ssl3093	cpcD	K02287	phycocyanin associated linker protein
slr1055	chlH	K03403	magnesium chelatase subunit H 
slr1199	mutL	K03572	DNA mismatch repair protein
slr1051	envM	K00208	enoyl-ACP reductase 
ssl2233	rpsT	K02968	30S ribosomal protein S20
slr0118	thiC	K03147	thiamine biosynthesis protein ThiC
sll1994	hemB	K01698	delta-aminolevulinic acid dehydratase 
slr1556	ddh	K03778	D-lactate dehydrogenase
slr1418	pyrD	K00254	dihydroorotate dehydrogenase 2 
slr1550	lysS	K04567	lysyl-tRNA synthetase 
slr0051	icfA	K01673	carbonic anhydrase
slr0055	trpG	K01658	anthranilate synthase component II
slr0054	dgkA	K00901	diacylglycerol kinase
slr1559	aroE	K00014	shikimate 5-dehydrogenase 
slr0056	chlG	K04040	bacteriochlorophyll/chlorophyll a synthase
slr1225	pknA	K08884	protein kinase PknA
slr0628	rpsN	K02954	30S ribosomal protein S14
slr1227	IAP75	K07277	hypothetical protein
slr1226	purC	K01923	phosphoribosylaminoimidazolesuccinocarboxamide synthase 
slr1228	prfC	K02837	peptide chain release factor 3
sll1127	menB	K01661	naphthoate synthase 
ssr3451	psbE	K02707	cytochrome B559 subunit alpha
slr0807	gcp	K01409	DNA-binding/iron metalloprotein/AP endonuclease
slr0804	dacB	K07259	D-alanyl-D-alanine carboxypeptidase
ssr1720	tyrS	K01866	tyrosyl-tRNA synthetase
slr0808	rimM	K02860	16S rRNA-processing protein RimM
slr0809	rfbB	K01710	dTDP-glucose 4-6-dehydratase
slr2026	folP	K00796	dihydropteroate pyrophosphorylase
sll1865	prfB	K02836	peptide chain release factor 2
slr1090	obgE	K03979	GTPase ObgE
sll1867	psbA3	K02703	photosystem II D1 protein
slr1730	kdpC	K01548	potassium-transporting ATPase subunit C
slr1897	srrA	K17244	SrrA
slr1736	ubiA	K09833	tocopherol phytyltransferase
sll1059	adk	K00939	adenylate kinase
sll0842	nplT	K01234	neopullulanase
sll0455	thrA	K00003	homoserine dehydrogenase 
sll0567	fur	K03711	ferric uptake regulation protein
sll1908	serA	K00058	D-3-phosphoglycerate dehydrogenase
sll1909	prmA	K02687	50S ribosomal protein L11 methyltransferase
sll0682	pstA	K02038	phosphate ABC transporter permease
sll0683	pstB	K02036	phosphate transport ATP-binding protein PstB
sll0569	recA	K03553	recombinase A
sll0681	pstC	K02037	phosphate ABC transporter permease
sll0684	pstB	K02036	phosphate transport ATP-binding protein PstB
slr0603	dnaE	K02337	DNA polymerase III subunit alpha
sll1498	carA	K01956	carbamoyl phosphate synthase small subunit 
ssl3432	rpsS	K02965	30S ribosomal protein S19
slr0899	cynS	K01725	cyanate hydratase 
slr0898	nirA	K00366	ferredoxin-nitrite reductase 
ssl3437	rpsQ	K02961	30S ribosomal protein S17
ssl3436	rpmC	K02904	50S ribosomal protein L29
slr0891	amiA	K01448	N-acetylmuramoyl-L-alanine amidase
slr0940	crtQ	K00514	zeta-carotene desaturase
sll1249	panC_kcy	K13799	bifunctional pantoate ligase/cytidylate kinase
smr0008	psbJ	K02711	photosystem II reaction center protein J
slr2114	spsC	K13010	spore coat polysaccharide biosynthesis protein SpsC
sll0708	ksgA	K02528	dimethyladenosine transferase
sll0660	pdxA	K00097	4-hydroxythreonine-4-phosphate dehydrogenase 
smr0001	psbT	K02718	photosystem II reaction center protein T
sll0849	psbD	K02706	photosystem II D2 protein
smr0003	petM	K02643	cytochrome B6-f complex subunit PetM
smr0005	psaM	K02700	photosystem I reaction center subunit XII
sll1796	petJ	K08906	cytochrome C553
smr0007	psbL	K02713	photosystem II reaction center L
smr0006	psbF	K02708	cytochrome B559 subunit beta
slr0877	gatA	K02433	aspartyl/glutamyl-tRNA amidotransferase subunit A
slr1124	gpmB	K15634	phosphoglycerate mutase
slr1878	cpcE	K02288	phycocyanin alpha phycocyanobilin lyase CpcE
slr1123	gmk	K00942	guanylate kinase 
slr1120	hofD	K02654	type 4 prepilin peptidase
slr2058	topA	K03168	DNA topoisomerase I 
slr1874	ddl	K01921	D-alanyl-alanine synthetase A 
slr1269	ggt	K00681	gamma-glutamyltranspeptidase
sll0469	prsA	K00948	ribose-phosphate pyrophosphokinase 
slr0879	gcvH	K02437	glycine decarboxylase complex H-protein
sll2001	lap	K01255	leucyl aminopeptidase 
sll1767	rps6	K02990	30S ribosomal protein S6
sll1760	thrB	K00872	homoserine kinase 
sll1994a	petL	K02642	cytochrome B6f complex subunit PetL
slr1646	rnc	K03685	ribonuclease III
slr1645	psbZ	K08902	photosystem II 11 kD protein
slr1643	petH	K02641	ferredoxin-NADP oxidoreductase
slr0426	folE	K01495	GTP cyclohydrolase I 
slr1641	clpB	K03695	ClpB protein
slr0738	trpE	K01657	anthranilate synthase component I
slr0739	crtE	K13789	geranylgeranyl pyrophosphate synthase
sll0204	gidA	K04094	tRNA (uracil-5-)-methyltransferase Gid
sll0202	gidA	K03495	tRNA uridine 5-carboxymethylaminomethyl modification protein GidA
sll0368	pyrR	K02825	bifunctional pyrimidine regulatory protein PyrR/uracil phosphoribosyltransferase 
slr0733	xerC	K03733	integrase-recombinase
slr0737	psaD	K02692	photosystem I subunit II
sll0017	hemL	K01845	glutamate-1-semialdehyde aminotransferase 
sll1018	pyrC	K01465	dihydroorotase 
sll1019	HAGH1	K01069	glyoxalase II
sll1546	ppx	K01524	exopolyphosphatase
slr1994	fabG	K00059	3-ketoacyl-ACP reductase
slr1993	thl	K00626	acetyl CoA acetyltransferase
slr1991	cyaA	K01768	adenylate cyclase
sll0018	cbbA	K01624	fructose-1,6-bisphosphate aldolase 
sll0383	cbiM	K02007	cobalt transport protein CbiM
sll0771	glcP	K08139	glucose transport protein
slr2108	kpsT	K09691	polysialic acid transport ATP-binding protein KpsT
slr0370	gabD	K00135	succinate-semialdehyde dehydrogenase
sll1499	gltB	K00284	ferredoxin-dependent glutamate synthase
slr1392	feoB	K04759	ferrous iron transport protein B
sll0680	pstS	K02040	phosphate-binding periplasmic protein
slr0549	asd	K00133	aspartate beta-semialdehyde dehydrogenese
sll0067	gst	K00799	glutathione S-transferase
sll0065	ilvH	K01653	acetolactate synthase 3 regulatory subunit 
slr0543	trpB	K01696	tryptophan synthase subunit beta 
slr0542	clpP	K01358	ATP-dependent protease ClpP
slr0546	trpC	K01609	indole-3-glycerol phosphate synthase 
