Rv2763c	dfrA	K00287	dihydrofolate reductase
Rv2783c	gpsI	K00962	bifunctional guanosine pentaphosphate synthetase/polyribonucleotide nucleotidyltransferase
Rv2713	sthA	K00322	pyridine nucleotide transhydrogenase
Rv2200c	ctaC	K02275	cytochrome C oxidase subunit II
Rv0236c	aftD	K16648	alpha-(1->3)-arabinofuranosyltransferase
Rv2534c	efp	K02356	elongation factor P
Rv0357c	purA	K01939	adenylosuccinate synthetase
Rv3080c	pknK	K13419	serine/threonine-protein kinase PknK
Rv3886c	mycP2	K14743	membrane-anchored mycosin
Rv1349	irtB	K14699	iron ABC transporter ATP-binding protein/permease IrtB
Rv3308	pmmB	K01840	phosphomannomutase PmmB
Rv3456c	rplQ	K02879	50S ribosomal protein L17
Rv0871	cspB	K03704	cold shock-like protein CspB
Rv3307	deoD	K03783	purine nucleoside phosphorylase
Rv3002c	ilvN	K01653	acetolactate synthase small subunit
Rv3692	moxR2	K03924	methanol dehydrogenase transcriptional regulator MoxR
Rv0509	hemA	K02492	glutamyl-tRNA reductase
Rv1695	ppnK	K00858	inorganic polyphosphate/ATP-NAD kinase
Rv1193	fadD36	K12429	fatty-acid--CoA ligase FadD36
Rv3441c	mrsA	K03431	phosphoglucosamine mutase
Rv1058	fadD14	K00666	fatty-acid--CoA ligase FadD14
Rv0500	proC	K00286	pyrroline-5-carboxylate reductase
Rv0217c	lipW	K01066	esterase LipW
Rv3447c	eccC4	K03466	ESX-4 secretion system protein EccC4
Rv1694	tlyA	K06442	16S/23S rRNA (cytidine-2'-O)-methyltransferase TlyA
Rv2737c	recA	K03553	recombinase A
Rv1696	recN	K03631	DNA repair protein RecN
Rv0848	cysK2	K01738	cysteine synthase CysK
Rv1758	cut1	K01066	cutinase
Rv1235	lpqY	K02027	trehalose ABC transporter substrate-binding lipoprotein LpqY
Rv2564	glnQ	K02003	glutamine ABC transporter ATP-binding protein
Rv0723	rplO	K02876	50S ribosomal protein L15
Rv1699	pyrG	K01937	CTP synthase
Rv2921c	ftsY	K03110	signal recognition particle receptor FtsY
Rv0489	gpm1	K01834	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
Rv3229c	desA3	K00508	stearoyl-CoA 9-desaturase
Rv1170	mshB	K15525	1D-myo-inositol 2-acetamido-2-deoxy-alpha-D-glucopyranoside deacetylase
Rv2156c	murX	K01000	phospho-N-acetylmuramoyl-pentappeptidetransferase
Rv0482	murB	K00075	UDP-N-acetylenolpyruvoylglucosamine reductase
Rv0642c	mmaA4	K00574	hydroxymycolate synthase MmaA4
Rv2344c	dgt	K01129	deoxyguanosine triphosphate triphosphohydrolase
Rv0486	mshA	K15521	D-inositol 3-phosphate glycosyltransferase
Rv2056c	rpsN2	K02954	30S ribosomal protein S14
Rv1282c	oppC	K02034	oligopeptide ABC transporter permease OppC
Rv1032c	trcS	K07656	two component sensor histidine kinase TrcS
Rv3150	nuoF	K00335	NADH-quinone oxidoreductase subunit F
Rv3153	nuoI	K00338	NADH-quinone oxidoreductase subunit I
Rv3152	nuoH	K00337	NADH-quinone oxidoreductase subunit H
Rv3155	nuoK	K00340	NADH-quinone oxidoreductase subunit K
Rv3154	nuoJ	K00339	NADH-quinone oxidoreductase subunit J
Rv3157	nuoM	K00342	NADH-quinone oxidoreductase subunit M
Rv3156	nuoL	K00341	NADH-quinone oxidoreductase subunit L
Rv3158	nuoN	K00343	NADH-quinone oxidoreductase subunit N
Rv2068c	blaC	K17836	beta-lactamase
Rv0046c	ino1	K01858	inositol-3-phosphate synthase
Rvnt19	leuW	K14228	tRNA-Leu
Rvnt18	argV	K14219	tRNA-Arg
Rv3393	iunH	K01239	nucleoside hydrolase
Rv3275c	purE	K01588	N5-carboxyaminoimidazole ribonucleotide mutase
Rv1285	cysD	K00957	sulfate adenylyltransferase subunit 2
Rv1284	canA	K01673	beta-carbonic anhydrase
Rv1908c	katG	K03782	catalase-peroxidase
Rv0808	purF	K00764	amidophosphoribosyltransferase
Rv0809	purM	K01933	phosphoribosylformylglycinamidine cyclo-ligase PurM
Rv3420c	rimI	K03789	ribosomal-protein-alanine acetyltransferase RimI
Rv2465c	rpiB	K01808	ribose-5-phosphate isomerase B
Rv2111c	pup	K13570	ubiquitin-like protein Pup
Rv0803	purL	K01952	phosphoribosylformylglycinamidine synthase 2
Rv3025c	iscS	K04487	cysteine desulfurase
Rv0478	deoC	K01619	deoxyribose-phosphate aldolase
Rv1142c	echA10	K01692	enoyl-CoA hydratase EchA10
Rv0631c	recC	K03583	exonuclease V subunit gamma RecC
Rv1570	bioD	K01935	ATP-dependent dethiobiotin synthetase BioD
Rv0570	nrdZ	K00525	vitamin B12-dependent ribonucleoside-diphosphate reductase
Rv1330c	pncB1	K00763	nicotinic acid phosphoribosyltransferase PncB1
Rv1306	atpF	K02109	ATP synthase subunit B
Rv1307	atpH	K02109	ATP synthase subunit b/delta
Rv1304	atpB	K02108	ATP synthase subunit A
Rv1305	atpE	K02110	ATP synthase subunit C
Rv1302	rfe	K02851	decaprenyl-phosphate N-acetylglucosaminephosphotransferase
Rv1300	hemK	K02493	release factor glutamine methyltransferase
Rv0391	metZ	K10764	O-succinylhomoserine sulfhydrylase
Rv2833c	ugpB	K05813	sn-glycerol-3-phosphate ABC transporter substrate-binding lipoprotein UgpB
Rv3199c	nudC	K03426	NADH pyrophosphatase
Rv1622c	cydB	K00426	cytochrome D ubiquinol oxidase subunit II CydB
Rv0253	nirD	K00363	nitrite reductase small subunit NirD
Rv0252	nirB	K00362	nitrite reductase large subunit NirB
Rv1308	atpA	K02111	ATP synthase subunit alpha
Rv1309	atpG	K02115	ATP synthase subunit gamma
Rv2276	cyp121	K17483	cytochrome P450 Cyp121
Rv0645c	mmaA1	K00574	mycolic acid methyltransferase MmaA1
Rv2839c	infB	K02519	translation initiation factor IF-2
Rv3659c	trbB	K02283	conjugal transfer protein
Rv0447c	ufaA1	K00574	cyclopropane-fatty-acyl-phospholipid synthase UfaA
Rv1781c	malQ	K00705	4-alpha-glucanotransferase
Rv3309c	upp	K00761	uracil phosphoribosyltransferase
Rv2790c	ltp1	K00632	lipid-transfer protein
Rv1092c	coaA	K00867	pantothenate kinase
Rv0652	rplL	K02935	50S ribosomal protein L7/L12
Rv1832	gcvB	K00281	glycine dehydrogenase
Rv0427c	xthA	K01142	exodeoxyribonuclease III protein XthA
Rv2914c	pknI	K08884	serine/threonine-protein kinase PknI
Rv1173	fbiC	K11779	FO synthase
Rv2192c	trpD	K00766	anthranilate phosphoribosyltransferase
Rv0708	rplP	K02878	50S ribosomal protein L16
Rv3917c	parB	K03497	chromosome partitioning protein ParB
Rv2301	cut2	K08095	cutinase
Rv0001	dnaA	K02313	chromosomal replication initiator protein DnaA
Rv2849c	cobO	K00798	cob(I)alamin adenosyltransferase
Rv2832c	ugpC	K05816	sn-glycerol-3-phosphate ABC transporter ATP-binding protein UgpC
Rv1709	scpA	K05896	segregation and condensation protein ScpA
Rv3907c	pcnA	K00970	poly(A) polymerase PcnA
Rv0718	rpsH	K02994	30S ribosomal protein S8
Rv0896	gltA2	K01647	citrate synthase 1
Rv0266c	oplA	K01469	5-oxoprolinase OplA
Rv3086	adhD	K00121	alcohol dehydrogenase D
Rv1379	pyrR	K02825	bifunctional pyrimidine operon regulatory protein/uracil phosphoribosyltransferase
Rv0711	atsA	K01130	arylsulfatase AtsA
Rv0716	rplE	K02931	50S ribosomal protein L5
Rv0717	rpsN1	K02954	30S ribosomal protein S14
Rv0714	rplN	K02874	50S ribosomal protein L14
Rv0715	rplX	K02895	50S ribosomal protein L24
Rv0727c	fucA	K01628	L-fuculose phosphate aldolase FucA
Rv2289	cdh	K01521	CDP-diacylglycerol pyrophosphatase
Rv0512	hemB	K01698	delta-aminolevulinic acid dehydratase
Rv2588c	yajC	K03210	membrane protein secretion factor YajC
Rv3854c	ethA	K10215	monooxygenase EthA
Rv3356c	folD	K01491	bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase
Rv0319	pcp	K01304	pyrrolidone-carboxylate peptidase
Rv3455c	truA	K06173	tRNA pseudouridine synthase A
Rv2457c	clpX	K03544	ATP-dependent CLP protease ATP-binding subunit ClpX
Rv3875	esxA	K14956	ESAT-6 protein EsxA
Rv2110c	prcB	K03433	proteasome subunit beta
Rv2131c	cysQ	K01082	3'-phosphoadenosine 5'-phosphate phosphatase
Rv2552c	aroE	K00014	shikimate 5-dehydrogenase
Rv3523	ltp3	K00626	lipid carrier protein
Rv3285	accA3	K11263	bifunctional protein acetyl-/propionyl-CoA carboxylase subunit alpha AccA
Rv0437c	psd	K01613	phosphatidylserine decarboxylase
Rv2831	echA16	K01692	enoyl-CoA hydratase EchA16
Rv3280	accD5	K01966	propionyl-CoA carboxylase subunit beta
Rv3283	sseA	K01011	thiosulfate sulfurtransferase SseA
Rv3570c	hsaA	K16047	flavin-dependent monooxygenase oxygenase subunit HsaA
Rv3151	nuoG	K00336	NADH-quinone oxidoreductase subunit G
Rv2397c	cysA1	K02045	sulfate ABC transporter ATP-binding protein CysA
Rv2579	dhaA	K01563	haloalkane dehalogenase
Rv3449	mycP4	K14743	membrane-anchored mycosin
Rv0382c	pyrE	K00762	orotate phosphoribosyltransferase
Rv2903c	lepB	K03100	signal peptidase
Rv2906c	trmD	K00554	tRNA (guanine-N1)-methyltransferase
Rvnt15	alaV	K14218	tRNA-Ala
Rv0704	rplB	K02886	50S ribosomal protein L2
Rv0242c	fabG4	K00059	3-oxoacyl-ACP reductase FabG
Rv0156	pntAb	K00324	NAD(P) transhydrogenase subunit alpha PntAb
Rv0157	pntB	K00325	NAD(P) transhydrogenase subunit beta PntB
Rv0099	fadD10	K12422	fatty-acid--CoA ligase FadD10
Rv1380	pyrB	K00609	aspartate carbamoyltransferase
Rv0620	galK	K00849	galactokinase
Rv2753c	dapA	K01714	4-hydroxy-tetrahydrodipicolinate synthase
Rvnt13	pheU	K14231	tRNA-Phe
Rv0706	rplV	K02890	50S ribosomal protein L22
Rv0091	mtn	K01243	bifunctional 5'-methylthioadenosine nucleosidase/S-adenosylhomocysteine nucleosidase
Rv1731	gabD2	K00135	succinate-semialdehyde dehydrogenase
Rv3313c	add	K01488	adenosine deaminase
Rv1099c	glpX	K02446	fructose 1,6-bisphosphatase
Rv1527c	pks5	K12433	polyketide synthase
Rv2343c	dnaG	K02316	DNA primase
Rvnt25	asnT	K14220	tRNA-Asn
Rv2055c	rpsR2	K02963	30S ribosomal protein S18
Rvnt11	gluT	K14224	tRNA-Glu
Rv2590	fadD9	K12421	fatty-acid--CoA ligase FadD9
Rv2458	mmuM	K00547	homocysteine S-methyltransferase MmuM
Rv1472	echA12	K01692	enoyl-CoA hydratase EchA12
Rv3598c	lysS	K04567	lysine--tRNA ligase
Rvnt10	lysT	K14229	tRNA-Lys
Rv0838	lpqR	K08641	lipoprotein LpqR
Rvnt23	valV	K14237	tRNA-Val
Rv2697c	dut	K01520	deoxyuridine 5'-triphosphate nucleotidohydrolase
Rvnt35	gluU	K14224	tRNA-Glu
Rv1483	fabG1	K11610	3-oxoacyl-ACP reductase FabG1
Rv2847c	cysG	K02302	multifunctional uroporphyrin-III C-methyltransferase/precorrin-2 oxidase/ferrochelatase
Rv1485	hemZ	K01772	ferrochelatase
Rv1484	inhA	K11611	NADH-dependent enoyl-[ACP] reductase
Rv0869c	moaA2	K03639	molybdenum cofactor biosynthesis protein MoaA
Rv1017c	prsA	K00948	ribose-phosphate pyrophosphokinase
Rvnt21	proT	K14232	tRNA-Pro
Rv3423c	alr	K01775	alanine racemase
Rv1710	scpB	K06024	segregation and condensation protein ScpB
Rv1713	engA	K03977	GTPase Der
Rv1712	cmk	K00945	cytidylate kinase
Rv3764c	tcrY	K02484	two component sensor kinase TcrY
Rv0131c	fadE1	K00249	acyl-CoA dehydrogenase FadE1
Rv3499c	mce4A	K02067	Mce family protein Mce4A
Rv3648c	cspA	K03704	cold shock protein A
Rv1658	argG	K01940	argininosuccinate synthase
Rv0014c	pknB	K08884	serine/threonine-protein kinase PknB
Rv0993	galU	K00963	UTP--glucose-1-phosphate uridylyltransferase
Rv1650	pheT	K01890	phenylalanine--tRNA ligase subunit beta
Rv0994	moeA1	K03750	molybdopterin molybdenumtransferase 1
Rv1652	argC	K00145	N-acetyl-gamma-glutamyl-phoshate reductase
Rv1653	argJ	K00620	bifunctional glutamate N-acetyltransferase/amino-acid acetyltransferase
Rv1654	argB	K00930	acetylglutamate kinase
Rv1655	argD	K00818	acetylornithine aminotransferase
Rv1656	argF	K00611	ornithine carbamoyltransferase
Rv2924c	fpg	K10563	formamidopyrimidine-DNA glycosylase
Rv3578	arsB2	K03893	arsenical-transport integral membrane protein ArsB
Rv3379c	dxs2	K01662	1-deoxy-D-xylulose 5-phosphate synthase
Rv3628	ppa	K01507	inorganic pyrophosphatase
Rv1620c	cydC	K16012	cytochrome biosyntheisis ATP-bindingprotein/permease CydC
Rv2606c	snzP	K06215	pyridoxine biosynthesis protein
Rv1970	lprM	K02067	Mce family lipoprotein LprM
Rv1131	prpC	K01647	methylcitrate synthase PrpC
Rv1130	prpD	K01720	methylcitrate dehydratase PrpD
Rv3581c	ispF	K01770	2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
Rv0182c	sigG	K03088	ECF RNA polymerase sigma factor SigG
Rv0629c	recD	K03581	exonuclease V subunit alpha RecD
Rv2881c	cdsA	K00981	phosphatidate cytidylyltransferase
Rv1745c	idi	K01823	isopentenyl-diphosphate delta-isomerase
Rv1538c	ansA	K01424	L-aparaginase
Rv1796	mycP5	K14743	membrane-anchored mycosin MycP
Rv3264c	manB	K00966	D-alpha-D-mannose-1-phosphate guanylyltransferase ManB
Rv3276c	purK	K01589	N5-carboxyaminoimidazole ribonucleotide synthase
Rv3056	dinP	K02346	DNA polymerase IV 2
Rv3468c	rmlB3	K01710	dTDP-glucose 4,6-dehydratase
Rv2221c	glnE	K00982	glutamate-ammonia-ligase adenylyltransferase
Rv1436	gap	K00134	glyceraldehyde 3-phosphate dehydrogenase
Rv1437	pgk	K00927	phosphoglycerate kinase
Rv0536	galE3	K17947	UDP-glucose 4-epimerase GalE
Rv0928	pstS3	K02040	phosphate ABC transporter substrate-binding lipoprotein PstS
Rvnt26	proU	K14232	tRNA-Pro
Rv3011c	gatA	K02433	glutamyl-tRNA(GLN) amidotransferase subunit A
Rv1438	tpi	K01803	triosephosphate isomerase
Rv2445c	ndkA	K00940	nucleoside diphosphate kinase
Rv2888c	amiC	K01426	amidase AmiC
Rv3279c	birA	K03524	bifunctional biotin operon repressor/biotin--[acetyl-CoA-carboxylase] synthetase
Rv1602	hisH	K02501	imidazole glycerol phosphate synthase subunit HisH
Rv3068c	pgmA	K01835	phosphoglucomutase PgmA
Rv1229c	mrp	K03593	Mrp-like protein
Rv1107c	xseB	K03602	exodeoxyribonuclease VII small subunit
Rv1001	arcA	K01478	arginine deiminase
Rv3641c	fic	K04095	cell filamentation protein Fic
Rv1270c	lprA	K14955	lipoprotein LprA
Rv1224	tatB	K03117	Sec-independent protein translocase protein TatB
Rv1348	irtA	K14698	iron ABC transporter ATP-binding protein/permease IrtA
Rv2858c	aldC	K00128	aldehyde dehydrogenase AldC
Rv1221	sigE	K03088	ECF RNA polymerase sigma factor SigE
Rv2109c	prcA	K03432	proteasome subunit alpha
Rv3710	leuA	K01649	2-isopropylmalate synthase
Rv1971	mce3F	K02067	Mce family protein Mce3F
Rv1340	rphA	K00989	ribonuclease PH
Rv2195	qcrA	K03890	ubiquinol-cytochrome C reductase rieske iron-sulfur subunit
Rv3490	otsA	K00697	trehalose-phosphate synthase
Rv3460c	rpsM	K02952	30S ribosomal protein S13
Rv2448c	valS	K01873	valine--tRNA ligase
Rv1345	mbtM	K01909	long-chain-fatty-acid--ACP ligase MbtM
Rv0533c	fabH	K11608	3-oxoacyl-[acyl-carrier-protein] synthase III
Rv3133c	devR	K07695	two component transcriptional regulator DevR
Rv2096c	pafB	K13572	proteasome accessory factor B
Rv0800	pepC	K01269	M18 family aminopeptidase
Rv2070c	cobK	K05895	precorrin-6A reductase
Rv0932c	pstS2	K02040	phosphate ABC transporter substrate-binding lipoprotein PstS
Rv3919c	gid	K03501	rRNA small subunit methyltransferase G
Rv1878	glnA3	K01915	glutamine synthetase GlnA
Rv3536c	hsaE	K02554	hydratase
Rv2350c	plcB	K01114	membrane-associated phospholipase B
Rv3246c	mtrA	K07670	two component DNA-binding response regulator MtrA
Rv2936	drrA	K01990	daunorubicin ABC transporter ATP-binding protein DrrA
Rv1539	lspA	K03101	lipoprotein signal peptidase
Rv0155	pntAa	K00324	NAD(P) transhydrogenase subunit alpha PntAa
Rv0322	udgA	K00012	UDP-glucose 6-dehydrogenase UdgA
Rv0321	dcd	K01494	deoxycytidine triphosphate deaminase
Rv3596c	clpC1	K03696	ATP-dependent protease ATP-binding subunit ClpC
Rv3580c	cysS1	K01883	cysteine--tRNA ligase
Rvnt27	glyV	K14225	tRNA-Gly
Rvnt24	metV	K14230	tRNA-Met
Rv3923c	rnpA	K03536	ribonuclease P protein component
Rvnt22	leuU	K14228	tRNA-Leu
Rv1080c	greA	K03624	transcription elongation factor GreA
Rvnt20	leuV	K14228	tRNA-Leu
Rv2948c	fadD22	K12424	p-hydroxybenzoyl--AMP ligase
Rv3286c	sigF	K03090	RNA polymerase sigma factor SigF
Rv3497c	mce4C	K02067	Mce family protein Mce4C
Rv0995	rimJ	K03790	ribosomal-protein-alanine acetyltransferase RimJ
Rv3601c	panD	K01579	aspartate 1-decarboxylase
Rv0103c	ctpB	K12949	cation-transporter P-type ATPase B
Rv0773c	ggtA	K00681	bifunctional cephalosporin acylase/gamma-glutamyltranspeptidase
Rv3858c	gltD	K00266	glutamate synthase small subunit
Rv0440	groEL2	K04077	molecular chaperone GroEL
Rv1266c	pknH	K08884	serine/threonine-protein kinase PknH
Rv2539c	aroK	K00891	shikimate kinase
Rv3290c	lat	K03918	L-lysine-epsilon aminotransferase
Rv2392	cysH	K00390	phosphoadenosine phosphosulfate reductase
Rv2501c	accA1	K11263	acetyl-/propionyl-CoA carboxylase subunit alpha
Rv3518c	cyp142	K16046	cytochrome P450 monooxygenase Cyp142
Rv0889c	citA	K01647	citrate synthase 2
Rv1411c	lprG	K14954	lipoprotein LprG
Rv2988c	leuC	K01703	3-isopropylmalate dehydratase large subunit
Rv0794c	lpdB	K00382	oxidoreductase
Rv1479	moxR1	K03924	transcriptional regulator MoxR1
Rv2497c	bkdA	K00161	branched-chain keto acid dehydrogenase E1 component subunit alpha
Rv2521	bcp	K03564	peroxiredoxin
Rv1916	aceAb	K01637	isocitrate lyase AceAb
Rv1915	aceAa	K01637	isocitrate lyase AceAa
Rv1385	pyrF	K01591	orotidine 5'-phosphate decarboxylase
Rv2332	mez	K00027	malate oxidoreductase
Rv0929	pstC2	K02037	phosphate ABC transporter permease PstC
Rv0728c	serA2	K00058	D-3-phosphoglycerate dehydrogenase SerA
Rv3809c	glf	K01854	UDP-galactopyranose mutase
Rv3442c	rpsI	K02996	30S ribosomal protein S9
Rv2334	cysK1	K01738	O-acetylserine sulfhydrylase
Rv2335	cysE	K00640	serine acetyltransferase
Rv1185c	fadD21	K12423	fatty-acid--CoA ligase FadD21
Rv2540c	aroF	K01736	chorismate synthase
Rv1316c	ogt	K00567	methylated-DNA--protein-cysteine methyltransferase
Rv2976c	ung	K03648	uracil-DNA glycosylase
Rv1595	nadB	K00278	L-aspartate oxidase
Rv2981c	ddlA	K01921	D-alanine--D-alanine ligase
Rv2234	ptpA	K01104	protein-tyrosine-phosphatase
Rv0417	thiG	K03149	thiazole synthase
Rv3340	metC	K01740	O-acetylhomoserine sulfhydrylase
Rv0668	rpoC	K03046	DNA-directed RNA polymerase subunit beta'
Rv1594	nadA	K03517	quinolinate synthetase A
Rv2940c	mas	K11628	multifunctional mycocerosic acid synthase
Rv3825c	pks2	K12431	phthioceranic/hydroxyphthioceranic acid synthase
Rv3341	metA	K00641	homoserine O-acetyltransferase
Rv0066c	icd2	K00031	isocitrate dehydrogenase
Rv3001c	ilvC	K00053	ketol-acid reductoisomerase
Rv2427c	proA	K00147	gamma-glutamyl phosphate reductase
Rv1239c	corA	K03284	magnesium and cobalt transport transmembrane protein CorA
Rv0667	rpoB	K03043	DNA-directed RNA polymerase subunit beta
Rv2157c	murF	K01929	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
Rv3826	fadD23	K12425	long-chain-fatty-acid--CoA ligase FadD23
Rv0018c	pstP	K01090	phosphoserine/threonine phosphatase PstP
Rv0154c	fadE2	K00249	acyl-CoA dehydrogenase FadE2
Rv1640c	lysX	K04567	bifunctional lysine--tRNA ligase/phosphatidylglycerol lysyltransferase
Rv2051c	ppm1	K03820	polyprenol-monophosphomannose synthase
Rv2523c	acpS	K00997	holo-ACP synthase
Rv0864	moaC2	K03637	cyclic pyranopterin monophosphate synthase accessory protein 2
Rv1033c	trcR	K07672	two component transcriptional regulator TrcR
Rv3270	ctpC	K12950	manganese/zinc-exporting P-type ATPase
Rv1070c	echA8	K01692	enoyl-CoA hydratase EchA8
Rvnt43	argU	K14219	tRNA-Arg
Rv0936	pstA2	K02038	phosphate ABC transporter permease PstA
Rv2996c	serA1	K00058	D-3-phosphoglycerate dehydrogenase
Rv2152c	murC	K01924	UDP-N-acetylmuramate--alanine ligase
Rv3012c	gatC	K02435	glutamyl-tRNA(GLN) amidotransferase subunit C
Rv3781	rfbE	K09691	O-antigen/lipopolysaccharide ABC transporter ATP-binding protein RfbE
Rv0589	mce2A	K02067	Mce family protein Mce2A
Rv1618	tesB1	K10805	acyl-CoA thioesterase TesB
Rv1968	mce3C	K02067	Mce family protein Mce3C
Rv1969	mce3D	K02067	Mce family protein Mce3D
Rv1212c	glgA	K16148	capsular glucan synthase
Rv3024c	trmU	K00566	tRNA-specific 2-thiouridylase
Rv2486	echA14	K01692	enoyl-CoA hydratase EchA14
Rv1617	pykA	K00873	pyruvate kinase
Rv1611	trpC	K01609	indole-3-glycerol phosphate synthase
Rv1612	trpB	K01696	tryptophan synthase subunit beta
Rv1613	trpA	K01695	tryptophan synthase subunit alpha
Rv2785c	rpsO	K02956	30S ribosomal protein S15
Rv0062	celA1	K01179	cellulase CelA
Rv0806c	cpsY	K01784	exopolysaccharide phosphotransferase CpsY
Rv2246	kasB	K11609	3-oxoacyl-ACP synthase 2
Rv2247	accD6	K18472	acetyl-/propionyl-CoA carboxylase subunit beta
Rv2245	kasA	K11609	3-oxoacyl-ACP synthase 1
Rv0630c	recB	K03582	exonuclease V subunit beta RecB
Rv2241	aceE	K00163	pyruvate dehydrogenase E1 component
Rv2467	pepN	K01256	aminopeptidase PepN
Rv1625c	cya	K01768	adenylyl cyclase
Rv0534c	menA	K02548	1,4-dihydroxy-2-naphthoate octaprenyltransferase
Rv0709	rpmC	K02904	50S ribosomal protein L29
Rv1445c	devB	K01057	6-phosphogluconolactonase
Rv1837c	glcB	K01638	malate synthase
Rv2361c	uppS	K14215	decaprenyl diphosphate synthase
Rv3556c	fadA6	K00626	acetyl-CoA acetyltransferase FadA
Rv2703	sigA	K03086	RNA polymerase sigma factor SigA
Rv2702	ppgK	K00886	polyphosphate glucokinase
Rv3494c	mce4F	K02067	Mce family protein Mce4
Rv0429c	def	K01462	polypeptide deformylase
Rv3319	sdhB	K00240	succinate dehydrogenase iron-sulphur protein subunit
Rv3318	sdhA	K00239	succinate dehydrogenase flavoprotein subunit
Rv0411c	glnH	K02030	glutamine-binding lipoprotein GlnH
Rv0969	ctpV	K12956	copper transporter ATPase V
Rv3310	sapM	K01078	acid phosphatase
Rv3317	sdhD	K00242	succinate dehydrogenase hydrophobic membrane anchor subunit
Rv3316	sdhC	K00241	succinate dehydrogenase cytochrome B-556 subunit
Rv3370c	dnaE2	K14162	error-prone DNA polymerase
Rv2071c	cobM	K05936	precorrin-4 C(11)-methyltransferase
Rv0973c	accA2	K01965	acetyl-/propionyl-CoA carboxylase subunit alpha
Rv2594c	ruvC	K01159	crossover junction endodeoxyribonuclease RuvC
Rv0170	mce1B	K02067	Mce family protein Mce1B
Rv0261c	narK3	K02575	nitrate/nitrite transporter
Rv2089c	pepE	K01274	dipeptidase PepE
Rv2329c	narK1	K02575	nitrate/nitrite transporter
Rv3291c	lrpA	K03719	transcriptional regulator LrpA
Rv2412	rpsT	K02968	30S ribosomal protein S20
Rv2069	sigC	K03088	ECF RNA polymerase sigma factor SigC
Rv1010	ksgA	K02528	rRNA small subunit methyltransferase A
Rv1283c	oppB	K02033	oligopeptide ABC transporter permease OppB
Rv0707	rpsC	K02982	30S ribosomal protein S3
Rv1689	tyrS	K01866	tyrosine--tRNA ligase
Rv1688	mpg	K03652	3-methyladenine DNA glycosylase
Rv1201c	dapD	K00674	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
Rv1475c	acn	K01681	iron-regulated aconitate hydratase
Rv2064	cobG	K02229	precorrin-3B synthase
Rv2065	cobH	K06042	precorrin-8X methylmutase
Rvnt17	leuX	K14228	tRNA-Leu
Rv1187	rocA	K00294	pyrroline-5-carboxylate dehydrogenase RocA
Rv1991c	mazF6	K07171	mRNA interferase MazF6
Rv2841c	nusA	K02600	transcription termination/antitermination protein NusA
Rv0491	regX3	K07776	two component sensory transduction protein RegX
Rv0490	senX3	K07768	two component sensor histidine kinase SenX3
Rv1263	amiB2	K01426	amidase AmiB2
Rv3084	lipR	K01066	acetyl-hydrolase LipR
Rv0107c	ctpI	K12955	cation-transporter ATPase I
Rv3754	tyrA	K04517	prephenate dehydrogenase TyrA
Rv0511	hemD	K13542	uroporphyrin-III C-methyltransferase
Rv0815c	cysA2	K01011	thiosulfate sulfurtransferase CysA
Rvnt16	glnT	K14223	tRNA-Gln
Rv3910	peptidoglycan	K03980	
Rv1547	dnaE1	K02337	DNA polymerase III subunit alpha
Rv0819	mshD	K15520	mycothiol acetyltransferase
Rv0407	fgd1	K15510	F420-dependent glucose-6-phosphate dehydrogenase
Rv3366	spoU	K03216	tRNA/rRNA methylase SpoU
Rv0362	mgtE	K06213	Mg2+ transport transmembrane protein MgtE
Rv3674c	nth	K10773	endonuclease III
Rv2902c	rnhB	K03470	ribonuclease HII
Rv1902c	nanT	K08178	sialic acid-transport integral membrane protein NanT
Rv0211	pckA	K01596	phosphoenolpyruvate carboxykinase
Rv2992c	gltS	K01885	glutamate--tRNA ligase
Rv0812	pabC	K02619	amino acid aminotransferase
Rv2614c	thrS	K01868	threonine--tRNA ligase
Rv3646c	topA	K03168	DNA topoisomerase I
Rv2062c	cobN	K02230	cobalamin biosynthesis protein CobN
Rv1469	ctpD	K12951	cobalt/nickel-exporting P-type ATPase
Rv2249c	glpD1	K00111	glycerol-3-phosphate dehydrogenase
Rv1464	csd	K11717	cysteine desulfurase
Rv0432	sodC	K04565	superoxide dismutase
Rv0563	htpX	K03799	protease HtpX
Rv3419c	gcp	K01409	O-sialoglycoprotein endopeptidase
Rv1315	murA	K00790	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
Rv1858	modB	K02018	molybdenum ABC transporter permease ModB
Rv1311	atpC	K02114	ATP synthase subunit epsilon
Rv1310	atpD	K02112	ATP synthase subunit beta
Rv3383c	idsB	K13787	polyprenyl synthetase IdsB
Rv2934	ppsD	K12443	phthiocerol synthesis polyketide synthase type I PpsD
Rv2852c	mqo	K00116	malate:quinone oxidoreductase
Rv0220	lipC	K01066	esterase LipC
Rv2937	drrB	K01992	daunorubicin ABC transporter permease DrrB
Rv2930	fadD26	K12426	fatty-acid--CoA ligase FadD26
Rv2931	ppsA	K12440	phthiocerol synthesis polyketide synthase type I PpsA
Rv2932	ppsB	K12441	phthiocerol synthesis polyketide synthase type I PpsB
