AT3G50670	U1-70K	K11093	U1 small nuclear ribonucleoprotein-70K
AT5G01600	FER1	K00522	ferretin 1
AT2G46470	OXA1L	K03217	inner membrane OXA1-like protein
AT1G55740	SIP1	K06617	raffinose synthase 1
AT1G16610	SR45	K14325	protein arginine/serine-rich 45
AT1G09080	BIP3	K09490	protein BIP3
AT5G20420	CHR42	K10875	chromatin remodeling 42
AT5G66690	UGT72E2	K12356	UDP-glycosyltransferase 72E2
AT1G53310	PPC1	K01595	phosphoenolpyruvate carboxylase 1
AT3G15580	APG8H	K08341	autophagy-related protein 8i
AT3G47440	TIP5;1	K09873	putative aquaporin TIP5-1
AT5G57110	ACA8	K01537	calcium-transporting ATPase 8
AT5G21930	PAA2	K01533	P-type ATPase
AT2G18960	HA1	K01535	H(+)-ATPase 1
AT4G34510	KCS17	K15397	3-ketoacyl-CoA synthase 17
AT3G20210	DELTA-VPE	K01369	delta vacuolar processing enzyme
AT1G16030	Hsp70b	K03283	heat shock protein 70B
AT1G57800	VIM5	K10638	E3 ubiquitin-protein ligase ORTHRUS 3
AT3G60390	HAT3	K09338	homeobox-leucine zipper protein HAT3
AT3G18524	MSH2	K08735	DNA mismatch repair protein Msh2
AT2G37040	PAL1	K10775	phenylalanine ammonia-lyase 1
AT4G22910	FZR2	K03364	protein FIZZY-related 2
AT5G52040	ATRSP41	K12893	arginine/serine-rich-splicing factor RSP41
AT5G62850	AtVEX1	K15382	bidirectional sugar transporter SWEET5
AT4G37760	SQE3	K00511	squalene epoxidase 3
AT1G16920	RABA1b	K07904	Ras-related protein RABA1b
AT4G12120	SEC1B	K15292	protein transport sec1b
AT2G36800	DOGT1	K13496	UDP-glycosyltransferase 73C5
AT1G54340	ICDH	K00031	isocitrate dehydrogenase
AT3G21850	SK9	K03094	SKP1-like protein 9
AT4G21490	NDB3	K17871	NAD(P)H dehydrogenase B3
AT4G32880	HB-8	K09338	homeobox-leucine zipper protein ATHB-8
AT2G30250	WRKY25	K13423	WRKY transcription factor 25
AT4G27940	MTM1	K15119	manganese tracking factor for mitochondrial SOD2
AT1G78380	GSTU19	K00799	glutathione S-transferase TAU 19
AT4G21070	BRCA1	K10683	protein BREAST CANCER SUSCEPTIBILITY 1-like protein
AT5G03730	CTR1	K14510	serine/threonine-protein kinase CTR1
AT3G53020	STV1	K02896	60S ribosomal protein L24-2
AT5G43700	ATAUX2-11	K14484	auxin-responsive protein IAA4
AT1G07810	ECA1	K01537	calcium-transporting ATPase 1
AT3G60250	CKB3	K03115	casein kinase 2 subunit beta-3
AT1G04950	TAFII59	K03131	TATA box associated factor II 59
AT5G23740	RPS11-BETA	K02949	40S ribosomal protein S11-3
AT3G57050	CBL	K01760	cystathionine beta-lyase
AT1G64350	SEH1H	K14299	seh1-like protein
AT1G52570	PLDALPHA2	K01115	phospholipase D alpha 2
AT5G16050	GRF5	K06630	14-3-3-like protein GF14 upsilon
AT5G42990	UBC18	K10688	ubiquitin-conjugating enzyme 18
AT1G74540	CYP98A8	K15506	tricoumaroylspermidine / triferuloylspermidine meta-hydroxylase
AT1G21700	SWI3C	K11649	SWI/SNF complex subunit SWI3C
AT4G19003	VPS25	K12189	vacuolar protein sorting-associated protein 25
AT1G79550	PGK	K00927	phosphoglycerate kinase
AT1G74700	TRZ1	K00784	nuclear ribonuclease Z
AT3G50820	PSBO2	K02716	oxygen-evolving enhancer protein 1-2
AT5G13530	KEG	K16279	E3 ubiquitin-protein ligase KEG
AT3G60100	CSY5	K01647	citrate synthase 5
AT2G33040	ATP3	K02136	ATP synthase subunit gamma
AT2G43750	OASB	K01738	O-acetylserine (thiol) lyase (OAS-TL) isoform oasB
AT3G14230	RAP2.2	K09286	ethylene-responsive transcription factor RAP2-2
AT5G54190	PORA	K00218	protochlorophyllide reductase A
AT5G26310	UGT72E3	K12356	UDP-glycosyltransferase 72E3
AT5G52640	HSP90.1	K04079	heat shock protein 90.1
AT1G20140	SK4	K03094	SKP1-like protein 4
AT5G13840	FZR3	K03364	protein FIZZY-related 3
AT1G23360	MENG	K03183	2-phytyl-1,4-beta-naphthoquinone methyltransferase
AT1G65350	UBQ13	K08770	ubiquitin 13
AT1G17180	GSTU25	K00799	glutathione S-transferase TAU 25
AT5G58470	TAF15b	K13098	TBP-associated factor 15B
AT3G17590	BSH	K11648	chromatin structure-remodeling complex protein BSH
AT3G13772	TMN7	K17086	protein transmembrane nine 7
AT5G28030	DES1	K01738	bifunctional cystathionine gamma-lyase/cysteine synthase
AT3G55400	OVA1	K01874	methionyl-tRNA synthetase
AT1G07725	EXO70H6	K07195	exocyst subunit exo70 family protein H6
AT2G17290	CPK6	K13412	calcium dependent protein kinase 6
AT5G19550	ASP2	K14454	aspartate aminotransferase
AT4G21100	DDB1B	K10610	DNA damage-binding protein 1b
AT2G22310	UBP4	K11842	ubiquitin carboxyl-terminal hydrolase 4
AT5G43970	TOM22-V	K17769	translocase of outer membrane 22-V
AT1G27840	ATCSA-1	K10570	DDB1a interacting protein ATCSA-1
AT5G58180	ATYKT62	K08516	VAMP-like protein YKT62
AT3G61470	LHCA2	K08908	photosystem I light harvesting complex protein
AT5G58670	PLC1	K05857	phosphoinositide phospholipase C 1
AT2G30410	KIS	K17292	tubulin folding cofactor A protein KIESEL
AT4G05530	IBR1	K11147	short-chain dehydrogenase/reductase A
AT3G60120	BGLU27	K01188	beta glucosidase 27
AT5G11160	APT5	K00759	adenine phosphoribosyltransferase 5
AT5G27840	TOPP8	K06269	serine/threonine-protein phosphatase PP1 isozyme 8
AT2G39840	TOPP4	K06269	serine/threonine-protein phosphatase PP1 isozyme 4
AT5G41150	UVH1	K10848	DNA repair endonuclease UVH1
AT2G33610	SWI3B	K11649	switch subunit 3
AT5G15410	DND1	K05391	cyclic nucleotide-gated ion channel 2
AT5G04950	NAS1	K05953	nicotianamine synthase 1
AT5G18930	BUD2	K01611	S-adenosylmethionine decarboxylase
AT4G34230	CAD5	K00083	cinnamyl alcohol dehydrogenase 5
AT1G64200	VHA-E3	K02150	V-type proton ATPase subunit E3
AT2G29090	CYP707A2	K09843	abscisic acid 8'-hydroxylase 2
AT4G39370	UBP27	K11851	ubiquitin carboxyl-terminal hydrolase 27
AT1G71880	SUC1	K15378	sucrose transport protein SUC1
AT5G07200	GA20OX3	K05282	gibberellin 20 oxidase 3
AT5G13150	EXO70C1	K07195	exocyst subunit exo70 family protein C1
AT1G50460	HKL1	K00844	hexokinase-like 1
AT5G22030	UBP8	K11835	ubiquitin-specific protease 8
AT2G18730	DGK3	K00901	diacylglycerol kinase 3
AT3G16050	PDX1.2	K06215	putative pyridoxal biosynthesis protein PDX1.2
AT3G62250	UBQ5	K02977	ubiquitin-40S ribosomal protein S27a-3
AT2G31270	CDT1A	K10727	CDT1-like protein a
AT5G22360	VAMP714	K08515	vesicle-associated membrane protein 714
AT2G38460	IREG1	K14685	protein RON REGULATED1
AT1G15820	LHCB6	K08917	light harvesting complex photosystem II subunit 6
AT4G34900	XDH2	K00106	xanthine dehydrogenase 2
AT3G09150	HY2	K08101	phytochromobilin:ferredoxin oxidoreductase
AT3G44660	hda10	K06067	histone deacetylase 10
AT5G20990	B73	K15376	molybdenum cofactor biosynthesis enzyme CNX1
AT1G63020	NRPD1A	K16250	DNA-directed RNA polymerase IV subunit 1
AT1G68320	MYB62	K09422	R2R3-MYB transcription family
AT4G38970	FBA2	K01623	fructose-bisphosphate aldolase 2
AT3G02260	BIG	K10691	auxin transport protein BIG
AT2G30070	KT1	K03549	potassium transporter 1
AT5G16690	ORC3	K02605	origin recognition complex subunit 3
AT4G20070	AAH	K02083	allantoate amidohydrolase
AT4G05330	AGD13	K12486	putative ADP-ribosylation factor GTPase-activating protein AGD13
AT2G42790	CSY3	K01647	citrate synthase 3
AT5G45250	RPS4	K16226	protein RESISTANT TO P. SYRINGAE 4
AT4G28720	YUC8	K11816	flavin-containing monooxygenase YUCCA8
AT5G57980	RPB5C	K03013	RNA polymerase II fifth largest subunit, C
AT4G25820	XTH14	K08235	xyloglucan endotransglucosylase/hydrolase protein 14
AT1G45249	ABF2	K14432	abscisic acid responsive elements-binding factor 2
AT5G15250	FTSH6	K03798	ATP-dependent zinc metalloprotease FTSH 6
AT4G34050	CCoAOMT1	K00588	putative caffeoyl-CoA O-methyltransferase
AT3G17180	scpl33	K16297	protein serine carboxypeptidase-like 33
AT2G16500	ADC1	K01583	arginine decarboxylase 1
AT3G04730	IAA16	K14484	auxin-responsive protein IAA16
AT5G52910	ATIM	K03155	protein TIMELESS
AT5G50240	PIMT2	K00573	protein-l-isoaspartate methyltransferase 2
AT5G09920	NRPB4	K03012	RNA polymerase II, Rpb4, core protein
AT2G32920	PDIL2-3	K09584	protein disulfide-isomerase like 2-3
AT4G40010	SNRK2.7	K14498	SNF1-related protein kinase 2.7
AT1G77320	MEI1	K10728	meiosis defective 1
AT4G15560	CLA1	K01662	1-deoxy-D-xylulose-5-phosphate synthase
AT4G11660	AT-HSFB2B	K09419	heat stress transcription factor B-2b
AT4G14210	PDS3	K02293	phytoene desaturase 3
AT2G25880	AUR2	K08850	serine/threonine-protein kinase aurora-2
AT5G51940	NRPB6A	K03014	RNA polymerase Rpb6
AT3G23410	FAO3	K17756	long-chain-alcohol oxidase FAO3
AT5G20010	RAN-1	K07936	GTP-binding nuclear protein Ran-1
AT5G67530	PUB49	K10598	peptidyl-prolyl cis-trans isomerase-like 2
AT1G04730	CTF18	K11269	chromosome transmission fidelity protein 18
AT2G18250	COAD	K02201	phosphopantetheine adenylyltransferase
AT5G53200	TRY	K09422	transcription factor TRY
AT5G58870	ftsh9	K03798	FTSH protease 9
AT3G17611	RBL14	K09651	rhomboid-like protein 14
AT1G78960	LUP2	K15815	lupeol synthase 2
AT5G26860	LON1	K08675	lon protease 1
AT1G66670	CLPP3	K01358	ATP-dependent Clp protease proteolytic subunit 3
AT1G14360	UTR3	K15275	UDP-galactose transporter 3
AT3G12500	HCHIB	K01183	basic chitinase B
AT3G13970	APG12B	K08336	ubiquitin-like protein ATG12B
AT1G08630	THA1	K01620	threonine aldolase
AT5G23960	TPS21	K14184	alpha-humulene/(-)-(E)-beta-caryophyllene synthase
AT4G31750	WIN2	K17506	putative protein phosphatase 2C 59
AT3G49700	ACS9	K01762	1-aminocyclopropane-1-carboxylate synthase 9
AT4G25480	DREB1A	K09286	dehydration-responsive element-binding protein 1A
ArthMp015	cox2	K02261	cytochrome c oxidase subunit 2
AT4G25950	VATG3	K02152	V-type proton ATPase subunit G3
AT5G66280	GMD1	K01711	GDP-mannose 4,6 dehydratase 1
AT1G60980	GA20OX4	K05282	gibberellin 20-oxidase 4
AT1G05880	ARI12	K11968	putative E3 ubiquitin-protein ligase ARI12
AT5G23140	NCLPP7	K01358	nuclear-encoded CLP protease P7
AT5G57020	NMT1	K00671	glycylpeptide N-tetradecanoyltransferase 1
AT3G23610	DSPTP1	K05766	dual specificity protein phosphatase 1
AT1G05460	SDE3	K18422	putative RNA helicase SDE3
AT5G14340	MYB40	K09422	myb domain protein 40
AT1G42560	MLO9	K08472	MLO-like protein 9
AT5G24420	PGL5	K01057	6-phosphogluconolactonase 5
AT3G22740	HMT3	K00547	homocysteine S-methyltransferase 3
AT2G14210	AGL44	K09264	protein agamous-like 44
AT4G15100	scpl30	K16297	serine carboxypeptidase-like 30
AT3G03640	BGLU25	K01188	beta glucosidase 25
AT5G57450	XRCC3	K10880	DNA repair protein XRCC3-like protein
AT1G78770	APC6	K03353	anaphase-promoting complex subunit 6
AT3G45280	SYP72	K08506	syntaxin-72
AT5G25620	YUC6	K11816	flavin-containing monooxygenase YUCCA6
AT3G02680	NBS1	K10867	nijmegen breakage syndrome 1 protein
AT1G32330	HSFA1D	K09419	heat stress transcription factor A-1d
AT5G67400	RHS19	K00430	peroxidase 73
AT3G52400	SYP122	K08486	syntaxin-122
AT4G26850	VTC2	K14190	GDP-L-galactose phosphorylase 1
AT2G40840	DPE2	K00705	4-alpha-glucanotransferase DPE2
AT5G66130	ATRAD17	K06662	cell cycle checkpoint protein RAD17
AT1G78050	PGM	K01834	phosphoglycerate/bisphosphoglycerate mutase
AT3G11900	ANT1	K14209	aromatic and neutral transporter 1
AT1G72280	ERO1	K10976	endoplasmic oxidoreductin-1
AT4G00540	MYB3R2	K09422	myb domain protein 3r2
AT4G03110	RBP-DR1	K13207	RNA-binding protein-defense related 1
AT5G19780	TUA5	K07374	tubulin alpha-5
AT1G25350	OVA9	K01886	putative tRNA-glutamine ligase
AT4G01320	ATSTE24	K06013	CAAX prenyl protease 1 homolog
AT5G11150	VAMP713	K08515	vesicle-associated membrane protein 713
AT5G56580	MKK6	K04368	mitogen-activated protein kinase kinase 6
AT1G08700	PS1	K04505	Presenilin-1
AT4G11280	ACS6	K01762	1-aminocyclopropane-1-carboxylate synthase 6
AT1G17060	CYP72C1	K15638	cytochrome p450 72c1
AT2G22010	RKP	K12169	E3 ubiquitin-protein ligase RKP
AT2G28880	emb1997	K13950	aminodeoxychorismate synthase
AT2G19720	rps15ab	K02957	40S ribosomal protein S15ab
AT4G31400	CTF7	K11268	protein CTF7
AT2G23010	SCPL9	K16296	serine carboxypeptidase-like 9
AT5G25350	EBF2	K14515	EIN3-binding F-box protein 2
AT3G11940	RPS5A	K02989	40S ribosomal protein S5A
AT5G18110	NCBP	K03259	translation initiation factor NCBP
AT1G02010	SEC1A	K15292	protein transporter sec1a
AT3G20670	HTA13	K11251	histone H2A 13
AT5G43360	PHT1;3	K08176	putative inorganic phosphate transporter 1-3
AT3G01530	MYB57	K09422	myb domain protein 57
AT5G39930	CLPS5	K14399	CLP1-like protein 5
AT5G23210	SCPL34	K16297	serine carboxypeptidase-like 34
AT4G32660	AME3	K08287	protein kinase AME3
AT4G18730	RPL16B	K02868	60S ribosomal protein L11-2
AT3G22360	AOX1B	K17893	alternative oxidase 1B
AT1G77120	ADH1	K00001	alcohol dehydrogenase 1
AT5G60540	PDX2	K08681	Pyridoxal biosynthesis protein PDX2
AT1G12920	ERF1-2	K03265	eukaryotic peptide chain release factor subunit 1-2
AT3G48920	MYB45	K09422	myb domain protein 45
AT5G56030	HSP81-2	K04079	heat shock protein 81-2
AT1G14350	FLP	K09422	MYB transcription factor FLP
AT4G09140	MLH1	K08734	DNA mismatch repair protein MLH1
AT5G67240	SDN3	K14570	small RNA degrading nuclease 3
AT3G12820	MYB10	K09422	myb domain protein 10
AT5G41700	UBC8	K06689	ubiquitin-conjugating enzyme E2 8
AT2G44480	BGLU17	K01188	beta glucosidase 17
AT3G43210	TES	K11498	kinesin TETRASPORE
AT3G25650	SK15	K03094	SKP1-like protein 15
AT1G32200	ATS1	K00630	glycerol-3-phosphate acyltransferase
AT4G00430	PIP1;4	K09872	plasma membrane intrinsic protein 1;4
AT1G53580	GLY3	K17725	persulfide dioxygenase ETHE1-like protein
AT3G29100	VTI13	K08493	vesicle transport V-snare 13
AT5G10330	HPA1	K00817	Histidinol-phosphate aminotransferase
AT4G20850	TPP2	K01280	tripeptidyl peptidase II
AT1G13320	PP2AA3	K03456	protein phosphatase 2A subunit A3
AT2G13370	CHR5	K11367	chromatin remodeling 5
AT1G62750	SCO1	K02355	elongation factor G
AT1G67500	REV3	K02350	DNA polymerase zeta subunit
AT3G04870	ZDS	K00514	zeta-carotene desaturase
AT3G05780	LON3	K08675	lon protease 3
AT5G05620	GCP2	K10389	tubulin gamma-2 chain
AT2G33290	SUVH2	K11420	histone-lysine N-methyltransferase, H3 lysine-9, H3 lysine-27, H4 lysine-20 and cytosine specific SUVH2
AT3G03800	SYP131	K08486	syntaxin of plants 131
AT5G17310	UGP2	K00963	UTP--glucose-1-phosphate uridylyltransferase 1
AT3G60240	EIF4G	K03260	eukaryotic translation initiation factor 4G
AT1G32060	PRK	K00855	phosphoribulokinase
AT5G63960	EMB2780	K02327	DNA polymerase delta subunit 1
AT1G26700	MLO14	K08472	MLO-like protein 14
AT2G48150	GPX4	K00432	glutathione peroxidase 4
AT1G17190	GSTU26	K00799	glutathione S-transferase tau 26
AT3G24340	chr40	K10875	chromatin remodeling 40
AT5G52340	EXO70A2	K07195	exocyst subunit exo70-A2
AT2G44460	BGLU28	K01188	beta glucosidase 28
AT5G02810	PRR7	K12129	pseudo-response regulator 7
AT5G42380	CML37	K13448	calcium-binding protein CML37
AT1G73540	NUDT21	K07766	nudix hydrolase 21
AT3G22960	PKP-ALPHA	K00873	plastidial pyruvate kinase 1
AT4G30110	HMA2	K01534	cadmium/zinc-transporting ATPase HMA2
AT1G01610	GPAT4	K13508	bifunctional sn-glycerol-3-phosphate 2-O-acyltransferase/phosphatase
AT5G39620	RABG1	K07976	RAB GTPase homolog G1
AT1G09430	ACLA-3	K01648	ATP-citrate lyase A-3
AT1G20330	SMT2	K08242	24-methylenesterol C-methyltransferase 2
AT3G14440	NCED3	K09840	9-cis-epoxycarotenoid dioxygenase NCED3
AT2G22780	PMDH1	K00026	peroxisomal NAD-malate dehydrogenase
AT1G77720	PPK1	K08866	putative protein kinase 1
AT5G17220	GSTF12	K00799	glutathione S-transferase phi 12
AT2G40540	KT2	K03549	potassium transporter 2
AT1G22300	GRF10	K06630	14-3-3-like protein GF14 epsilon
AT3G54110	PUMP1	K15103	uncoupling family protein PUMP2
AT3G05330	ATN	K18636	TANGLED1-like prtoein
AT1G64740	TUA1	K07374	tubulin alpha-1 chain
AT3G25830	TPS-CIN	K07385	1,8-cineole synthase
AT4G31990	ASP5	K00811	aspartate aminotransferase
ArthCt099	trnfM	K14230	tRNA-Met
AT4G00400	GPAT8	K13508	bifunctional sn-glycerol-3-phosphate 2-O-acyltransferase/phosphatase
AT3G54540	GCN4	K06184	ABC transporter F family member 4
AT3G24520	HSFC1	K09419	heat stress transcription factor C-1
AT1G17440	EER4	K03126	transcription initiation factor TFIID subunit 12B
AT3G57130	BOP1	K14508	protein BLADE ON PETIOLE 1
AT3G20060	UBC19	K06688	ubiquitin-conjugating enzyme E2 19
AT5G40430	MYB22	K09422	putative transcription factor MYB22
AT3G42640	HA8	K01535	H(+)-ATPase 8
AT1G28110	SCPL45	K16297	serine carboxypeptidase-like 45
AT2G19500	CKX2	K00279	cytokinin oxidase 2
AT2G36230	APG10	K01814	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase
AT1G68000	PIS1	K00999	CDP-diacylglycerol--inositol 3-phosphatidyltransferase
AT2G44100	GDI1	K17255	guanosine nucleotide diphosphate dissociation inhibitor 1
AT3G49850	TRB3	K09422	telomere repeat binding factor 3
AT2G33340	MAC3B	K10599	U-box protein MAC3B
AT2G04350	LACS8	K01897	long chain acyl-CoA synthetase 8
AT5G48870	SAD1	K12624	U6 snRNA-associated Sm-like protein LSM5
AT3G04090	SIP1A	K09875	aquaporin SIP1-1
AT1G54115	CCX4	K13754	cation/calcium exchanger 4
AT4G13460	SUVH9	K11420	putative histone-lysine N-methyltransferase, H3 lysine-9 specific SUVH9
AT1G58470	RBP1	K14411	RNA-binding protein 1
AT1G49950	TRB1	K09422	telomere repeat binding factor 1
AT4G22340	CDS2	K00981	cytidinediphosphate diacylglycerol synthase 2
AT3G18090	NRPD2B	K16252	DNA-directed RNA polymerase D subunit 2b
AT1G48520	GATB	K02434	Glutamyl-tRNA(Gln) amidotransferase subunit B
AT1G64630	WNK10	K08867	putative serine/threonine-protein kinase WNK10
AT4G29060	emb2726	K02357	elongation factor Ts family protein
AT4G29820	CFIM-25	K14397	CFIM-25-like protein
AT4G11640	SR	K12235	serine racemase
AT3G08860	PYD4	K00827	PYRIMIDINE 4
AT5G59220	HAI1	K14497	putative protein phosphatase 2C 78
AT4G28220	NDB1	K17871	NAD(P)H dehydrogenase B1
AT1G31360	RECQL2	K10899	mediator of RNA polymerase II transcription subunit 34
AT5G20980	MS3	K00549	methionine synthase 3
AT1G12780	UGE1	K01784	bifunctional UDP-glucose 4-epimerase and UDP-xylose 4-epimerase 1
AT1G09940	HEMA2	K02492	glutamyl-tRNA reductase 2
AT3G47450	NOA1	K13427	NO-associated protein 1
AT5G21920	YLMG2	K02221	protein YLMG2
AT4G02570	CUL1	K03347	cullin 1
AT1G17530	TIM23-1	K17794	translocase of inner mitochondrial membrane 23
AT2G01650	PUX2	K14011	UBX domain-containing protein 2
AT2G25080	GPX1	K00432	phospholipid hydroperoxide glutathione peroxidase 1
AT5G48580	FKBP15-2	K09569	peptidyl-prolyl cis-trans isomerase FKBP15-2
AT4G03550	GSL05	K11000	callose synthase 12
AT4G24570	DIC2	K13577	dicarboxylate carrier 2
AT4G25000	AMY1	K01176	alpha-amylase 1
AT1G57870	SK42	K03083	shaggy-related protein kinase delta
AT2G16370	THY-1	K13998	bifunctional dihydrofolate reductase-thymidylate synthase 1
AT4G37750	ANT	K09285	AP2-like ethylene-responsive transcription factor ANT
ArthCt126	trnL	K14228	tRNA-Leu
AT3G14270	FAB1B	K00921	phosphatidylinositol-3P 5-kinase-like
ArthCt124	trnI	K14227	tRNA-Ile
AT3G03710	RIF10	K00962	polyribonucleotide nucleotidyltransferase
AT2G34980	SETH1	K03859	phosphatidylinositol glycan, class C
AT1G54370	NHX5	K14724	sodium hydrogen exchanger 5
AT1G14850	NUP155	K14312	nucleoporin 155
AT4G15415	ATB'_GAMMA	K11584	protein phosphatase 2A B'gamma
AT1G09630	RAB11c	K07904	RAB GTPase 11C
AT3G10160	DFC	K01930	folylpolyglutamate synthase
AT1G17890	GER2	K02377	putative GDP-L-fucose synthase 2
AT4G26260	MIOX4	K00469	myo-inositol oxygenase 4
AT1G09540	MYB61	K09422	myb domain protein 61
AT2G36830	GAMMA-TIP	K09873	aquaporin TIP1-1
AT5G61030	GR-RBP3	K12741	glycine-rich RNA-binding protein 3
AT2G01110	APG2	K03118	Sec-independent protein translocase protein TATC
AT5G44280	RING1A	K10695	putative E3 ubiquitin-protein ligase RING1a
AT2G23290	MYB70	K09422	myb domain protein 70
AT1G54510	NEK1	K08857	serine/threonine-protein kinase Nek1
AT4G01970	STS	K06611	stachyose synthase
AT5G59040	COPT3	K14686	copper transporter 3
AT4G13510	AMT1;1	K03320	ammonium transporter 1;1
AT3G01220	HB20	K09338	homeobox-leucine zipper protein ATHB-20
AT4G12350	MYB42	K09422	myb domain protein 42
AT3G01550	PPT2	K15283	phosphoenolpyruvate (pep)/phosphate translocator 2
AT5G13490	AAC2	K05863	ADP/ATP carrier protein 2
AT2G26670	TED4	K00510	heme oxygenase 1
AT3G57040	ARR9	K14492	two-component response regulator ARR9
AT5G20850	RAD51	K04482	DNA repair protein RAD51-like 1
AT3G20330	PYRB	K00609	aspartate carbamoyltransferase
AT5G06910	ATJ6	K09529	chaperone protein dnaJ 6
AT1G04510	MAC3A	K10599	MOS4-associated complex 3A
AT1G22770	GI	K12124	protein GIGANTEA
ArthCp041	petG	K02640	cytochrome B6-F complex subunit 5
AT5G42260	BGLU12	K01188	beta glucosidase 12
ArthCp043	rpl33	K02913	ribosomal protein L33
ArthCp042	psaJ	K02697	photosystem I subunit IX
ArthCp045	rpl20	K02887	50S ribosomal protein L20
ArthCp044	rps18	K02963	30S ribosomal protein S18
ArthCp047	rps12	K02950	ribosomal protein S12
AT1G79560	FTSH12	K03798	cell division protease ftsH-12
ArthCp049	psbB	K02704	photosystem II P680 chlorophyll A apoprotein
ArthCp048	clpP	K01358	ATP-dependent Clp protease proteolytic subunit
AT2G06050	OPR3	K05894	12-oxophytodienoate reductase 3
AT5G13010	EMB3011	K12815	RNA helicase family protein
AT4G38160	pde191	K15032	protein PIGMENT DEFECTIVE 191
AT2G39930	ISA1	K01214	isoamylase 1
AT2G37180	RD28	K09872	aquaporin PIP2-3
AT1G11890	SEC22	K08517	vesicle transport protein SEC22
AT1G31120	KUP10	K03549	K+ uptake permease 10
AT3G30210	MYB121	K09422	myb domain protein 121
AT2G36900	MEMB11	K08496	membrin 11
AT1G75080	BZR1	K14503	brassinazole-resistant 1 protein
AT1G50940	ETFALPHA	K03522	electron transfer flavoprotein subunit alpha
AT5G49240	APRR4	K14491	pseudo-response regulator 4
AT2G35160	SUVH5	K11420	histone-lysine N-methyltransferase, H3 lysine-9 specific SUVH5
AT1G23820	SPDS1	K00797	spermidine synthase 1
AT4G37800	XTH7	K08235	xyloglucan endotransglucosylase/hydrolase protein 7
AT4G12910	scpl20	K16296	serine carboxypeptidase-like 20
AT4G24190	SHD	K09487	HSP90-like protein GRP94
AT2G22970	SCPL11	K16296	serine carboxypeptidase-like 11
AT1G08840	emb2411	K10742	embryo defective protein 2411
AT3G55510	RBL	K14833	protein REBELOTE
AT1G70290	TPS8	K16055	putative alpha,alpha-trehalose-phosphate synthase [UDP-forming] 8
AT3G61440	CYSC1	K13034	cysteine synthase C1
AT2G34570	MEE21	K14773	PIN domain-containing MEE21 protein
AT5G54160	OMT1	K13066	caffeic acid/5-hydroxyferulic acid O-methyltransferase
AT1G11250	SYP125	K08486	syntaxin-125
AT5G59910	HTB4	K11252	histone H2B
AT1G74590	GSTU10	K00799	glutathione S-transferase TAU 10
AT2G42090	ACT9	K10355	actin 9
AT3G01420	DOX1	K10529	alpha-dioxygenase
AT2G38670	PECT1	K00967	ethanolamine-phosphate cytidylyltransferase
AT1G18570	MYB51	K09422	myb domain protein 51
AT5G03290	IDH-V	K00030	Isocitrate dehydrogenase [NAD] catalytic subunit 5
AT1G68050	FKF1	K12116	flavin-binding, kelch repeat, f box 1
AT5G22800	EMB1030	K01872	probable alanine--tRNA ligase
AT1G47220	CYCA3;3	K06627	cyclin-A3-3
AT4G20890	TUB9	K07375	tubulin beta-9 chain
AT5G58060	YKT61	K08516	VAMP-like protein YKT61
AT1G70560	TAA1	K16903	L-tryptophan--pyruvate aminotransferase 1
AT2G29080	ftsh3	K08956	FTSH protease 3
AT5G03720	HSFA3	K09419	heat shock transcription factor A3
AT5G39700	MYB89	K09422	myb domain protein 89
AT4G03430	EMB2770	K12855	pre-mRNA-processing factor 6-like protein STA1
AT5G13160	PBS1	K13430	serine/threonine-protein kinase PBS1
AT1G04635	EMB1687	K03537	ribonuclease P/MRP protein subunit POP5-like protein
AT1G66410	CAM4	K02183	calmodulin 4
AT3G19040	HAF2	K03125	transcription initiation factor TFIID subunit 1-B
AT1G74020	SS2	K01757	strictosidine synthase 2
AT1G01750	ADF11	K05765	actin depolymerizing factor 11
AT1G73030	VPS46.2	K12197	ESCRT-related protein CHMP1A
AT4G09020	ISA3	K01214	isoamylase 3
AT5G57050	ABI2	K14497	protein phosphatase 2C 77
AT5G16530	PIN5	K13947	auxin transporter PIN5
AT5G07880	SNAP29	K08509	SNAP25-like protein SNAP29
AT5G43810	ZLL	K11593	eIF2C family protein Argonaute10
AT4G25560	MYB18	K09422	transcription factor LAF1
AT1G20930	CDKB2;2	K07760	cyclin-dependent kinase B2-2
AT5G42810	IPK1	K10572	inositol-pentakisphosphate 2-kinase 1
AT1G70580	AOAT2	K14272	glutamate--glyoxylate aminotransferase 2
AT5G42540	XRN2	K12619	5'-3' exoribonuclease 2
AT4G04210	PUX4	K14012	CDC48-interacting UBX-domain protein 4
AT5G19180	ECR1	K10686	NEDD8-activating enzyme E1 catalytic subunit
AT4G38570	PIS2	K00999	probable CDP-diacylglycerol--inositol 3-phosphatidyltransferase 2
AT1G79180	MYB63	K09422	myb domain protein 63
AT2G31305	INH3	K17553	inhibitor-3
AT4G30580	ATS2	K00655	1-acyl-sn-glycerol-3-phosphate acyltransferase 1
AT5G04850	VPS60.2	K12198	vacuolar protein sorting protein 60.2
AT1G10230	SK18	K03094	SKP1-like protein 18
AT2G21270	UFD1	K14016	ubiquitin fusion degradation 1
AT2G17130	IDH2	K00030	Isocitrate dehydrogenase [NAD] regulatory subunit 2
AT2G29330	TRI	K08081	tropinone reductase
